"","Temp","Temp.Var","Precip","Precip.Var"
"Abrotanella.inconspicua",4.83871527545206,441.451245236809,2678.45833333333,30.9550276117249
"Acaena.antarctica",NA,NA,NA,NA
"Acaena.diminuta",NA,NA,NA,NA
"Acaena.leptacantha",5.70448715757961,461.035799754949,845,66.5776353117381
"Acaena.macrocephala",6.72083334153932,468.745319583811,1167.16666666667,76.8740706920357
"Acaena.magellanica",NA,NA,NA,NA
"Abrotanella.inconspicua1",4.83871527545206,441.451245236809,2678.45833333333,30.9550276117249
"Acaena.antarctica1",NA,NA,NA,NA
"Acaena.diminuta1",NA,NA,NA,NA
"Acaena.leptacantha1",5.70448715757961,461.035799754949,845,66.5776353117381
"Acaena.macrocephala1",6.72083334153932,468.745319583811,1167.16666666667,76.8740706920357
"Acaena.magellanica1",NA,NA,NA,NA
"Acaena.pinnatifida",NA,NA,NA,NA
"Acaena.splendens",NA,NA,NA,NA
"Achillea.atrata",NA,NA,NA,NA
"Achillea.millefolium",NA,NA,NA,NA
"Aciphylla.monroi",NA,NA,NA,NA
"Aciphyllum.congestum",NA,NA,NA,NA
"Aconitum.delphinifolium",NA,NA,NA,NA
"Adesmia.echinus",NA,NA,NA,NA
"Adesmia.lotoides",NA,NA,NA,NA
"Adesmia.parviflora",NA,NA,NA,NA
"Adesmia.pumila",5.31203704499812,403.016983878342,401.222222222222,22.7643673072266
"Adesmia.salicornioides",NA,NA,NA,NA
"Adesmia.subterranea",NA,NA,NA,NA
"Agoseris.aurantiaca",NA,NA,NA,NA
"Agoseris.glauca",NA,NA,NA,NA
"Agoseris.villosa",NA,NA,NA,NA
"Agropyron.scribneri",NA,NA,NA,NA
"Agropyron.spicatum",NA,NA,NA,NA
"Agrostis.alpina",NA,NA,NA,NA
"Agrostis.borealis",NA,NA,NA,NA
"Agrostis.castellana",NA,NA,NA,NA
"Agrostis.foliata",NA,NA,NA,NA
"Agrostis.muelleriana",5.85939235980881,441.229982769364,2179.14583333333,25.8140222681717
"Agrostis.nevadensis",NA,NA,NA,NA
"Agrostis.rupestris",2.9140867250403,610.747783737518,1239.89534883721,29.9872925960167
"Agrostis.scabra",NA,NA,NA,NA
"Agrostis.serranoi",7.52416668185033,413.052187635026,1180.55,42.3309628600206
"Agrostis.truncatula",NA,NA,NA,NA
"Alchemilla.alpina",NA,NA,NA,NA
"Alchemilla.decumbens",4.28717191387555,616.214875785102,1436.40157480315,26.8511888199579
"Alopecurus.textilis",NA,NA,NA,NA
"Alyssum.nevadense",9.23397435524907,661.816780316957,673.076923076923,49.3656344110245
"Anaphalis.contorta",NA,NA,NA,NA
