"lon","lat","species.name"
10.423579,46.547291,"Achillea atrata"
9.761288,47.061031,"Achillea atrata"
13.04,47.57,"Achillea atrata"
9.747899,47.058048,"Achillea atrata"
10.413666,47.5172,"Achillea atrata"
9.752512,47.064159,"Achillea atrata"
11.566887,47.406948,"Achillea atrata"
11.297224,47.429482,"Achillea atrata"
14.485602,46.504036,"Achillea atrata"
10.11137,47.366966,"Achillea atrata"
10.412292,47.421001,"Achillea atrata"
10.522413,47.468777,"Achillea atrata"
10.364742,47.4646,"Achillea atrata"
11.297293,47.306297,"Achillea atrata"
10.402117,47.459557,"Achillea atrata"
8.430333,46.427696,"Achillea atrata"
8.248715,46.795506,"Achillea atrata"
13.304272,46.571518,"Achillea atrata"
8.427844,46.43499,"Achillea atrata"
8.449886,46.462551,"Achillea atrata"
13.045138,47.571419,"Achillea atrata"
13.038164,47.545916,"Achillea atrata"
11.649971,46.519421,"Achillea atrata"
12.690381,47.040833,"Achillea atrata"
10.323611,47.425278,"Achillea atrata"
12.737703,47.08707,"Achillea atrata"
10.361326,47.42524,"Achillea atrata"
10.347777,47.411667,"Achillea atrata"
13.7,46.9,"Achillea atrata"
12.8,47.1,"Achillea atrata"
13,47.4,"Achillea atrata"
13.1,47.4,"Achillea atrata"
13.1,47.5,"Achillea atrata"
13.015795,47.730377,"Achillea atrata"
11.71027,47.16444,"Achillea atrata"
6.79936,45.99286,"Achillea atrata"
11.295962,47.430149,"Achillea atrata"
10.246702,46.669453,"Achillea atrata"
13.5,47.2,"Achillea atrata"
13.6,47.2,"Achillea atrata"
13.1,47.6,"Achillea atrata"
12.934685,47.548264,"Achillea atrata"
12.7,47.2,"Achillea atrata"
13.237238,46.562813,"Achillea atrata"
10.299683,46.794888,"Achillea atrata"
6.78824,46.10061,"Achillea atrata"
6.81496,46.19577,"Achillea atrata"
6.82683,46.10126,"Achillea atrata"
9.872911,46.588501,"Achillea atrata"
10.028114,46.408039,"Achillea atrata"
0.10559,42.89425,"Achillea atrata"
2.45962,48.6954,"Achillea atrata"
12.783334,46.783333,"Achillea atrata"
12.7,47,"Achillea atrata"
9.859028,46.586533,"Achillea atrata"
9.99052,47.162174,"Achillea atrata"
10.37,47.42,"Achillea atrata"
14.245274,46.499625,"Achillea atrata"
12.8,47.2,"Achillea atrata"
14.4244,47.6603,"Achillea atrata"
11.7,47,"Achillea atrata"
14.1833,47.77,"Achillea atrata"
10.46,47.52,"Achillea atrata"
10.12,47.37,"Achillea atrata"
13.54167,47.01917,"Achillea atrata"
13.4583,47.725,"Achillea atrata"
10.21,47.32,"Achillea atrata"
13.66611,47.51694,"Achillea atrata"
13.6661,47.5169,"Achillea atrata"
12.97,47.06,"Achillea atrata"
12.9858,47.0667,"Achillea atrata"
12.985833,47.066666,"Achillea atrata"
12.985833,47.066667,"Achillea atrata"
11.04,47.42,"Achillea atrata"
10.21,47.27,"Achillea atrata"
11.71,47.67,"Achillea atrata"
11.87,47.52,"Achillea atrata"
12.37,47.72,"Achillea atrata"
11.21,47.52,"Achillea atrata"
10.675,47.288,"Achillea atrata"
12.54,47.72,"Achillea atrata"
12.87,47.77,"Achillea atrata"
12.54,47.62,"Achillea atrata"
11.54,47.52,"Achillea atrata"
11.62,47.52,"Achillea atrata"
11.37,47.47,"Achillea atrata"
11.29,47.47,"Achillea atrata"
11.79,47.62,"Achillea atrata"
12.87,47.57,"Achillea atrata"
14.1828,47.6303,"Achillea atrata"
11.96,47.67,"Achillea atrata"
14.2333,47.6333,"Achillea atrata"
13.282,47.504,"Achillea atrata"
11.46,47.52,"Achillea atrata"
11.673167,47.397639,"Achillea atrata"
14.1944,47.6431,"Achillea atrata"
10.79,47.57,"Achillea atrata"
10.79,47.52,"Achillea atrata"
11.79,47.57,"Achillea atrata"
10.96,47.52,"Achillea atrata"
11.29,47.42,"Achillea atrata"
12.79,47.67,"Achillea atrata"
14.2483,47.6531,"Achillea atrata"
11.698,47.398,"Achillea atrata"
13.04,47.62,"Achillea atrata"
12.96,47.57,"Achillea atrata"
13.04,47.47,"Achillea atrata"
11.04,47.52,"Achillea atrata"
12.79,47.62,"Achillea atrata"
12.79,47.57,"Achillea atrata"
10.29,47.32,"Achillea atrata"
10.87,47.52,"Achillea atrata"
11.04,47.57,"Achillea atrata"
10.87,47.57,"Achillea atrata"
0,0,"Achillea atrata"
12.71,47.67,"Achillea atrata"
11.386389,47.312778,"Achillea atrata"
10.29,47.27,"Achillea atrata"
13.31258,47.196,"Achillea atrata"
13.4583,47.525,"Achillea atrata"
13.5,47.6,"Achillea atrata"
10.46,47.42,"Achillea atrata"
10.37,47.32,"Achillea atrata"
10.46,47.37,"Achillea atrata"
10.54,47.52,"Achillea atrata"
10.37,47.47,"Achillea atrata"
10.29,47.37,"Achillea atrata"
10.71,47.52,"Achillea atrata"
10.29,47.47,"Achillea atrata"
10.37,47.37,"Achillea atrata"
13.04,47.67,"Achillea atrata"
13.60817,47.28,"Achillea atrata"
13.6667,47.55,"Achillea atrata"
14,47.55,"Achillea atrata"
13.5,47.65,"Achillea atrata"
12.7917,47.075,"Achillea atrata"
9.61666,46.54972,"Achillea atrata"
12.62,47.77,"Achillea atrata"
13.31666,47.18305,"Achillea atrata"
12.79,47.77,"Achillea atrata"
12.54,47.77,"Achillea atrata"
11.46,47.67,"Achillea atrata"
13.46583,47.24611,"Achillea atrata"
13.6,47.3,"Achillea atrata"
12.6,47.2,"Achillea atrata"
12.9,47.2,"Achillea atrata"
12.2,47.3,"Achillea atrata"
11.643333,47.095,"Achillea atrata"
12.96,47.67,"Achillea atrata"
11.55,46.35,"Achillea atrata"
13.4583,47.225,"Achillea atrata"
12.6,47.4,"Achillea atrata"
13.2,47.5,"Achillea atrata"
11.54,47.67,"Achillea atrata"
13.04,47.52,"Achillea atrata"
12.96,47.47,"Achillea atrata"
12.87,47.52,"Achillea atrata"
12.96,47.52,"Achillea atrata"
13,47.1,"Achillea atrata"
15.1425,47.618333,"Achillea atrata"
13.9,47.2,"Achillea atrata"
10.29,47.42,"Achillea atrata"
13.54889,47.24028,"Achillea atrata"
10.21,47.37,"Achillea atrata"
11.593665,47.388045,"Achillea atrata"
10.143635,47.278799,"Achillea atrata"
10.171965,47.136462,"Achillea atrata"
10.177321,47.139688,"Achillea atrata"
10.026503,47.346985,"Achillea atrata"
11.96,47.72,"Achillea atrata"
12.87,47.47,"Achillea atrata"
12.04,47.67,"Achillea atrata"
12.62,47.72,"Achillea atrata"
11.96,47.62,"Achillea atrata"
11.21,47.42,"Achillea atrata"
11.87,47.62,"Achillea atrata"
12.71,47.72,"Achillea atrata"
12.62,47.67,"Achillea atrata"
12.04,47.62,"Achillea atrata"
11.21,47.57,"Achillea atrata"
11.71,47.62,"Achillea atrata"
12.04,47.72,"Achillea atrata"
10.96,47.42,"Achillea atrata"
12.87,47.62,"Achillea atrata"
11.04,47.47,"Achillea atrata"
13.04,47.72,"Achillea atrata"
10.96,47.37,"Achillea atrata"
10.96,47.57,"Achillea atrata"
11.21,47.37,"Achillea atrata"
11.29,47.52,"Achillea atrata"
10.46,47.47,"Achillea atrata"
11.12,47.42,"Achillea atrata"
11.46,47.57,"Achillea atrata"
11.04,47.37,"Achillea atrata"
