"lon","lat","species.name"
-72.06756,-47.73192,"Adesmia lotoides"
-72.23098,-47.73932,"Adesmia lotoides"
-69.76666,-52.08333,"Adesmia lotoides"
-72.08333,-50.1,"Adesmia lotoides"
-72.25,-49.58333,"Adesmia lotoides"
-69.66666,-52.5,"Adesmia lotoides"
0,0,"Adesmia lotoides"
-71.66666,-46.15,"Adesmia lotoides"
-71,-43,"Adesmia lotoides"
-71.73,-46.74,"Adesmia lotoides"
-71.67,-46.15,"Adesmia lotoides"
-70.54,-45.26,"Adesmia lotoides"
-72.25,-49.58,"Adesmia lotoides"
-70.75,-46.63,"Adesmia lotoides"
-72.09,-49.76,"Adesmia lotoides"
-71.55,-41.43,"Adesmia lotoides"
-70.84,-50.02,"Adesmia lotoides"
-70.62,-51.38,"Adesmia lotoides"
-70.66,-45.31,"Adesmia lotoides"
-69.77,-52.08,"Adesmia lotoides"
-72.08,-50.1,"Adesmia lotoides"
-70.24,-43.21,"Adesmia lotoides"
-67.93,-54.04,"Adesmia lotoides"
