"lon","lat","species.name"
13.04,47.57,"Agrostis alpina"
12.737703,47.08707,"Agrostis alpina"
12.4,47.2,"Agrostis alpina"
13.7,46.9,"Agrostis alpina"
13.8,46.9,"Agrostis alpina"
12.8,47.1,"Agrostis alpina"
13.8,47.2,"Agrostis alpina"
13,47.4,"Agrostis alpina"
13,47.5,"Agrostis alpina"
13.1,47.4,"Agrostis alpina"
13.6,47.5,"Agrostis alpina"
13.1,47.5,"Agrostis alpina"
13.3,47.1,"Agrostis alpina"
10.513817,46.0568,"Agrostis alpina"
13.1,47.3,"Agrostis alpina"
0.09445,42.72533,"Agrostis alpina"
13.5,47.2,"Agrostis alpina"
13.6,47.2,"Agrostis alpina"
12.6,47.2,"Agrostis alpina"
12.7,47.2,"Agrostis alpina"
13.01694,46.95528,"Agrostis alpina"
7.30766,44.1548,"Agrostis alpina"
7.32814,44.159,"Agrostis alpina"
1.044545,42.603329,"Agrostis alpina"
12.3,47.2,"Agrostis alpina"
12.2,47.2,"Agrostis alpina"
12.1,47.2,"Agrostis alpina"
12.3,47.1,"Agrostis alpina"
1.472,42.593,"Agrostis alpina"
1.05716,42.59751,"Agrostis alpina"
1.043902,42.604399,"Agrostis alpina"
1.05337,42.60374,"Agrostis alpina"
13.7,46.4,"Agrostis alpina"
13.0417,47.175,"Agrostis alpina"
1.448,42.575,"Agrostis alpina"
15.8136,47.7644,"Agrostis alpina"
1.472,42.602,"Agrostis alpina"
23.5833,42.1833,"Agrostis alpina"
1.704,42.541,"Agrostis alpina"
23.60444,42.26694,"Agrostis alpina"
1.716,42.541,"Agrostis alpina"
1.569,42.585,"Agrostis alpina"
1.557,42.576,"Agrostis alpina"
23.6,42.27,"Agrostis alpina"
1.545,42.576,"Agrostis alpina"
1.57,42.558,"Agrostis alpina"
1.448,42.557,"Agrostis alpina"
1.436,42.557,"Agrostis alpina"
1.546,42.477,"Agrostis alpina"
13.4167,42.65,"Agrostis alpina"
13.42,42.65,"Agrostis alpina"
1.557,42.585,"Agrostis alpina"
1.545,42.585,"Agrostis alpina"
12.8,47.2,"Agrostis alpina"
14.3917,47.6489,"Agrostis alpina"
12.7,47.1,"Agrostis alpina"
11.7,47,"Agrostis alpina"
12.95833,47.525,"Agrostis alpina"
11.04167,46.875,"Agrostis alpina"
12.54,47.77,"Agrostis alpina"
12.54,47.72,"Agrostis alpina"
12.29,47.72,"Agrostis alpina"
12.29,47.77,"Agrostis alpina"
11.37,47.52,"Agrostis alpina"
11.29,47.47,"Agrostis alpina"
11.37,47.47,"Agrostis alpina"
11.37,47.42,"Agrostis alpina"
11.96,47.62,"Agrostis alpina"
10.79,47.52,"Agrostis alpina"
11.96,47.72,"Agrostis alpina"
10.79,47.57,"Agrostis alpina"
10.87,47.57,"Agrostis alpina"
10.21,47.32,"Agrostis alpina"
0.661228,47.6482,"Agrostis alpina"
12.79,47.67,"Agrostis alpina"
14.2864,47.6536,"Agrostis alpina"
12.79,47.57,"Agrostis alpina"
13.04,47.52,"Agrostis alpina"
10.96,47.52,"Agrostis alpina"
12.79,47.77,"Agrostis alpina"
12.87,47.52,"Agrostis alpina"
12.96,47.47,"Agrostis alpina"
13.04,47.62,"Agrostis alpina"
12.87,47.62,"Agrostis alpina"
12.96,47.52,"Agrostis alpina"
12.96,47.57,"Agrostis alpina"
10.87,47.52,"Agrostis alpina"
13.04,47.67,"Agrostis alpina"
10.87,47.47,"Agrostis alpina"
12.87,47.57,"Agrostis alpina"
10.96,47.57,"Agrostis alpina"
11.04,47.52,"Agrostis alpina"
11.04,47.57,"Agrostis alpina"
12.87,47.77,"Agrostis alpina"
13.41667,46.45,"Agrostis alpina"
12.37,47.72,"Agrostis alpina"
