"lon","lat","species.name"
146.749444,-37.378333,"Agrostis muelleriana"
167.437069,-45.065587,"Agrostis muelleriana"
168.814329,-45.15227,"Agrostis muelleriana"
175.666111,-38.650556,"Agrostis muelleriana"
169.720241,-43.957661,"Agrostis muelleriana"
148.347687,-36.359179,"Agrostis muelleriana"
148.343959,-36.532832,"Agrostis muelleriana"
148.344,-36.533,"Agrostis muelleriana"
166.9527,-45.2646,"Agrostis muelleriana"
166.9167,-45.2409,"Agrostis muelleriana"
166.9182,-45.2369,"Agrostis muelleriana"
166.9522,-45.2658,"Agrostis muelleriana"
166.9526,-45.2677,"Agrostis muelleriana"
148.2653,-36.4592,"Agrostis muelleriana"
148.2772,-36.4283,"Agrostis muelleriana"
148.400611,-36.430326,"Agrostis muelleriana"
148.311,-26.416,"Agrostis muelleriana"
148.310835,-36.415913,"Agrostis muelleriana"
147.3361,-36.8667,"Agrostis muelleriana"
171.172778,-43.573889,"Agrostis muelleriana"
167.5079,-45.6783,"Agrostis muelleriana"
167.5085,-45.6789,"Agrostis muelleriana"
167.5201,-45.6867,"Agrostis muelleriana"
167.5138,-45.6772,"Agrostis muelleriana"
167.5275,-45.6658,"Agrostis muelleriana"
167.5307,-45.6426,"Agrostis muelleriana"
167.528,-45.6635,"Agrostis muelleriana"
167.5279,-45.6674,"Agrostis muelleriana"
167.5267,-45.6589,"Agrostis muelleriana"
167.5265,-45.6596,"Agrostis muelleriana"
167.5204,-45.6869,"Agrostis muelleriana"
167.5145,-45.6772,"Agrostis muelleriana"
167.5284,-45.6674,"Agrostis muelleriana"
167.5282,-45.6627,"Agrostis muelleriana"
167.52,-45.6872,"Agrostis muelleriana"
167.5217,-45.6886,"Agrostis muelleriana"
167.5143,-45.6772,"Agrostis muelleriana"
167.527,-45.6689,"Agrostis muelleriana"
167.5311,-45.6427,"Agrostis muelleriana"
167.5239,-45.6872,"Agrostis muelleriana"
167.5286,-45.6666,"Agrostis muelleriana"
167.5287,-45.6588,"Agrostis muelleriana"
167.5275,-45.6587,"Agrostis muelleriana"
167.5269,-45.6668,"Agrostis muelleriana"
167.5275,-45.6676,"Agrostis muelleriana"
167.5228,-45.687,"Agrostis muelleriana"
167.5135,-45.6773,"Agrostis muelleriana"
167.5085,-45.6797,"Agrostis muelleriana"
167.5278,-45.6586,"Agrostis muelleriana"
167.5288,-45.6633,"Agrostis muelleriana"
167.5196,-45.6869,"Agrostis muelleriana"
167.5294,-45.6414,"Agrostis muelleriana"
167.5211,-45.6882,"Agrostis muelleriana"
172.443434,-42.168151,"Agrostis muelleriana"
167.5082,-45.6797,"Agrostis muelleriana"
167.5285,-45.6621,"Agrostis muelleriana"
167.5286,-45.6635,"Agrostis muelleriana"
167.5196,-45.6865,"Agrostis muelleriana"
147.3361,-36.9431,"Agrostis muelleriana"
172.6035,-41.5555,"Agrostis muelleriana"
172.5944,-41.5259,"Agrostis muelleriana"
169.213333,-45.341944,"Agrostis muelleriana"
172.5955,-41.527,"Agrostis muelleriana"
148.2717,-36.4756,"Agrostis muelleriana"
148.271673,-36.475555,"Agrostis muelleriana"
148.2864,-36.4153,"Agrostis muelleriana"
148.286396,-36.415279,"Agrostis muelleriana"
148.272,-36.4756,"Agrostis muelleriana"
171.748,-43.2796,"Agrostis muelleriana"
166.918,-45.2391,"Agrostis muelleriana"
148.264083,-36.458111,"Agrostis muelleriana"
148.27014,-36.43825,"Agrostis muelleriana"
148.263889,-36.461861,"Agrostis muelleriana"
148.3717,-36.295,"Agrostis muelleriana"
148.281025,-36.421893,"Agrostis muelleriana"
148.265332,-36.462949,"Agrostis muelleriana"
148.359694,-36.433194,"Agrostis muelleriana"
