"lon","lat","species.name"
-7.87263,40.87056,"Agrostis delicatula"
-7.49825,41.67696,"Agrostis delicatula"
-8.58003,41.59593,"Agrostis delicatula"
-8.09886,41.68324,"Agrostis delicatula"
-7.73494,41.85995,"Agrostis delicatula"
-7.73671,41.7699,"Agrostis delicatula"
-7.97872,41.68224,"Agrostis delicatula"
-8.2179,41.77418,"Agrostis delicatula"
-8.33822,41.77494,"Agrostis delicatula"
-7.85859,41.68111,"Agrostis delicatula"
-7.73847,41.67985,"Agrostis delicatula"
-7.857,41.77116,"Agrostis delicatula"
-7.27948,40.86324,"Agrostis delicatula"
-8.23882,39.97266,"Agrostis delicatula"
-7.41931,39.96438,"Agrostis delicatula"
-8.21681,41.86424,"Agrostis delicatula"
-7.64629,40.32762,"Agrostis delicatula"
-8.58061,41.50586,"Agrostis delicatula"
-7.77689,39.60831,"Agrostis delicatula"
-8.57827,41.86614,"Agrostis delicatula"
-7.89335,39.60948,"Agrostis delicatula"
-6.81694,40.4951,"Agrostis delicatula"
-7.85378,41.95126,"Agrostis delicatula"
-7.97586,41.86235,"Agrostis delicatula"
-8.12517,39.70156,"Agrostis delicatula"
-5.674,40.228,"Agrostis delicatula"
-7.89192,39.69957,"Agrostis delicatula"
-5.378,39.478,"Agrostis delicatula"
-7.52665,40.41624,"Agrostis delicatula"
-7.7737,39.78848,"Agrostis delicatula"
-8.12403,39.79165,"Agrostis delicatula"
-7.89047,39.78965,"Agrostis delicatula"
-3.95,40.85,"Agrostis delicatula"
-3.488494,41.10317,"Agrostis delicatula"
-6.689,40.254,"Agrostis delicatula"
-7.64808,40.23755,"Agrostis delicatula"
-3.97,40.77,"Agrostis delicatula"
-3.996492,40.77936,"Agrostis delicatula"
-3.961196,40.815981,"Agrostis delicatula"
-4.8,40.31,"Agrostis delicatula"
-5.3,40.43,"Agrostis delicatula"
-4.160432,40.68723,"Agrostis delicatula"
-4.140414,40.693817,"Agrostis delicatula"
-7.98991,40.96173,"Agrostis delicatula"
-3.95,40.84,"Agrostis delicatula"
-4.12,40.72,"Agrostis delicatula"
-4.11,40.74,"Agrostis delicatula"
-4.09,40.76,"Agrostis delicatula"
-3.96,40.79,"Agrostis delicatula"
-4.578618,40.336704,"Agrostis delicatula"
-8.0742,41.82521,"Agrostis delicatula"
-1.66,40.504,"Agrostis delicatula"
-7.63534,40.868,"Agrostis delicatula"
-4.73,40.11,"Agrostis delicatula"
-7.51268,41.04664,"Agrostis delicatula"
-4.731,40.129,"Agrostis delicatula"
-7.86956,41.05069,"Agrostis delicatula"
-1.637,40.476,"Agrostis delicatula"
-3.420797,41.215866,"Agrostis delicatula"
-8.10994,40.87264,"Agrostis delicatula"
-7.00967,41.98281,"Agrostis delicatula"
-7.09884,42.63273,"Agrostis delicatula"
-7.56842,43.42297,"Agrostis delicatula"
-7.88315,40.24006,"Agrostis delicatula"
-5.43,40.297,"Agrostis delicatula"
-5.68,40.360001,"Agrostis delicatula"
-7.76562,40.23886,"Agrostis delicatula"
-3.5,42.08,"Agrostis delicatula"
-6.7,37.950001,"Agrostis delicatula"
-4.09,38.4,"Agrostis delicatula"
-7.8861,40.0599,"Agrostis delicatula"
-4.53,38.58,"Agrostis delicatula"
-4.23,38.38,"Agrostis delicatula"
