"lon","lat","species.name"
38.5892,38.2499,"Alopecurus textilis"
35.4623,38.5671,"Alopecurus textilis"
44.2634,39.6613,"Alopecurus textilis"
40.7821,40.6111,"Alopecurus textilis"
35.1188,37.8103,"Alopecurus textilis"
30.1119,36.595,"Alopecurus textilis"
35.4757,38.5669,"Alopecurus textilis"
35.4904,38.5579,"Alopecurus textilis"
45.260333,39.953167,"Alopecurus textilis"
48.00861,41.20639,"Alopecurus textilis"
47.919445,41.21389,"Alopecurus textilis"
42.498,43.241,"Alopecurus textilis"
44.75472,41.69889,"Alopecurus textilis"
43.8,40.96,"Alopecurus textilis"
44.18333,40.46667,"Alopecurus textilis"
44.183334,40.466667,"Alopecurus textilis"
44.66667,40.53333,"Alopecurus textilis"
44.666668,40.533333,"Alopecurus textilis"
49.25333,40.95805,"Alopecurus textilis"
44.66667,42.65,"Alopecurus textilis"
52.083333,35.933333,"Alopecurus textilis"
53.25,35.933333,"Alopecurus textilis"
45,36.5,"Alopecurus textilis"
52.11417,35.88333,"Alopecurus textilis"
54.197766,32.739464,"Alopecurus textilis"
46.125277,38.173613,"Alopecurus textilis"
0,0,"Alopecurus textilis"
44.18,40.47,"Alopecurus textilis"
44.67,40.53,"Alopecurus textilis"
