"lon","lat","species.name"
171.563959,-42.91036,"Anisotome haastii"
171.74003,-41.778495,"Anisotome haastii"
170.075272,-43.71389,"Anisotome haastii"
171.74543,-41.777643,"Anisotome haastii"
171.63696,-41.881205,"Anisotome haastii"
171.563358,-42.792283,"Anisotome haastii"
167.434516,-45.063652,"Anisotome haastii"
167.230225,-45.449732,"Anisotome haastii"
172.748497,-42.019936,"Anisotome haastii"
167.910318,-45.627097,"Anisotome haastii"
171.386085,-42.288153,"Anisotome haastii"
167.40911,-45.774925,"Anisotome haastii"
167.383318,-45.749223,"Anisotome haastii"
169.729998,-43.981759,"Anisotome haastii"
172.35137,-42.398831,"Anisotome haastii"
168.16824,-44.744234,"Anisotome haastii"
168.186737,-44.733046,"Anisotome haastii"
174.105835,-41.087425,"Anisotome haastii"
171.561728,-42.909669,"Anisotome haastii"
170.097898,-43.739199,"Anisotome haastii"
171.558512,-42.898769,"Anisotome haastii"
171.565842,-42.878145,"Anisotome haastii"
171.546643,-42.897937,"Anisotome haastii"
171.739946,-41.778471,"Anisotome haastii"
166.9535,-45.2657,"Anisotome haastii"
166.9517,-45.2656,"Anisotome haastii"
166.9182,-45.2369,"Anisotome haastii"
166.9571,-45.2658,"Anisotome haastii"
166.9555,-45.2679,"Anisotome haastii"
166.9172,-45.2396,"Anisotome haastii"
166.9147,-45.2322,"Anisotome haastii"
166.9546,-45.2681,"Anisotome haastii"
166.9133,-45.2317,"Anisotome haastii"
166.9187,-45.241,"Anisotome haastii"
166.9551,-45.2653,"Anisotome haastii"
166.9572,-45.2674,"Anisotome haastii"
166.9175,-45.2383,"Anisotome haastii"
166.9182,-45.2383,"Anisotome haastii"
166.9519,-45.2653,"Anisotome haastii"
166.9507,-45.2648,"Anisotome haastii"
166.9142,-45.2323,"Anisotome haastii"
166.9526,-45.2677,"Anisotome haastii"
166.9527,-45.2646,"Anisotome haastii"
166.9522,-45.2658,"Anisotome haastii"
166.9564,-45.266,"Anisotome haastii"
166.918,-45.2395,"Anisotome haastii"
