"lon","lat","species.name"
10.062532,46.918262,"Antennaria carpatica"
10.112357,46.906712,"Antennaria carpatica"
8.430333,46.427696,"Antennaria carpatica"
8.427844,46.43499,"Antennaria carpatica"
12.690381,47.040833,"Antennaria carpatica"
1.72,42.541667,"Antennaria carpatica"
-115.28194,45.46833,"Antennaria carpatica"
-115.7,45.62056,"Antennaria carpatica"
-121.729065,46.786927,"Antennaria carpatica"
-123.581458,48.060047,"Antennaria carpatica"
-121.88333,46.88333,"Antennaria carpatica"
-121.4908,46.20255,"Antennaria carpatica"
-123.13222,47.81833,"Antennaria carpatica"
-121.51444,46.87222,"Antennaria carpatica"
-119.93083,48.66972,"Antennaria carpatica"
-121.76092,46.85163,"Antennaria carpatica"
-121.73417,46.78639,"Antennaria carpatica"
-123.46725,47.99536,"Antennaria carpatica"
-122.05472,46.75667,"Antennaria carpatica"
-123.46778,47.99684,"Antennaria carpatica"
-121.82444,46.91556,"Antennaria carpatica"
-121.7181,46.8844,"Antennaria carpatica"
-120.396064,48.361367,"Antennaria carpatica"
-119.65077,47.71098,"Antennaria carpatica"
0.92,42.52,"Antennaria carpatica"
1.54,42.26,"Antennaria carpatica"
0.93,42.43,"Antennaria carpatica"
13.041598,47.524925,"Antennaria carpatica"
11.041539,47.374899,"Antennaria carpatica"
1.06,42.07,"Antennaria carpatica"
2.14,42.35,"Antennaria carpatica"
10.291513,47.324893,"Antennaria carpatica"
0.68,42.51,"Antennaria carpatica"
1.66,42.17,"Antennaria carpatica"
-2.02,42.35,"Antennaria carpatica"
10.291515,47.274899,"Antennaria carpatica"
12.79159,47.524934,"Antennaria carpatica"
11.124871,47.424902,"Antennaria carpatica"
2.27,42.35,"Antennaria carpatica"
0.79,42.78,"Antennaria carpatica"
1.29,42.43,"Antennaria carpatica"
10.374852,47.324899,"Antennaria carpatica"
1.66,42.26,"Antennaria carpatica"
12.958262,47.524925,"Antennaria carpatica"
10.874866,47.574906,"Antennaria carpatica"
10.458187,47.424902,"Antennaria carpatica"
1.78,42.26,"Antennaria carpatica"
1.9,42.35,"Antennaria carpatica"
10.458182,47.374906,"Antennaria carpatica"
0.8,42.51,"Antennaria carpatica"
0.56,42.6,"Antennaria carpatica"
10.54152,47.574906,"Antennaria carpatica"
0.92,42.61,"Antennaria carpatica"
0.68,42.6,"Antennaria carpatica"
13.041595,47.474931,"Antennaria carpatica"
1.9,42.26,"Antennaria carpatica"
0.68,42.42,"Antennaria carpatica"
1.78,42.44,"Antennaria carpatica"
-0.55,42.69,"Antennaria carpatica"
12.874926,47.524922,"Antennaria carpatica"
11.291547,47.424909,"Antennaria carpatica"
0.81,42.42,"Antennaria carpatica"
1.05,42.52,"Antennaria carpatica"
1.29,42.52,"Antennaria carpatica"
1.41,42.61,"Antennaria carpatica"
13.041602,47.574928,"Antennaria carpatica"
10.208178,47.274899,"Antennaria carpatica"
12.874926,47.574922,"Antennaria carpatica"
10.208177,47.37489,"Antennaria carpatica"
12.958266,47.574928,"Antennaria carpatica"
10.374846,47.374899,"Antennaria carpatica"
2.02,42.26,"Antennaria carpatica"
0.67,42.78,"Antennaria carpatica"
1.41,42.52,"Antennaria carpatica"
10.37485,47.424899,"Antennaria carpatica"
1.66,42.44,"Antennaria carpatica"
0.8,42.6,"Antennaria carpatica"
12.958258,47.474925,"Antennaria carpatica"
0.8,42.69,"Antennaria carpatica"
0.92,42.7,"Antennaria carpatica"
12.791586,47.624931,"Antennaria carpatica"
