"lon","lat","species.name"
16.320341,58.824659,"Arabis hirsuta"
9.983714,59.765396,"Arabis hirsuta"
9.982026,59.7673,"Arabis hirsuta"
17.048425,57.186049,"Arabis hirsuta"
16.319307,58.824933,"Arabis hirsuta"
5.00214,43.5889,"Arabis hirsuta"
11.294554,58.488956,"Arabis hirsuta"
8.678768,49.276535,"Arabis hirsuta"
16.577573,56.649296,"Arabis hirsuta"
16.811378,56.856574,"Arabis hirsuta"
8.516893,49.267357,"Arabis hirsuta"
8.643107,49.296864,"Arabis hirsuta"
7.652954,48.109924,"Arabis hirsuta"
16.412085,56.328975,"Arabis hirsuta"
16.54253,56.663556,"Arabis hirsuta"
9.860173,52.002811,"Arabis hirsuta"
8.717324,49.316868,"Arabis hirsuta"
12.470062,58.804396,"Arabis hirsuta"
2.48325,49.77231,"Arabis hirsuta"
2.43406,48.41393,"Arabis hirsuta"
11.623587,49.323944,"Arabis hirsuta"
23.343201,42.134575,"Arabis hirsuta"
9.882588,52.343704,"Arabis hirsuta"
16.639162,56.852345,"Arabis hirsuta"
24.806243,54.764499,"Arabis hirsuta"
9.290063,48.352776,"Arabis hirsuta"
-87.805784,41.644964,"Arabis hirsuta"
25.353579,54.680351,"Arabis hirsuta"
10.684776,59.529641,"Arabis hirsuta"
9.022089,61.866388,"Arabis hirsuta"
7.328181,45.583321,"Arabis hirsuta"
5.81903,45.19119,"Arabis hirsuta"
18.529603,57.36339,"Arabis hirsuta"
16.432432,56.458129,"Arabis hirsuta"
16.851425,56.964675,"Arabis hirsuta"
5.08132,51.0016,"Arabis hirsuta"
16.403569,56.394576,"Arabis hirsuta"
5.65785,45.20795,"Arabis hirsuta"
5.63967,50.83957,"Arabis hirsuta"
5.72434,45.14422,"Arabis hirsuta"
5.61911,45.24012,"Arabis hirsuta"
8.561954,49.088791,"Arabis hirsuta"
10.488586,61.023821,"Arabis hirsuta"
19.186038,69.713213,"Arabis hirsuta"
12.943697,48.776386,"Arabis hirsuta"
10.610253,59.884857,"Arabis hirsuta"
10.803679,63.431731,"Arabis hirsuta"
10.778418,59.922772,"Arabis hirsuta"
10.656714,59.914258,"Arabis hirsuta"
16.544102,56.331958,"Arabis hirsuta"
16.535685,56.349201,"Arabis hirsuta"
13.713636,58.232018,"Arabis hirsuta"
17.278322,59.615658,"Arabis hirsuta"
13.104237,57.746814,"Arabis hirsuta"
16.516048,56.374594,"Arabis hirsuta"
2.5701,51.09796,"Arabis hirsuta"
10.291989,63.191679,"Arabis hirsuta"
