"lon","lat","species.name"
-114.674778,49.644,"Arabis nuttallii"
-114.674222,49.642917,"Arabis nuttallii"
-112.965867,51.935983,"Arabis nuttallii"
-111.16117,40.23839,"Arabis nuttallii"
-110.4418,46.635,"Arabis nuttallii"
-113.719877,49.1609949990669,"Arabis nuttallii"
-116.373038,52.3868839990884,"Arabis nuttallii"
-121.143817,46.763733,"Arabis nuttallii"
-110.9025,41.34283,"Arabis nuttallii"
-111.6867,41.6575,"Arabis nuttallii"
-111.6919,41.6542,"Arabis nuttallii"
-110.566705,45.658236,"Arabis nuttallii"
-121.50664,46.13163,"Arabis nuttallii"
-111.66,41.76,"Arabis nuttallii"
-111.225,45.15833,"Arabis nuttallii"
-111.132992752018,45.0470251513318,"Arabis nuttallii"
-113.016667,49.016667,"Arabis nuttallii"
-111.65,41.76,"Arabis nuttallii"
-111.65,41.79,"Arabis nuttallii"
-114.916667,49.1,"Arabis nuttallii"
-111.944466,40.424213,"Arabis nuttallii"
-114.383333,49.133333,"Arabis nuttallii"
-111.4,42.99,"Arabis nuttallii"
-111.4,43,"Arabis nuttallii"
-110.422,45.5511,"Arabis nuttallii"
-111.45,42.1,"Arabis nuttallii"
-113.05,40.53,"Arabis nuttallii"
-113.862,49.5565,"Arabis nuttallii"
-134.2,60.35,"Arabis nuttallii"
-111.65,41.8,"Arabis nuttallii"
-113.933333,49.716667,"Arabis nuttallii"
-114.416667,50.2,"Arabis nuttallii"
-114.166667,50.433333,"Arabis nuttallii"
-113.5,49,"Arabis nuttallii"
-112.916667,51.666667,"Arabis nuttallii"
-110.333333,49.5,"Arabis nuttallii"
-110.25,49.566667,"Arabis nuttallii"
-113.1,49.1,"Arabis nuttallii"
-113.8538,49.1017,"Arabis nuttallii"
-113.666667,49.066667,"Arabis nuttallii"
-114.05,49.15,"Arabis nuttallii"
-112.02,43.27,"Arabis nuttallii"
-113.833333,49.1,"Arabis nuttallii"
-113.833333,49.133333,"Arabis nuttallii"
-113.816667,49.116667,"Arabis nuttallii"
-113.8,49.116667,"Arabis nuttallii"
-114.05,49.133333,"Arabis nuttallii"
-107.00244,44.28997,"Arabis nuttallii"
-113.9,49.116667,"Arabis nuttallii"
-113.883333,49.066667,"Arabis nuttallii"
-113.966667,49.1,"Arabis nuttallii"
-113.816667,49.1,"Arabis nuttallii"
-113.883333,49.05,"Arabis nuttallii"
-113.783333,49.033333,"Arabis nuttallii"
-114.083333,49.116667,"Arabis nuttallii"
-113.966667,49.083333,"Arabis nuttallii"
-113.866667,49.15,"Arabis nuttallii"
-113.983333,49.166667,"Arabis nuttallii"
-113.95,49.116667,"Arabis nuttallii"
-113.95,49.1,"Arabis nuttallii"
-113.883333,49.15,"Arabis nuttallii"
-113.833333,49.083333,"Arabis nuttallii"
-113.883333,49.083333,"Arabis nuttallii"
-113.916667,49.033333,"Arabis nuttallii"
-113.9,49.033333,"Arabis nuttallii"
-113.866667,49.083333,"Arabis nuttallii"
-113.683333,49.016667,"Arabis nuttallii"
-114.05,49.116667,"Arabis nuttallii"
-113.933333,49.166667,"Arabis nuttallii"
-113.95,49.033333,"Arabis nuttallii"
-114.4,49.5,"Arabis nuttallii"
-114.066667,49.05,"Arabis nuttallii"
-114.283333,49.35,"Arabis nuttallii"
-113.916667,49.1,"Arabis nuttallii"
-114.316667,49.433333,"Arabis nuttallii"
-114.033333,49.133333,"Arabis nuttallii"
-113.933333,49.083333,"Arabis nuttallii"
-114,49.083333,"Arabis nuttallii"
-114.033333,49.083333,"Arabis nuttallii"
-114.45,50.15,"Arabis nuttallii"
-114.016667,49.133333,"Arabis nuttallii"
-114.566667,49.633333,"Arabis nuttallii"
-120.7,50.716667,"Arabis nuttallii"
-114.2,49.583333,"Arabis nuttallii"
-115.216667,49.083333,"Arabis nuttallii"
-115.216667,49.1,"Arabis nuttallii"
-114.05,49.05,"Arabis nuttallii"
-114.483333,49.016667,"Arabis nuttallii"
-114.583333,49.3,"Arabis nuttallii"
-114.566667,49.366667,"Arabis nuttallii"
-114.166667,49.133333,"Arabis nuttallii"
-114.2,49.033333,"Arabis nuttallii"
-114.1,49.016667,"Arabis nuttallii"
-114.000738800528,48.9997925359606,"Arabis nuttallii"
-114.483333,49.2,"Arabis nuttallii"
-115.172197,46.077149,"Arabis nuttallii"
-113.842879554579,48.7488536282901,"Arabis nuttallii"
-115.166667,49.066667,"Arabis nuttallii"
-115.99556,47.43972,"Arabis nuttallii"
-115.83361,47.56333,"Arabis nuttallii"
-119.29111,47.589678,"Arabis nuttallii"
-123.46516,47.09815,"Arabis nuttallii"
-120.167075,46.897525,"Arabis nuttallii"
-118.01333,47.093401,"Arabis nuttallii"
-135.05,60.717,"Arabis nuttallii"
-111.1881,40.1947,"Arabis nuttallii"
-113.45,49.166667,"Arabis nuttallii"
-113.933333,49.533333,"Arabis nuttallii"
-115,68,"Arabis nuttallii"
-111.5975,42.6476,"Arabis nuttallii"
-111.4475,44.506179,"Arabis nuttallii"
-121.53493,46.07644,"Arabis nuttallii"
-120.622878,46.548948,"Arabis nuttallii"
-111.855569,44.050647,"Arabis nuttallii"
-113.317397702443,49.6331320736495,"Arabis nuttallii"
-117.97444,47.30028,"Arabis nuttallii"
-116.35,47.43916,"Arabis nuttallii"
-112.49151,45.695576,"Arabis nuttallii"
-108.083339,40.648093,"Arabis nuttallii"
