"lon","lat","species.name"
11.970132,58.385124,"Arctostaphylos uva-ursi"
10.623225,59.685099,"Arctostaphylos uva-ursi"
9.974372,59.771058,"Arctostaphylos uva-ursi"
16.274095,58.970548,"Arctostaphylos uva-ursi"
9.983714,59.765396,"Arctostaphylos uva-ursi"
-123.926528,46.026846,"Arctostaphylos uva-ursi"
16.703804,60.629898,"Arctostaphylos uva-ursi"
9.981118,59.767372,"Arctostaphylos uva-ursi"
11.63436,58.263979,"Arctostaphylos uva-ursi"
11.959289,57.670308,"Arctostaphylos uva-ursi"
9.971399,59.771746,"Arctostaphylos uva-ursi"
16.677169,57.714977,"Arctostaphylos uva-ursi"
-63.533378,44.48752,"Arctostaphylos uva-ursi"
17.579482,59.99275,"Arctostaphylos uva-ursi"
17.813305,59.478236,"Arctostaphylos uva-ursi"
16.522749,59.336831,"Arctostaphylos uva-ursi"
9.97359,59.771226,"Arctostaphylos uva-ursi"
17.697943,59.809235,"Arctostaphylos uva-ursi"
17.847764,59.449149,"Arctostaphylos uva-ursi"
15.83048,57.238048,"Arctostaphylos uva-ursi"
16.361672,58.992986,"Arctostaphylos uva-ursi"
17.582572,59.975566,"Arctostaphylos uva-ursi"
18.273673,59.275474,"Arctostaphylos uva-ursi"
-122.433328,37.685562,"Arctostaphylos uva-ursi"
-123.876253,46.14219,"Arctostaphylos uva-ursi"
-124.174039,40.833959,"Arctostaphylos uva-ursi"
16.491919,57.524022,"Arctostaphylos uva-ursi"
16.955548,57.249343,"Arctostaphylos uva-ursi"
16.271957,58.971086,"Arctostaphylos uva-ursi"
18.961459,57.845669,"Arctostaphylos uva-ursi"
-105.307948,40.004607,"Arctostaphylos uva-ursi"
-123.923133,45.71465,"Arctostaphylos uva-ursi"
20.291792,63.748492,"Arctostaphylos uva-ursi"
16.331632,59.02252,"Arctostaphylos uva-ursi"
-105.237953,39.633767,"Arctostaphylos uva-ursi"
18.149598,59.279599,"Arctostaphylos uva-ursi"
-123.875964,46.117764,"Arctostaphylos uva-ursi"
15.725458,57.459528,"Arctostaphylos uva-ursi"
14.045663,57.751823,"Arctostaphylos uva-ursi"
15.928235,56.725638,"Arctostaphylos uva-ursi"
16.758979,60.58318,"Arctostaphylos uva-ursi"
18.725652,57.38304,"Arctostaphylos uva-ursi"
13.710609,57.699697,"Arctostaphylos uva-ursi"
17.602353,59.808991,"Arctostaphylos uva-ursi"
17.522421,60.116455,"Arctostaphylos uva-ursi"
-124.148445,40.878931,"Arctostaphylos uva-ursi"
-166.464172,53.872041,"Arctostaphylos uva-ursi"
15.488537,59.674265,"Arctostaphylos uva-ursi"
-74.552748,39.892675,"Arctostaphylos uva-ursi"
-86.795762,41.929399,"Arctostaphylos uva-ursi"
14.576522,58.725169,"Arctostaphylos uva-ursi"
11.958768,58.435494,"Arctostaphylos uva-ursi"
-91.212158,47.319162,"Arctostaphylos uva-ursi"
16.528049,59.82483,"Arctostaphylos uva-ursi"
-87.766254,41.99112,"Arctostaphylos uva-ursi"
-122.433474,37.685452,"Arctostaphylos uva-ursi"
-87.981421,42.495238,"Arctostaphylos uva-ursi"
-105.646953,40.346518,"Arctostaphylos uva-ursi"
-122.433503,37.685445,"Arctostaphylos uva-ursi"
-122.84675,46.90507,"Arctostaphylos uva-ursi"
5.452575,44.883131,"Arctostaphylos uva-ursi"
-87.976864,42.569686,"Arctostaphylos uva-ursi"
-87.877802,42.490386,"Arctostaphylos uva-ursi"
-166.453857,53.883297,"Arctostaphylos uva-ursi"
15.731306,57.455251,"Arctostaphylos uva-ursi"
17.960224,59.722785,"Arctostaphylos uva-ursi"
-123.951514,45.272653,"Arctostaphylos uva-ursi"
-122.498279,37.635315,"Arctostaphylos uva-ursi"
-122.433464,37.685472,"Arctostaphylos uva-ursi"
13.83322,59.759655,"Arctostaphylos uva-ursi"
18.808701,57.37779,"Arctostaphylos uva-ursi"
13.242847,56.610864,"Arctostaphylos uva-ursi"
-92.648475,45.397746,"Arctostaphylos uva-ursi"
-74.832741,39.840539,"Arctostaphylos uva-ursi"
-74.548486,39.813783,"Arctostaphylos uva-ursi"
-135.02803,60.662567,"Arctostaphylos uva-ursi"
15.49239,59.680334,"Arctostaphylos uva-ursi"
15.92536,56.726205,"Arctostaphylos uva-ursi"
-122.269829,47.405919,"Arctostaphylos uva-ursi"
17.524388,60.117054,"Arctostaphylos uva-ursi"
17.236317,60.010999,"Arctostaphylos uva-ursi"
12.39508,58.867716,"Arctostaphylos uva-ursi"
-114.087581,49.971424,"Arctostaphylos uva-ursi"
-90.880294,48.168785,"Arctostaphylos uva-ursi"
-87.99805,42.469936,"Arctostaphylos uva-ursi"
-87.865222,42.562187,"Arctostaphylos uva-ursi"
-91.215003,47.392945,"Arctostaphylos uva-ursi"
24.858268,60.221065,"Arctostaphylos uva-ursi"
-114.357279,62.455354,"Arctostaphylos uva-ursi"
-79.098208,44.644215,"Arctostaphylos uva-ursi"
-122.844749,46.904683,"Arctostaphylos uva-ursi"
-87.926018,42.51431,"Arctostaphylos uva-ursi"
-91.656183,46.516651,"Arctostaphylos uva-ursi"
-86.989449,45.259502,"Arctostaphylos uva-ursi"
-125.675903,49.021777,"Arctostaphylos uva-ursi"
-147.874963,64.913739,"Arctostaphylos uva-ursi"
-76.143837,45.254796,"Arctostaphylos uva-ursi"
18.296095,57.58504,"Arctostaphylos uva-ursi"
-69.067764,44.223488,"Arctostaphylos uva-ursi"
-90.194267,44.151836,"Arctostaphylos uva-ursi"
-89.744443,44.280684,"Arctostaphylos uva-ursi"
-81.381771,45.055611,"Arctostaphylos uva-ursi"
-122.2891,48.419318,"Arctostaphylos uva-ursi"
-123.336124,48.900697,"Arctostaphylos uva-ursi"
-113.643265,61.158476,"Arctostaphylos uva-ursi"
-124.156237,43.848022,"Arctostaphylos uva-ursi"
-125.676684,49.021492,"Arctostaphylos uva-ursi"
-84.195614,45.157409,"Arctostaphylos uva-ursi"
-82.756406,45.796498,"Arctostaphylos uva-ursi"
-124.010685,46.267197,"Arctostaphylos uva-ursi"
-114.399433,51.16815,"Arctostaphylos uva-ursi"
-78.121109,44.457222,"Arctostaphylos uva-ursi"
-84.885126,45.953266,"Arctostaphylos uva-ursi"
-135.091479,60.725145,"Arctostaphylos uva-ursi"
-76.65463,45.16078,"Arctostaphylos uva-ursi"
-84.883924,45.924818,"Arctostaphylos uva-ursi"
-74.377227,39.889475,"Arctostaphylos uva-ursi"
-89.759589,44.27624,"Arctostaphylos uva-ursi"
-90.544587,46.914375,"Arctostaphylos uva-ursi"
-125.791428,49.065862,"Arctostaphylos uva-ursi"
-90.880275,48.168853,"Arctostaphylos uva-ursi"
-124.011097,46.270326,"Arctostaphylos uva-ursi"
18.326467,59.202839,"Arctostaphylos uva-ursi"
-91.302418,47.291455,"Arctostaphylos uva-ursi"
-87.99243,42.481066,"Arctostaphylos uva-ursi"
-90.673032,46.801695,"Arctostaphylos uva-ursi"
-105.549429,40.314068,"Arctostaphylos uva-ursi"
-123.048063,46.904272,"Arctostaphylos uva-ursi"
