"lon","lat","species.name"
7.336466,45.580284,"Asperula aristata"
7.58849,44.086739,"Asperula aristata"
7.447024,44.013744,"Asperula aristata"
7.173461,45.510887,"Asperula aristata"
-0.67,38.31,"Asperula aristata"
-0.66,39.37,"Asperula aristata"
-0.67,38.54,"Asperula aristata"
-0.68,38.54,"Asperula aristata"
-0.68,38.55,"Asperula aristata"
-0.18,38.59,"Asperula aristata"
-0.17,38.59,"Asperula aristata"
-0.17,38.58,"Asperula aristata"
7.460795,45.144811,"Asperula aristata"
-0.86,39.27,"Asperula aristata"
-0.18,38.58,"Asperula aristata"
6.41315,44.92038,"Asperula aristata"
-0.28,40.37,"Asperula aristata"
-0.89,38.65,"Asperula aristata"
-0.27,40.37,"Asperula aristata"
7.56381,44.15515,"Asperula aristata"
7.47161,44.11585,"Asperula aristata"
-0.3,40.44,"Asperula aristata"
15.123539,40.776577,"Asperula aristata"
-0.26,40.36,"Asperula aristata"
-0.28,40.36,"Asperula aristata"
-0.31,40.42,"Asperula aristata"
-0.27,40.36,"Asperula aristata"
7.6557,45.629987,"Asperula aristata"
-0.17,38.83,"Asperula aristata"
-0.38,39.05,"Asperula aristata"
-0.37,39.05,"Asperula aristata"
-0.37,39.04,"Asperula aristata"
-0.37,39.08,"Asperula aristata"
-8.57708,42.04627,"Asperula aristata"
-8.33542,42.04512,"Asperula aristata"
-0.18,40.6,"Asperula aristata"
-4.798,36.767,"Asperula aristata"
-0.33,40.66,"Asperula aristata"
-0.4,38.96,"Asperula aristata"
-0.29,38.88,"Asperula aristata"
-3.23,43.02,"Asperula aristata"
-0.54,40,"Asperula aristata"
-0.42,38.96,"Asperula aristata"
-1.06,39.19,"Asperula aristata"
-0.69,38.82,"Asperula aristata"
-4.309,36.99,"Asperula aristata"
12.204394,46.221191,"Asperula aristata"
-0.99,38.51,"Asperula aristata"
12.045394,46.15974,"Asperula aristata"
-1.41,40.08,"Asperula aristata"
-8.33448,42.13518,"Asperula aristata"
-7.01239,41.84971,"Asperula aristata"
-6.77163,41.84529,"Asperula aristata"
-1.39,40.08,"Asperula aristata"
-0.99,38.5,"Asperula aristata"
-1.39,40.07,"Asperula aristata"
0.01,40.54,"Asperula aristata"
0.14,40.41,"Asperula aristata"
-0.73,38.45,"Asperula aristata"
-0.78,38.31,"Asperula aristata"
-0.77,38.31,"Asperula aristata"
-0.7,39,"Asperula aristata"
-0.4,39.07,"Asperula aristata"
-0.41,39.08,"Asperula aristata"
-0.4,39.06,"Asperula aristata"
-0.68,39,"Asperula aristata"
-0.71,39.01,"Asperula aristata"
-0.4,39.08,"Asperula aristata"
-0.74,38.99,"Asperula aristata"
-0.71,39,"Asperula aristata"
-0.41,39.06,"Asperula aristata"
-0.68,38.99,"Asperula aristata"
-0.69,39,"Asperula aristata"
-0.73,38.99,"Asperula aristata"
-0.77,38.48,"Asperula aristata"
-0.64,38.92,"Asperula aristata"
-8.4744,39.79377,"Asperula aristata"
-0.63,38.92,"Asperula aristata"
-0.63,38.91,"Asperula aristata"
-0.7,39.3,"Asperula aristata"
-0.58,38.78,"Asperula aristata"
-0.49,39.93,"Asperula aristata"
0.12,40.3,"Asperula aristata"
-0.18,40.14,"Asperula aristata"
-0.59,38.79,"Asperula aristata"
-0.58,38.77,"Asperula aristata"
-0.13,40.11,"Asperula aristata"
-0.61,38.77,"Asperula aristata"
-0.61,38.76,"Asperula aristata"
-0.69,39.31,"Asperula aristata"
-0.69,39.3,"Asperula aristata"
-0.14,40.11,"Asperula aristata"
-0.5,38.75,"Asperula aristata"
-0.58,38.79,"Asperula aristata"
-0.61,38.74,"Asperula aristata"
-0.53,38.76,"Asperula aristata"
-0.53,38.75,"Asperula aristata"
-0.18,40.15,"Asperula aristata"
-0.17,40.14,"Asperula aristata"
-0.3,39.59,"Asperula aristata"
-0.49,39.92,"Asperula aristata"
-0.3,39.58,"Asperula aristata"
-0.14,40.1,"Asperula aristata"
-0.44,39.91,"Asperula aristata"
0.16,40.4,"Asperula aristata"
-0.01,38.68,"Asperula aristata"
0.16,40.41,"Asperula aristata"
-0.04,38.67,"Asperula aristata"
0.17,40.4,"Asperula aristata"
-0.005,38.68,"Asperula aristata"
0.005,38.68,"Asperula aristata"
-0.15,40.35,"Asperula aristata"
-4.83941,36.83517,"Asperula aristata"
-0.04,38.66,"Asperula aristata"
-0.06,38.66,"Asperula aristata"
0.19,40.45,"Asperula aristata"
0.14,40.38,"Asperula aristata"
0.13,40.38,"Asperula aristata"
-0.14,40.36,"Asperula aristata"
-4.549,36.617,"Asperula aristata"
-0.87,39.6,"Asperula aristata"
-0.008,40.5,"Asperula aristata"
-1.07,38.41,"Asperula aristata"
-0.99,38.48,"Asperula aristata"
0.02,40.51,"Asperula aristata"
-4.845,36.829,"Asperula aristata"
-0.31,40.44,"Asperula aristata"
-0.27,40.32,"Asperula aristata"
0.008,40.5,"Asperula aristata"
0.03,40.51,"Asperula aristata"
-1.11,39.05,"Asperula aristata"
-0.03,40.51,"Asperula aristata"
-1.12,39.05,"Asperula aristata"
-1.11,39.04,"Asperula aristata"
-0.04,40.51,"Asperula aristata"
-0.27,40.31,"Asperula aristata"
-0.31,40.45,"Asperula aristata"
-0.008,40.51,"Asperula aristata"
-0.86,38.49,"Asperula aristata"
0.008,40.51,"Asperula aristata"
-4.791,36.929,"Asperula aristata"
-0.73,38.52,"Asperula aristata"
-6.77475,41.75529,"Asperula aristata"
-8.47508,39.70367,"Asperula aristata"
-1.38,40.07,"Asperula aristata"
-0.33,40.43,"Asperula aristata"
-0.29,40.42,"Asperula aristata"
-0.75,38.52,"Asperula aristata"
-4.365,36.962,"Asperula aristata"
-4.987,36.692,"Asperula aristata"
-0.34,40.43,"Asperula aristata"
-1.04,38.45,"Asperula aristata"
-0.32,40.44,"Asperula aristata"
-0.87,38.39,"Asperula aristata"
-0.28,40.42,"Asperula aristata"
-0.91,38.29,"Asperula aristata"
-0.82,38.41,"Asperula aristata"
-0.96,38.47,"Asperula aristata"
-8.82548,39.52452,"Asperula aristata"
-1.22,39.08,"Asperula aristata"
-0.95,38.42,"Asperula aristata"
0.17,38.73,"Asperula aristata"
-0.91,38.31,"Asperula aristata"
-0.46,38.81,"Asperula aristata"
-0.83,38.29,"Asperula aristata"
-3.26,40.49,"Asperula aristata"
-0.57,39.41,"Asperula aristata"
-0.58,39.1,"Asperula aristata"
-0.6,39.11,"Asperula aristata"
-0.47,39.37,"Asperula aristata"
-0.53,39.4,"Asperula aristata"
-0.62,39.28,"Asperula aristata"
-0.79,38.33,"Asperula aristata"
-0.55,39.4,"Asperula aristata"
-0.53,39.86,"Asperula aristata"
-0.6,39.1,"Asperula aristata"
-0.66,39.67,"Asperula aristata"
-0.61,39.12,"Asperula aristata"
-0.63,39.26,"Asperula aristata"
-0.83,38.33,"Asperula aristata"
-0.67,39.67,"Asperula aristata"
-0.67,38.47,"Asperula aristata"
0.16,40.23,"Asperula aristata"
-0.43,38.97,"Asperula aristata"
-0.6,39.09,"Asperula aristata"
0.15,40.23,"Asperula aristata"
-0.64,39.25,"Asperula aristata"
-0.61,39.28,"Asperula aristata"
-0.44,38.97,"Asperula aristata"
-0.58,39.28,"Asperula aristata"
-0.48,39.37,"Asperula aristata"
-0.59,39.41,"Asperula aristata"
-0.65,39.67,"Asperula aristata"
-0.57,39.1,"Asperula aristata"
-0.59,39.29,"Asperula aristata"
-0.35,38.96,"Asperula aristata"
-0.58,39.09,"Asperula aristata"
-0.6,39.12,"Asperula aristata"
0.13,40.23,"Asperula aristata"
-0.61,39.13,"Asperula aristata"
-0.52,39.41,"Asperula aristata"
-0.58,39.12,"Asperula aristata"
-0.53,39.41,"Asperula aristata"
-0.58,39.11,"Asperula aristata"
-0.5,39.48,"Asperula aristata"
