"lon","lat","species.name"
98.948889,28.484444,"Aster himalaicus"
90.288733,27.71795,"Aster himalaicus"
90.281333,27.712733,"Aster himalaicus"
90.306533,27.725933,"Aster himalaicus"
89.33425,27.780267,"Aster himalaicus"
89.341667,27.782433,"Aster himalaicus"
87.8911,27.6658,"Aster himalaicus"
94.6061,29.6037,"Aster himalaicus"
85.39505,28.08655,"Aster himalaicus"
94.5653,29.5678,"Aster himalaicus"
85.398333,28.084444,"Aster himalaicus"
99.8214,28.6189,"Aster himalaicus"
90.566667,27.766667,"Aster himalaicus"
85.57,28.22,"Aster himalaicus"
91.9,28.12,"Aster himalaicus"
90.95,28.3,"Aster himalaicus"
94.68,29.62,"Aster himalaicus"
94.87,29.9,"Aster himalaicus"
94.58,29.62,"Aster himalaicus"
94.95,29.58,"Aster himalaicus"
87.07,27.98,"Aster himalaicus"
87.32,28.08,"Aster himalaicus"
87.03,27.98,"Aster himalaicus"
87.27,28.03,"Aster himalaicus"
87.13,27.98,"Aster himalaicus"
87.22,27.97,"Aster himalaicus"
87.15,27.98,"Aster himalaicus"
103.59895,32.637983,"Aster himalaicus"
99.706013,27.82308,"Aster himalaicus"
101.507299,29.000343,"Aster himalaicus"
101.279419,27.928607,"Aster himalaicus"
85.416667,28.083333,"Aster himalaicus"
98.1029,32.978959,"Aster himalaicus"
98.580912,31.80612,"Aster himalaicus"
83.9,28.1,"Aster himalaicus"
86.5,27.83,"Aster himalaicus"
90.37,27.95,"Aster himalaicus"
98.9,28.0667,"Aster himalaicus"
99.28717,27.177166,"Aster himalaicus"
97.67,28.33,"Aster himalaicus"
97.33,28.17,"Aster himalaicus"
89.57,27.48,"Aster himalaicus"
88.82,27.4,"Aster himalaicus"
100.229945,26.876096,"Aster himalaicus"
88.15,27.48,"Aster himalaicus"
88.7,27.83,"Aster himalaicus"
89,27.75,"Aster himalaicus"
88.05,27.4,"Aster himalaicus"
90.42,27.82,"Aster himalaicus"
86.37,27.9,"Aster himalaicus"
