"lon","lat","species.name"
-69.50386,-55.1755,"Azorella lycopodioides"
-67.425139,-54.880278,"Azorella lycopodioides"
-72.06756,-47.73192,"Azorella lycopodioides"
-72.36557,-47.74994,"Azorella lycopodioides"
-72.23098,-47.73932,"Azorella lycopodioides"
-72.11786,-47.92071,"Azorella lycopodioides"
-64.68333,-54.86666,"Azorella lycopodioides"
-67.25,-54.35,"Azorella lycopodioides"
-72.2,-40.766667,"Azorella lycopodioides"
-67.33333,-54.36666,"Azorella lycopodioides"
-63.85,-54.75,"Azorella lycopodioides"
-57.85,-51.68,"Azorella lycopodioides"
-60.78,-52.12,"Azorella lycopodioides"
-58.85,-51.73,"Azorella lycopodioides"
-57.83,-51.72,"Azorella lycopodioides"
-57.95,-51.68,"Azorella lycopodioides"
-59.5,-51.75,"Azorella lycopodioides"
-59.462,-51.519,"Azorella lycopodioides"
-72.493056,-48.944722,"Azorella lycopodioides"
-67.712222,-53.692778,"Azorella lycopodioides"
-70.906389,-53.147778,"Azorella lycopodioides"
-57.841389,-51.700278,"Azorella lycopodioides"
-71.55,-41.43,"Azorella lycopodioides"
-72.83,-51.17,"Azorella lycopodioides"
-60.385654,-51.732315,"Azorella lycopodioides"
-69.37,-36.14,"Azorella lycopodioides"
-71.37389,-37.8525,"Azorella lycopodioides"
-70.77,-36.43,"Azorella lycopodioides"
-70.5,-54,"Azorella lycopodioides"
-57.84889,-51.694662,"Azorella lycopodioides"
-72.83333,-51.16666,"Azorella lycopodioides"
-67.95,-53.75,"Azorella lycopodioides"
-67.93,-54.04,"Azorella lycopodioides"
-70.68,-36.28,"Azorella lycopodioides"
-70.68,-37.61,"Azorella lycopodioides"
-64.68,-54.87,"Azorella lycopodioides"
-64.7,-54.9,"Azorella lycopodioides"
-71.97,-50.73,"Azorella lycopodioides"
-57.77,-51.7,"Azorella lycopodioides"
-70.47,-36.72,"Azorella lycopodioides"
-70.66,-45.31,"Azorella lycopodioides"
-72.383333,-41.766667,"Azorella lycopodioides"
-68.51,-35.6,"Azorella lycopodioides"
