"lon","lat","species.name"
-78.254444,-0.273389,"Azorella pedunculata"
-78.200972,-0.492305,"Azorella pedunculata"
-78.213611,-0.108889,"Azorella pedunculata"
-79.223889,-2.782222,"Azorella pedunculata"
-78.183333,-0.35,"Azorella pedunculata"
-79.304722,-2.798889,"Azorella pedunculata"
-78.29861,-1.22861,"Azorella pedunculata"
-78.29583,-1.22972,"Azorella pedunculata"
-77.95,0.11666,"Azorella pedunculata"
-78.866,-1.533,"Azorella pedunculata"
-78.08333,-1.53333,"Azorella pedunculata"
-78.7,-0.4,"Azorella pedunculata"
-78.7,-0.666,"Azorella pedunculata"
-78.7,-0.66666,"Azorella pedunculata"
-78.28333,-0.33333,"Azorella pedunculata"
-77.83333,0.61666,"Azorella pedunculata"
-78.51666,-0.58333,"Azorella pedunculata"
-77.01666,-0.73333,"Azorella pedunculata"
-77.95,0.7,"Azorella pedunculata"
-78.966667,-1.383333,"Azorella pedunculata"
-78.283,-0.316,"Azorella pedunculata"
-78.28333,-0.31666,"Azorella pedunculata"
-78.93333,-1.46666,"Azorella pedunculata"
-78.933,-1.466,"Azorella pedunculata"
-78.81666,-1.4,"Azorella pedunculata"
-78.366667,0.3,"Azorella pedunculata"
-78.36666,0.3,"Azorella pedunculata"
-78.2,-0.31666,"Azorella pedunculata"
-77.926712,0.825663,"Azorella pedunculata"
-78.416667,-1.833333,"Azorella pedunculata"
-78.36666,-0.63333,"Azorella pedunculata"
-78.33333,-0.75,"Azorella pedunculata"
-78.333,-0.75,"Azorella pedunculata"
-78.38333,-1.48333,"Azorella pedunculata"
-72.952203,6.026473,"Azorella pedunculata"
-77.153143,1.174228,"Azorella pedunculata"
-78.93333,-1.5,"Azorella pedunculata"
-78.08333,0.33333,"Azorella pedunculata"
0,0,"Azorella pedunculata"
-77.966,0.783,"Azorella pedunculata"
-77.96666,0.78333,"Azorella pedunculata"
-78.61666,-0.35,"Azorella pedunculata"
-78.53333,-0.15,"Azorella pedunculata"
-78.533,-0.15,"Azorella pedunculata"
-77.91666,0.66666,"Azorella pedunculata"
-78.916,-0.366,"Azorella pedunculata"
-78.91666,-0.36666,"Azorella pedunculata"
-78.25,0.23333,"Azorella pedunculata"
-78.25,0.233,"Azorella pedunculata"
-78.36666,-1.16666,"Azorella pedunculata"
-78.366,-1.166,"Azorella pedunculata"
-78.433,-0.616,"Azorella pedunculata"
-78.2,-0.466,"Azorella pedunculata"
-78.43333,-0.61666,"Azorella pedunculata"
-78.2,-0.46666,"Azorella pedunculata"
-78.5,-1.66666,"Azorella pedunculata"
-78.45,-1.45,"Azorella pedunculata"
-79.2,-2.71666,"Azorella pedunculata"
-79.2,-2.716,"Azorella pedunculata"
-78.2,-0.333,"Azorella pedunculata"
-78.2,-0.33333,"Azorella pedunculata"
-78.45,-1.43333,"Azorella pedunculata"
-78.35,0.366,"Azorella pedunculata"
-78.45,-1.433,"Azorella pedunculata"
-78.35,0.36666,"Azorella pedunculata"
-78.416,-1.783,"Azorella pedunculata"
-78.41666,-1.78333,"Azorella pedunculata"
-78.5,-0.66666,"Azorella pedunculata"
-78.5,-0.666,"Azorella pedunculata"
-78.416,-0.7,"Azorella pedunculata"
-78.41666,-0.7,"Azorella pedunculata"
-77.783,-0.5166,"Azorella pedunculata"
-78.5,-0.45,"Azorella pedunculata"
-77.8,0.73333,"Azorella pedunculata"
-77.8,0.733,"Azorella pedunculata"
