"lon","lat","species.name"
-71.37475,-37.381889,"Azorella trifurcata"
-123.233333,49.25,"Azorella trifurcata"
-71.268611,-39.139722,"Azorella trifurcata"
-71.643611,-38.646667,"Azorella trifurcata"
-72.95,-50.96666,"Azorella trifurcata"
-71.01694,-37.66583,"Azorella trifurcata"
-69.49222,-30.36083,"Azorella trifurcata"
-64.68333,-54.86666,"Azorella trifurcata"
-71.511389,-38.714444,"Azorella trifurcata"
-69.7,-31.7,"Azorella trifurcata"
-68.91,-53.86,"Azorella trifurcata"
-67.25,-54.88333,"Azorella trifurcata"
-70.7875,-52.630556,"Azorella trifurcata"
-67.323611,-54.050833,"Azorella trifurcata"
0,0,"Azorella trifurcata"
-68.38333,-52.91666,"Azorella trifurcata"
-67.42138,-54.87166,"Azorella trifurcata"
-71,-41.216,"Azorella trifurcata"
-60.92,-52.12,"Azorella trifurcata"
-71.300833,-41.149444,"Azorella trifurcata"
-74.018333,-45.441111,"Azorella trifurcata"
-70.22,-38.02,"Azorella trifurcata"
-69.37,-36.14,"Azorella trifurcata"
-123.25081,49.25408,"Azorella trifurcata"
-67.25,-54.88,"Azorella trifurcata"
-72.09,-49.76,"Azorella trifurcata"
-70.78,-36.87,"Azorella trifurcata"
-70,-45.35,"Azorella trifurcata"
-68.14,-47.22,"Azorella trifurcata"
-71.02,-37.67,"Azorella trifurcata"
-68.36,-34.94,"Azorella trifurcata"
-69.25,-32.41,"Azorella trifurcata"
-70.62,-51.38,"Azorella trifurcata"
-71.67,-51.77,"Azorella trifurcata"
-70.61,-40.97,"Azorella trifurcata"
-70.26,-36.85,"Azorella trifurcata"
-67.95,-53.75,"Azorella trifurcata"
-69.09,-34.05,"Azorella trifurcata"
-70.43,-38.58,"Azorella trifurcata"
-69.19,-34.26,"Azorella trifurcata"
-69.61,-49.96,"Azorella trifurcata"
-69.27,-45.08,"Azorella trifurcata"
-69.83,-38.92,"Azorella trifurcata"
-64.68,-54.87,"Azorella trifurcata"
-69.49,-30.36,"Azorella trifurcata"
-71.55,-41.43,"Azorella trifurcata"
-70.68,-37.61,"Azorella trifurcata"
-71.56472,-53.49278,"Azorella trifurcata"
-69.68,-34.83,"Azorella trifurcata"
-71.27,-39.14,"Azorella trifurcata"
-70.54,-44.18,"Azorella trifurcata"
-70.5,-45,"Azorella trifurcata"
-70.07,-34.76,"Azorella trifurcata"
-67.93,-54.04,"Azorella trifurcata"
-69.68,-44.48,"Azorella trifurcata"
-69.8,-36.45,"Azorella trifurcata"
-69.68,-43.73,"Azorella trifurcata"
-69.8,-36.4,"Azorella trifurcata"
-70.906389,-53.147778,"Azorella trifurcata"
-71.95,-50.22,"Azorella trifurcata"
-70.09,-34.72,"Azorella trifurcata"
-69.833333,-53,"Azorella trifurcata"
-69.42,-51.62,"Azorella trifurcata"
-70.66,-45.31,"Azorella trifurcata"
