"lon","lat","species.name"
-71.681655,-39.149197,"Berberis microphylla"
-71.69068,-39.151939,"Berberis microphylla"
-3.34653,57.71437,"Berberis microphylla"
-4.42037,57.61127,"Berberis microphylla"
-72.466667,-50.333333,"Berberis microphylla"
-71.387778,-39.026667,"Berberis microphylla"
-72.11786,-47.92071,"Berberis microphylla"
-72.36557,-47.74994,"Berberis microphylla"
-72.23098,-47.73932,"Berberis microphylla"
-72.403889,-42.365833,"Berberis microphylla"
-72.4039,-42.3658,"Berberis microphylla"
-4.25101,55.84485,"Berberis microphylla"
-4.41977,57.6023,"Berberis microphylla"
-4.42413,57.59857,"Berberis microphylla"
-4.43644,57.68869,"Berberis microphylla"
-4.43652,57.68873,"Berberis microphylla"
-70.87194,-36.97805,"Berberis microphylla"
-71.222222,-38.734722,"Berberis microphylla"
0,0,"Berberis microphylla"
-67.65308,-54.94348,"Berberis microphylla"
-1.86923,52.37297,"Berberis microphylla"
-2.07481,52.33706,"Berberis microphylla"
-64.68333,-54.86666,"Berberis microphylla"
-70.508056,-35.945278,"Berberis microphylla"
-70.661667,-35.881944,"Berberis microphylla"
-71.8,-38.683333,"Berberis microphylla"
-64.36666,-54.76666,"Berberis microphylla"
-71.31666,-40.18333,"Berberis microphylla"
-71.453889,-37.381944,"Berberis microphylla"
-71.31667,-40.18333,"Berberis microphylla"
-71.833336,-41.166668,"Berberis microphylla"
-69.51666,-42.08333,"Berberis microphylla"
-68.41666,-54.83333,"Berberis microphylla"
-70.01,-53.72,"Berberis microphylla"
-70.825,-41.0906,"Berberis microphylla"
-70.825,-41.09055,"Berberis microphylla"
-2.688,42.826,"Berberis microphylla"
-71,-38.666667,"Berberis microphylla"
-72.5,-51.08333,"Berberis microphylla"
-70,-52.5,"Berberis microphylla"
-69.25,-52.75,"Berberis microphylla"
-72.5,-51.03333,"Berberis microphylla"
-71.5,-38.41666,"Berberis microphylla"
-72,-37.033333,"Berberis microphylla"
-72.33333,-38.33333,"Berberis microphylla"
-71.75,-36.78333,"Berberis microphylla"
-71.91666,-37.08333,"Berberis microphylla"
-72.416667,-45.416667,"Berberis microphylla"
-71.91666,-46.25,"Berberis microphylla"
-72.9995,-46.6645,"Berberis microphylla"
-73,-45,"Berberis microphylla"
-68.82,0,"Berberis microphylla"
-70.59,-54.54,"Berberis microphylla"
-71.383333,-36.9,"Berberis microphylla"
10.96,48.92,"Berberis microphylla"
11.46,48.72,"Berberis microphylla"
11.46,48.42,"Berberis microphylla"
11.54,48.72,"Berberis microphylla"
11.37,48.62,"Berberis microphylla"
11.37,48.72,"Berberis microphylla"
-72.233333,-40.766667,"Berberis microphylla"
-73.87,-46.61,"Berberis microphylla"
-74.55,-49.15,"Berberis microphylla"
-73.83,-49.54,"Berberis microphylla"
-72.5,-41.166667,"Berberis microphylla"
-72.583333,-41.5,"Berberis microphylla"
-2.64155,55.38274,"Berberis microphylla"
-68.33333,-54.8,"Berberis microphylla"
-65.9,-47.75,"Berberis microphylla"
-67.31666,-54.58333,"Berberis microphylla"
-2.71258,55.42682,"Berberis microphylla"
-2.87255,55.51564,"Berberis microphylla"
-70.58333,-35.16666,"Berberis microphylla"
-64.05,-54.75,"Berberis microphylla"
-122.75,49.25,"Berberis microphylla"
-72.95,-41.47,"Berberis microphylla"
105.630906,23.625319,"Berberis microphylla"
-71,-43,"Berberis microphylla"
-71,-30,"Berberis microphylla"
-70.8906,-35.8156,"Berberis microphylla"
-72.083333,-45.583333,"Berberis microphylla"
-70.83,-41.09,"Berberis microphylla"
-2.109,54.155348,"Berberis microphylla"
-72.09,-49.76,"Berberis microphylla"
-71.32,-40.18,"Berberis microphylla"
-71.23,-40.35,"Berberis microphylla"
-72.999438,-50.125027,"Berberis microphylla"
-71.55,-41.43,"Berberis microphylla"
-69.116667,-45.616667,"Berberis microphylla"
-68.42,-54.83,"Berberis microphylla"
-72.083333,-45.55,"Berberis microphylla"
-71.37389,-37.8525,"Berberis microphylla"
-69.52,-42.08,"Berberis microphylla"
-71.44,-40.76,"Berberis microphylla"
-64.37,-54.77,"Berberis microphylla"
-70.066667,-53.583333,"Berberis microphylla"
-71.666667,-36.9,"Berberis microphylla"
-68.14,-47.22,"Berberis microphylla"
-71.25,-45.87,"Berberis microphylla"
14.1351,57.7904,"Berberis microphylla"
-70.58,-35.17,"Berberis microphylla"
-71.56472,-53.49278,"Berberis microphylla"
11.958226,51.474957,"Berberis microphylla"
-71.39,-39.03,"Berberis microphylla"
-71.50001,-40.18334,"Berberis microphylla"
-71.38338,-41.15,"Berberis microphylla"
-73.633333,-43.133333,"Berberis microphylla"
-64.68,-54.87,"Berberis microphylla"
-123.25081,49.25408,"Berberis microphylla"
-70.14,-41.77,"Berberis microphylla"
-70.24,-43.21,"Berberis microphylla"
-71.47,-41.97,"Berberis microphylla"
