"lon","lat","species.name"
-103.433531,43.553284,"Veronica wyomingensis"
-116.076496,46.019179,"Veronica wyomingensis"
-103.421139,43.547575,"Veronica wyomingensis"
-113.719915,49.1606789990669,"Veronica wyomingensis"
-105.39485,40.98161,"Veronica wyomingensis"
-105.28333,41.18333,"Veronica wyomingensis"
-113.916667,49.866667,"Veronica wyomingensis"
-105.421312,41.179184,"Veronica wyomingensis"
-106.5727,41.2612,"Veronica wyomingensis"
-105.394569,40.981551,"Veronica wyomingensis"
-110.6636,40.4967,"Veronica wyomingensis"
-111.67858,44.94985,"Veronica wyomingensis"
-111.204436,45.213861,"Veronica wyomingensis"
-113.016667,49.016667,"Veronica wyomingensis"
-110.37,43.39,"Veronica wyomingensis"
-109.1,42.85,"Veronica wyomingensis"
-112.121708,44.389786,"Veronica wyomingensis"
-103.458875,44.394659,"Veronica wyomingensis"
-110.38,43.65,"Veronica wyomingensis"
-109.784188,43.259837,"Veronica wyomingensis"
-113.42,41.91,"Veronica wyomingensis"
-103.583077,43.669811,"Veronica wyomingensis"
-113.45,41.92,"Veronica wyomingensis"
-104.512936,44.320909,"Veronica wyomingensis"
-109.057438,43.99708,"Veronica wyomingensis"
-114.551895,50.222622,"Veronica wyomingensis"
-114.763,50.0234,"Veronica wyomingensis"
-115.097868,50.8120009990764,"Veronica wyomingensis"
-109.923,43.3356,"Veronica wyomingensis"
-114.833333,50.95,"Veronica wyomingensis"
-105.785609,43.640791,"Veronica wyomingensis"
-104.766804,42.331549,"Veronica wyomingensis"
-114.033333,49.85,"Veronica wyomingensis"
-104.832363,42.852688,"Veronica wyomingensis"
-114.333333,49.7,"Veronica wyomingensis"
-113.363738,44.05432,"Veronica wyomingensis"
-114.833333,50.233333,"Veronica wyomingensis"
-103.88222,42.74517,"Veronica wyomingensis"
-113.994939,46.82919,"Veronica wyomingensis"
-112.82167,44.35472,"Veronica wyomingensis"
-106.148342,45.569166,"Veronica wyomingensis"
-114.25,50.25,"Veronica wyomingensis"
-104.61774,42.85157,"Veronica wyomingensis"
-113.5,49,"Veronica wyomingensis"
-105.86099,45.44299,"Veronica wyomingensis"
-110.25,49.566667,"Veronica wyomingensis"
-104.55273,45.77306,"Veronica wyomingensis"
-105.470248,41.055963,"Veronica wyomingensis"
-104.6419,42.97452,"Veronica wyomingensis"
-110.884581,43.652415,"Veronica wyomingensis"
-114.05,49.15,"Veronica wyomingensis"
-113.883333,49.066667,"Veronica wyomingensis"
-103.6231,42.667082,"Veronica wyomingensis"
-103.88271,42.75962,"Veronica wyomingensis"
-103.814836,43.98701,"Veronica wyomingensis"
-114,49.033333,"Veronica wyomingensis"
-103.58462,43.75641,"Veronica wyomingensis"
-106.43506,44.03701,"Veronica wyomingensis"
-103.550262,42.729764,"Veronica wyomingensis"
-103.94379,44.67134,"Veronica wyomingensis"
-104.43613,43.99105,"Veronica wyomingensis"
-104.37578,44.14569,"Veronica wyomingensis"
-113.883333,49.1,"Veronica wyomingensis"
-103.826788,44.070706,"Veronica wyomingensis"
-114.125,49.225,"Veronica wyomingensis"
-113.933333,49.15,"Veronica wyomingensis"
-113.833333,49.016667,"Veronica wyomingensis"
-114.033333,49.133333,"Veronica wyomingensis"
-114.083333,49.166667,"Veronica wyomingensis"
-113.933333,49.166667,"Veronica wyomingensis"
-113.883333,49.15,"Veronica wyomingensis"
-113.933333,49.083333,"Veronica wyomingensis"
-114.283333,49.35,"Veronica wyomingensis"
-114,49.083333,"Veronica wyomingensis"
-113.983333,49.033333,"Veronica wyomingensis"
-113.95,49.15,"Veronica wyomingensis"
-114.033333,49.1,"Veronica wyomingensis"
-113.883333,49.183333,"Veronica wyomingensis"
-105.436212,41.245387,"Veronica wyomingensis"
-110.1631,49.5539,"Veronica wyomingensis"
-109.616667,44.933333,"Veronica wyomingensis"
-113.450656,41.894868,"Veronica wyomingensis"
-110.434368,44.797716,"Veronica wyomingensis"
-103.4097,42.68264,"Veronica wyomingensis"
-105.772035,41.106285,"Veronica wyomingensis"
-110.724493,44.934816,"Veronica wyomingensis"
-104.0692,41.1819,"Veronica wyomingensis"
-109.5,49.667,"Veronica wyomingensis"
35.17972,39.06056,"Veronica wyomingensis"
-112.186933,44.360467,"Veronica wyomingensis"
0,1,"Veronica wyomingensis"
-105.3719,40.9665,"Veronica wyomingensis"
-105.448,40.8503,"Veronica wyomingensis"
