"lon","lat","species.name"
-75.488808,4.80735,"Bromus lanatus"
-77.8231,-7.12044,"Bromus lanatus"
-77.7722,-9.29628,"Bromus lanatus"
-77.4376,-9.91322,"Bromus lanatus"
-77.4794,-9.86956,"Bromus lanatus"
-77.3083,-10.1453,"Bromus lanatus"
-77.8233,-8.08006,"Bromus lanatus"
-77.8431,-8.07675,"Bromus lanatus"
-78.1944,-7.08767,"Bromus lanatus"
-77.5339,-9.91964,"Bromus lanatus"
-77.4569,-9.91981,"Bromus lanatus"
-74.1596,-13.3408,"Bromus lanatus"
-71.5916,-13.6608,"Bromus lanatus"
-68.1175,-16.2611,"Bromus lanatus"
-66.1525,-17.328889,"Bromus lanatus"
-66.14527,-17.32638,"Bromus lanatus"
-66.156111,-17.319722,"Bromus lanatus"
-65.65555,-17.00138,"Bromus lanatus"
-76.4373,-11.3454,"Bromus lanatus"
-76.2884,-10.8422,"Bromus lanatus"
-76.4529,-11.2567,"Bromus lanatus"
-76.4325,-11.1616,"Bromus lanatus"
-75.70543,4.18589,"Bromus lanatus"
-70.3632,-16.5687,"Bromus lanatus"
-71.3706,-15.4351,"Bromus lanatus"
-75.0661,-13.0518,"Bromus lanatus"
-74.7326,-13.358,"Bromus lanatus"
-74.07388,-14.68833,"Bromus lanatus"
-78.583,-7.183,"Bromus lanatus"
-68.9865,-15.1795,"Bromus lanatus"
-78.35467,-6.91789,"Bromus lanatus"
-75.78205,4.11102,"Bromus lanatus"
-65.46666,-22.96666,"Bromus lanatus"
-69.07,-19.63194,"Bromus lanatus"
-68.967,-19.5814,"Bromus lanatus"
-68.9409,-18.9326,"Bromus lanatus"
-68.94083,-18.9325,"Bromus lanatus"
-68.96694,-19.58138,"Bromus lanatus"
-69.0699,-19.632,"Bromus lanatus"
-69.1477,-18.3286,"Bromus lanatus"
-78.266,0.133,"Bromus lanatus"
-78.57,-7.18,"Bromus lanatus"
-69.5148,-18.2068,"Bromus lanatus"
-69.51472,-18.20694,"Bromus lanatus"
-78.26666,0.13333,"Bromus lanatus"
-78.63,-6.77,"Bromus lanatus"
-78.25,-0.33333,"Bromus lanatus"
-78.7,-1.483,"Bromus lanatus"
-78.7,-1.48333,"Bromus lanatus"
-78.95,-2.43333,"Bromus lanatus"
-78.95,-2.433,"Bromus lanatus"
-65.5675,-17.745555,"Bromus lanatus"
-78.03333,-1,"Bromus lanatus"
-78.35,-1.116,"Bromus lanatus"
-78.35,-1.116667,"Bromus lanatus"
-78.65,-2.08333,"Bromus lanatus"
-78.65,-2.083,"Bromus lanatus"
-78.66666,-3,"Bromus lanatus"
-78.666,-3,"Bromus lanatus"
-78.31666,-1.13333,"Bromus lanatus"
-79.416,-4.733,"Bromus lanatus"
-79.03333,-4.73333,"Bromus lanatus"
-78.38333,-0.95,"Bromus lanatus"
-78.28333,-1.15,"Bromus lanatus"
-78.45,-1.75,"Bromus lanatus"
-68.08333,-16.05,"Bromus lanatus"
-78.47,-0.167,"Bromus lanatus"
-78.4375,-0.6744,"Bromus lanatus"
-78.4564,-0.6222,"Bromus lanatus"
-76.116669,6.5,"Bromus lanatus"
-78.933,-2.55,"Bromus lanatus"
-78.61666,-0.43333,"Bromus lanatus"
-78.93333,-2.55,"Bromus lanatus"
-78.616,-0.433,"Bromus lanatus"
-78.18333,-0.33333,"Bromus lanatus"
-78,0.33333,"Bromus lanatus"
-78.466,-0.633,"Bromus lanatus"
-77.88333,0.68333,"Bromus lanatus"
-78.183,-0.333,"Bromus lanatus"
-78.46666,-0.63333,"Bromus lanatus"
-78,0.333,"Bromus lanatus"
-78.05,0.36666,"Bromus lanatus"
-77.883,0.683,"Bromus lanatus"
-78.48333,-0.35,"Bromus lanatus"
-78.483,-0.35,"Bromus lanatus"
-78.05,0.366,"Bromus lanatus"
-77.95,0.816,"Bromus lanatus"
-78.2,-0.55,"Bromus lanatus"
-78.35,-0.833,"Bromus lanatus"
-78.83333,-1.48333,"Bromus lanatus"
-77.83333,0.71666,"Bromus lanatus"
-78.66666,-1.43333,"Bromus lanatus"
-78.9,-1.416,"Bromus lanatus"
-77.833,0.716,"Bromus lanatus"
-78.35,-0.83333,"Bromus lanatus"
-78.96666,-1.38333,"Bromus lanatus"
-77.95,0.81666,"Bromus lanatus"
-78.666,-1.433,"Bromus lanatus"
-78.9,-1.41666,"Bromus lanatus"
-78.833,-1.483,"Bromus lanatus"
-78.71666,0.86666,"Bromus lanatus"
-78.916,-1,"Bromus lanatus"
-78.283,-0.316,"Bromus lanatus"
-78.78333,-0.88333,"Bromus lanatus"
