"lon","lat","species.name"
-70.073611,-32.888889,"Bromus setifolius"
-70.854167,-40.574722,"Bromus setifolius"
-71.8231,-47.0744,"Bromus setifolius"
-71.3344,-37.4497,"Bromus setifolius"
-69.9586,-33.6192,"Bromus setifolius"
-70.9028,-38.6589,"Bromus setifolius"
-70.4131,-30.7461,"Bromus setifolius"
-71.02,-39.08,"Bromus setifolius"
-70.000333,-34.000783,"Bromus setifolius"
-70.55,-36.016667,"Bromus setifolius"
-78.934444,-7.088055,"Bromus setifolius"
-71.3,-41.15,"Bromus setifolius"
-72.26666,-51,"Bromus setifolius"
-69.65,-53.35,"Bromus setifolius"
-69.78,-35.2,"Bromus setifolius"
-70.75,-46.63,"Bromus setifolius"
-67.92,-53.8,"Bromus setifolius"
-69.25,-32.41,"Bromus setifolius"
-59.01,-34.9,"Bromus setifolius"
-68.36,-34.94,"Bromus setifolius"
-69.75,-31.25,"Bromus setifolius"
-70.54,-44.18,"Bromus setifolius"
-72.18,-51.62,"Bromus setifolius"
-71.38,-41.15,"Bromus setifolius"
-71.6,-51.73,"Bromus setifolius"
-71.316667,-50.616667,"Bromus setifolius"
-66.37,-40.95,"Bromus setifolius"
-71.44,-40.76,"Bromus setifolius"
-70.27,-35.41,"Bromus setifolius"
-70.26,-36.85,"Bromus setifolius"
-71.95,-51.63,"Bromus setifolius"
-72.22,-50.88,"Bromus setifolius"
-73.79111,-50.30722,"Bromus setifolius"
-71.09,-39.11,"Bromus setifolius"
-72.23,-50.83,"Bromus setifolius"
-72.13,-51.68,"Bromus setifolius"
-70.92,-51.95,"Bromus setifolius"
70.9,38.66,"Bromus setifolius"
-71.29,-40.22,"Bromus setifolius"
-72.13,-50.77,"Bromus setifolius"
-69.52,-33.61,"Bromus setifolius"
-71,-43,"Bromus setifolius"
-65.39,-31.07,"Bromus setifolius"
-69.8,-36.4,"Bromus setifolius"
-72.13,-51.67,"Bromus setifolius"
-66.11,-44.4,"Bromus setifolius"
-72.91472,-50.48778,"Bromus setifolius"
-69.18,-51.83,"Bromus setifolius"
-71.50611,-50.35806,"Bromus setifolius"
-72.25,-51.53,"Bromus setifolius"
-66.92,-26.63,"Bromus setifolius"
-69.88,-36.78,"Bromus setifolius"
-71.12,-49,"Bromus setifolius"
-70.7,-36.83,"Bromus setifolius"
-69.64,-30.38,"Bromus setifolius"
-70.85,-40.57,"Bromus setifolius"
-69.76,-32.85,"Bromus setifolius"
-69.83,-38.92,"Bromus setifolius"
-71.9,-50.28,"Bromus setifolius"
-72.27,-51,"Bromus setifolius"
-69.83,-31.08,"Bromus setifolius"
-72.02,-50.77,"Bromus setifolius"
-70.51,-33.07,"Bromus setifolius"
-69.9,-34.17,"Bromus setifolius"
-70.75,-37.02,"Bromus setifolius"
-71.82,-47.07,"Bromus setifolius"
-70.88,-51.05,"Bromus setifolius"
-72.57,-51.53,"Bromus setifolius"
-71.33,-51.73,"Bromus setifolius"
-72.12,-51.53,"Bromus setifolius"
-70.07,-32.81,"Bromus setifolius"
-70.43,-35.3,"Bromus setifolius"
-69.48,-32.87,"Bromus setifolius"
-67.5,-40.88,"Bromus setifolius"
-70.66,-45.31,"Bromus setifolius"
-71.25,-45.87,"Bromus setifolius"
-70.35,-33.25,"Bromus setifolius"
-69.48,-33.61,"Bromus setifolius"
-71.373979,-37.852489,"Bromus setifolius"
-70.62,-51.38,"Bromus setifolius"
-71.32,-51.75,"Bromus setifolius"
-71.3,-39.73,"Bromus setifolius"
-69.37,-36.14,"Bromus setifolius"
-71.49,-43.02,"Bromus setifolius"
-70.24,-43.21,"Bromus setifolius"
-70.11,-34.75,"Bromus setifolius"
-71.4,-51.38,"Bromus setifolius"
-72.18,-51.63,"Bromus setifolius"
-70.58,-51.87,"Bromus setifolius"
-72.17,-51.68,"Bromus setifolius"
-70.08,-32.81,"Bromus setifolius"
-71.12,-48.22,"Bromus setifolius"
-72.09,-49.76,"Bromus setifolius"
-71.1,-50.833333,"Bromus setifolius"
-67.82,-45.22,"Bromus setifolius"
-69.12,-51.58,"Bromus setifolius"
-71.55,-41.43,"Bromus setifolius"
-70.74,-42.29,"Bromus setifolius"
-68.39,-48.86,"Bromus setifolius"
-72.98583,-51.08556,"Bromus setifolius"
