"lon","lat","species.name"
-69.683056,-34.173611,"Calandrinia caespitosa"
-70.128611,-35.112222,"Calandrinia caespitosa"
-71.810833,-47.042222,"Calandrinia caespitosa"
-72.06756,-47.73192,"Calandrinia caespitosa"
-70.4,-36,"Calandrinia caespitosa"
-70.516667,-35.183333,"Calandrinia caespitosa"
-69.57277,-33.60638,"Calandrinia caespitosa"
-72.883333,-49.333333,"Calandrinia caespitosa"
-70.06,-29.27,"Calandrinia caespitosa"
-70.31666,-33.08333,"Calandrinia caespitosa"
-69.41666,-34.23333,"Calandrinia caespitosa"
-69.33333,-32.81666,"Calandrinia caespitosa"
-69.36666,-32.83333,"Calandrinia caespitosa"
-69.53333,-33.6,"Calandrinia caespitosa"
-72.36666,-50.73333,"Calandrinia caespitosa"
-70.3,-33.1,"Calandrinia caespitosa"
-70.41666,-32.16666,"Calandrinia caespitosa"
0,-33,"Calandrinia caespitosa"
-70.8906,-35.8156,"Calandrinia caespitosa"
-72.09,-49.76,"Calandrinia caespitosa"
-70.78,-39.4,"Calandrinia caespitosa"
-70.08,-32.81,"Calandrinia caespitosa"
-70.07,-32.82,"Calandrinia caespitosa"
-70.75,-46.63,"Calandrinia caespitosa"
-71.81,-47.04,"Calandrinia caespitosa"
-71.12,-48.22,"Calandrinia caespitosa"
-71.82,-47.06,"Calandrinia caespitosa"
-70.14,-35.11,"Calandrinia caespitosa"
