"lon","lat","species.name"
-71.945833,-39.851111,"Montiopsis gayana"
-71.340556,-37.914167,"Montiopsis gayana"
-71.466389,-36.876111,"Montiopsis gayana"
-71.01694,-37.66583,"Montiopsis gayana"
-70.560556,-36.982222,"Montiopsis gayana"
-71.41666,-36.83333,"Montiopsis gayana"
-71.166667,-35.5,"Montiopsis gayana"
-70.56666,-35.98333,"Montiopsis gayana"
-71.45,-38.41666,"Montiopsis gayana"
-71.28333,-37.46666,"Montiopsis gayana"
-70.91666,-38.65,"Montiopsis gayana"
-71.11666,-38.71666,"Montiopsis gayana"
-70.8,-35.73333,"Montiopsis gayana"
-71.43333,-37.38333,"Montiopsis gayana"
-71.1,-38.65,"Montiopsis gayana"
-71.05,-38.65,"Montiopsis gayana"
-71.51666,-38.43333,"Montiopsis gayana"
-71.31666,-37.35,"Montiopsis gayana"
-70.96666,-38.63333,"Montiopsis gayana"
-71.33333,-37.38333,"Montiopsis gayana"
-71.95,-39.366667,"Montiopsis gayana"
-70.55,-34.56666,"Montiopsis gayana"
-71.3,-39.61666,"Montiopsis gayana"
-70.98333,-37.91666,"Montiopsis gayana"
-70.55,-36.01666,"Montiopsis gayana"
-71.5,-36.86666,"Montiopsis gayana"
-70.91666,-35.5,"Montiopsis gayana"
-71.75,-38.68333,"Montiopsis gayana"
-71.95,-39.36666,"Montiopsis gayana"
-71.76666,-38.66666,"Montiopsis gayana"
-73.01666,-37.75,"Montiopsis gayana"
-71.78333,-38.65,"Montiopsis gayana"
-71.41666,-36.86666,"Montiopsis gayana"
-71.69,-38.63,"Montiopsis gayana"
-71.5,-41,"Montiopsis gayana"
-70.8906,-35.8156,"Montiopsis gayana"
-71.1,-35.85,"Montiopsis gayana"
-72.09,-49.76,"Montiopsis gayana"
-70.97,-47.97,"Montiopsis gayana"
-70.07,-32.81,"Montiopsis gayana"
-71.666667,-36.9,"Montiopsis gayana"
-70.78,-36.87,"Montiopsis gayana"
-70.916667,-35.333333,"Montiopsis gayana"
-71.716667,-38.683333,"Montiopsis gayana"
-70.18,-44.79,"Montiopsis gayana"
13.374934,52.474986,"Montiopsis gayana"
-71.02,-37.67,"Montiopsis gayana"
