"lon","lat","species.name"
-71.278138,-47.154268,"Calceolaria uniflora"
-71.810833,-47.042222,"Calceolaria uniflora"
-72.98,-49.38,"Calceolaria uniflora"
-72.06756,-47.73192,"Calceolaria uniflora"
-72.11786,-47.92071,"Calceolaria uniflora"
-72.23098,-47.73932,"Calceolaria uniflora"
-72.875,-50.48388,"Calceolaria uniflora"
-71.47861,-50.82305,"Calceolaria uniflora"
-69.00555,-50.24277,"Calceolaria uniflora"
-67.95,-53.75,"Calceolaria uniflora"
-55.53333,-27.31666,"Calceolaria uniflora"
-70.8906,-35.8156,"Calceolaria uniflora"
-71,-46.17,"Calceolaria uniflora"
-68.26,-46,"Calceolaria uniflora"
-72.13,-47.95,"Calceolaria uniflora"
-71.85,-51.73,"Calceolaria uniflora"
-70.82,-50.98,"Calceolaria uniflora"
-72.08,-51.53,"Calceolaria uniflora"
-72.23,-50.83,"Calceolaria uniflora"
-71.25,-45.87,"Calceolaria uniflora"
-71.51,-50.35,"Calceolaria uniflora"
-72.1,-51.45,"Calceolaria uniflora"
-68.3625,-52.3311,"Calceolaria uniflora"
-72.09,-49.76,"Calceolaria uniflora"
-71.02,-50.77,"Calceolaria uniflora"
-70.18,-51.82,"Calceolaria uniflora"
-73,-50.93,"Calceolaria uniflora"
-70.78,-51.92,"Calceolaria uniflora"
-72.28,-50.38,"Calceolaria uniflora"
-72.45,-51.27,"Calceolaria uniflora"
-67.93,-54.04,"Calceolaria uniflora"
-70.62,-51.38,"Calceolaria uniflora"
-69.1,-51.43,"Calceolaria uniflora"
-72.38,-51.22,"Calceolaria uniflora"
-67.83,-53.68,"Calceolaria uniflora"
-71.81,-47.04,"Calceolaria uniflora"
-71.09,-39.11,"Calceolaria uniflora"
-68.65,-53.5,"Calceolaria uniflora"
-69.12,-51.53,"Calceolaria uniflora"
-72.02,-51.57,"Calceolaria uniflora"
-72.13,-50.77,"Calceolaria uniflora"
-72.35,-51.57,"Calceolaria uniflora"
-72.05,-49.57,"Calceolaria uniflora"
-71.97,-50.75,"Calceolaria uniflora"
-69.75,-51.48,"Calceolaria uniflora"
-71.97,-51.57,"Calceolaria uniflora"
-69.33,-51.55,"Calceolaria uniflora"
-72.1214,-47.9536,"Calceolaria uniflora"
-73,-50.93333,"Calceolaria uniflora"
-72.37,-40.7,"Calceolaria uniflora"
-71.82,-47.06,"Calceolaria uniflora"
