"lon","lat","species.name"
13.05,47.57,"Campanula alpina"
13.04,47.57,"Campanula alpina"
13.03,47.58,"Campanula alpina"
27.108292,35.630898,"Campanula alpina"
14.650912,46.84763,"Campanula alpina"
14.970932,46.808521,"Campanula alpina"
22.882504,45.353832,"Campanula alpina"
7.644424,46.491066,"Campanula alpina"
2.45221,48.91225,"Campanula alpina"
20.042152,49.149826,"Campanula alpina"
10.165179,47.444283,"Campanula alpina"
5.295,44.167778,"Campanula alpina"
10.157104,47.285133,"Campanula alpina"
23.493167,41.695117,"Campanula alpina"
23.318183,42.22715,"Campanula alpina"
23.4229,41.736833,"Campanula alpina"
24.62222,45.6025,"Campanula alpina"
14.95833,46.775,"Campanula alpina"
10.412292,47.421001,"Campanula alpina"
13.015795,47.730377,"Campanula alpina"
12.934685,47.548264,"Campanula alpina"
11.36982,47.220325,"Campanula alpina"
15.60472,47.69194,"Campanula alpina"
22.85056,45.38278,"Campanula alpina"
6.15222,45.64778,"Campanula alpina"
20.20639,49.25028,"Campanula alpina"
15.25944,47.63806,"Campanula alpina"
11.812367,46.488478,"Campanula alpina"
20.20944,49.245,"Campanula alpina"
13.0561,47.6131,"Campanula alpina"
9.463934,48.55626,"Campanula alpina"
23.584599,42.195416,"Campanula alpina"
14.95833,46.825,"Campanula alpina"
14.96972,46.79667,"Campanula alpina"
23.389999,41.75,"Campanula alpina"
23.416666,42.183334,"Campanula alpina"
14.63778,47.1175,"Campanula alpina"
14.96667,46.78333,"Campanula alpina"
12.04,47.72,"Campanula alpina"
14.94972,46.79333,"Campanula alpina"
23.4,41.75,"Campanula alpina"
23.566668,42.200001,"Campanula alpina"
12.37,47.72,"Campanula alpina"
19.7325,49.20139,"Campanula alpina"
14.95,46.8028,"Campanula alpina"
12.71,47.67,"Campanula alpina"
12.79,47.62,"Campanula alpina"
14.2656,47.6617,"Campanula alpina"
12.79,47.67,"Campanula alpina"
12.79,47.52,"Campanula alpina"
12.79,47.57,"Campanula alpina"
13.04,47.62,"Campanula alpina"
14.558,47.092,"Campanula alpina"
13.5,47.6,"Campanula alpina"
13.07102,47.38539,"Campanula alpina"
14.19167,47.41833,"Campanula alpina"
13.5,47.65,"Campanula alpina"
12.98333,47.7,"Campanula alpina"
12.96,47.67,"Campanula alpina"
13.2,47.5,"Campanula alpina"
15.16111,47.62472,"Campanula alpina"
15.4,47.63333,"Campanula alpina"
13.04,47.47,"Campanula alpina"
13,47.7,"Campanula alpina"
14.08333,47.3,"Campanula alpina"
15.00108,47.26474,"Campanula alpina"
12.87,47.57,"Campanula alpina"
13.04,47.52,"Campanula alpina"
13.8,46.9,"Campanula alpina"
13.876389,46.918611,"Campanula alpina"
0,0,"Campanula alpina"
12.96,47.57,"Campanula alpina"
12.87,47.52,"Campanula alpina"
12.96,47.52,"Campanula alpina"
12.96,47.47,"Campanula alpina"
11.42322,48.9469,"Campanula alpina"
15.819167,47.764167,"Campanula alpina"
15.720556,47.711111,"Campanula alpina"
15.759167,47.712222,"Campanula alpina"
14.8,47.316667,"Campanula alpina"
15.68889,47.68917,"Campanula alpina"
12.87,47.47,"Campanula alpina"
15.492083,47.793444,"Campanula alpina"
12.8,47.6,"Campanula alpina"
15.78333,47.78333,"Campanula alpina"
12.958261,47.724931,"Campanula alpina"
12.958264,47.674928,"Campanula alpina"
14.4,47.3,"Campanula alpina"
14.14028,47.59278,"Campanula alpina"
12.37491,47.724925,"Campanula alpina"
12.79159,47.524934,"Campanula alpina"
12.874926,47.524922,"Campanula alpina"
13.041595,47.474931,"Campanula alpina"
12.874926,47.574922,"Campanula alpina"
13.041602,47.624925,"Campanula alpina"
12.041568,47.724922,"Campanula alpina"
12.874926,47.824931,"Campanula alpina"
13.041602,47.574928,"Campanula alpina"
13.041598,47.524925,"Campanula alpina"
12.958262,47.524925,"Campanula alpina"
15.059444,47.785556,"Campanula alpina"
12.874924,47.474925,"Campanula alpina"
12.791586,47.624931,"Campanula alpina"
15.7,47.7,"Campanula alpina"
15.714444,47.708333,"Campanula alpina"
12.958258,47.474925,"Campanula alpina"
12.958266,47.574928,"Campanula alpina"
12.79159,47.574928,"Campanula alpina"
13.0117,47.724,"Campanula alpina"
15.805278,47.767222,"Campanula alpina"
13.00556,47.71944,"Campanula alpina"
12.708252,47.674931,"Campanula alpina"
13.041599,47.724934,"Campanula alpina"
