"lon","lat","species.name"
50.00747,50.00747,"Campanula tatrae"
15.007222,49.001945,"Campanula tatrae"
50.007221,50.007221,"Campanula tatrae"
20.29806,49.26417,"Campanula tatrae"
20.20444,49.25417,"Campanula tatrae"
20.27917,49.2275,"Campanula tatrae"
20.28083,49.22694,"Campanula tatrae"
19.905,49.22278,"Campanula tatrae"
20.20944,49.245,"Campanula tatrae"
20.235,49.24944,"Campanula tatrae"
20.20083,49.26194,"Campanula tatrae"
19.91861,49.25333,"Campanula tatrae"
19.74889,49.19944,"Campanula tatrae"
49.22167,19.95861,"Campanula tatrae"
0,0,"Campanula tatrae"
