"lon","lat","species.name"
172.689055,-41.289325,"Cardamine bilobata"
169.712007,-43.887515,"Cardamine bilobata"
172.927184,-42.123469,"Cardamine bilobata"
169.031667,-45.775556,"Cardamine bilobata"
168.819,-44.6009,"Cardamine bilobata"
170.519,-44.4634,"Cardamine bilobata"
172.95,-42.1141,"Cardamine bilobata"
171.4,-42.1,"Cardamine bilobata"
170.835,-44.3491,"Cardamine bilobata"
172.78,-42.1265,"Cardamine bilobata"
168.354,-45.2834,"Cardamine bilobata"
170.6,-43.5,"Cardamine bilobata"
169.6,-44.2,"Cardamine bilobata"
171.348,-43.0809,"Cardamine bilobata"
169.9,-43.7,"Cardamine bilobata"
167.3,-45.8,"Cardamine bilobata"
172.564,-41.5057,"Cardamine bilobata"
167.2,-46,"Cardamine bilobata"
167.3,-46,"Cardamine bilobata"
168.928,-45.4752,"Cardamine bilobata"
175.5,-40.7,"Cardamine bilobata"
171.8,-42.8,"Cardamine bilobata"
171.5,-42.8,"Cardamine bilobata"
171.7,-42.8,"Cardamine bilobata"
173,-42,"Cardamine bilobata"
171.6,-42.8,"Cardamine bilobata"
171.8,-42.7,"Cardamine bilobata"
171.6,-42.9,"Cardamine bilobata"
171.7,-42.7,"Cardamine bilobata"
169.7,-44,"Cardamine bilobata"
170,-43.9,"Cardamine bilobata"
169.9,-44,"Cardamine bilobata"
171.6,-43,"Cardamine bilobata"
170.844,-44.523,"Cardamine bilobata"
168.8,-44.3,"Cardamine bilobata"
168.8,-44.2,"Cardamine bilobata"
168.9,-44.1,"Cardamine bilobata"
173,-41.9,"Cardamine bilobata"
170.221,-43.5543,"Cardamine bilobata"
171.285,-43.6769,"Cardamine bilobata"
170.284,-43.5288,"Cardamine bilobata"
168.5,-44.4,"Cardamine bilobata"
170.089,-43.7311,"Cardamine bilobata"
170.22,-43.8694,"Cardamine bilobata"
170.217,-43.6443,"Cardamine bilobata"
170.125,-43.7411,"Cardamine bilobata"
170.1,-43.8,"Cardamine bilobata"
173.4,-42.3,"Cardamine bilobata"
170.345,-43.5572,"Cardamine bilobata"
169.176,-44.0195,"Cardamine bilobata"
173.7,-42.2,"Cardamine bilobata"
171.1,-43.1,"Cardamine bilobata"
171.588,-43.3092,"Cardamine bilobata"
175.4,-40.7,"Cardamine bilobata"
175.2,-40.9,"Cardamine bilobata"
171,-43.1,"Cardamine bilobata"
171.1,-43,"Cardamine bilobata"
172.3,-42.7,"Cardamine bilobata"
171.7,-43.1,"Cardamine bilobata"
172.1,-42.6,"Cardamine bilobata"
171.9,-42.7,"Cardamine bilobata"
172.2,-42.6,"Cardamine bilobata"
171.2,-43,"Cardamine bilobata"
171.3,-42.9,"Cardamine bilobata"
171.4,-42.9,"Cardamine bilobata"
168.3,-45.2,"Cardamine bilobata"
173,-41.7936,"Cardamine bilobata"
169.831,-43.9044,"Cardamine bilobata"
172.708,-41.2469,"Cardamine bilobata"
170.574,-44.0126,"Cardamine bilobata"
171.5,-43.5,"Cardamine bilobata"
170.083333,-43.75,"Cardamine bilobata"
172.916667,-41.916667,"Cardamine bilobata"
170.466667,-44.733333,"Cardamine bilobata"
171.916667,-43.25,"Cardamine bilobata"
173.222,-41.6144,"Cardamine bilobata"
168.955,-44.877,"Cardamine bilobata"
170.472,-43.4701,"Cardamine bilobata"
169.779167,-44.226667,"Cardamine bilobata"
172.8,-42.166667,"Cardamine bilobata"
171.33,-43.6199,"Cardamine bilobata"
170.1,-43.733333,"Cardamine bilobata"
169.802778,-44.091389,"Cardamine bilobata"
169.795,-44.188611,"Cardamine bilobata"
172.729,-42.1725,"Cardamine bilobata"
170.077,-43.7128,"Cardamine bilobata"
169.984,-44.4549,"Cardamine bilobata"
173.051,-41.774,"Cardamine bilobata"
170.475,-44.7367,"Cardamine bilobata"
168.804,-45.1185,"Cardamine bilobata"
168.733333,-44.466667,"Cardamine bilobata"
170.561361,-43.879583,"Cardamine bilobata"
171.33,-43.6119,"Cardamine bilobata"
171.203,-43.844,"Cardamine bilobata"
