"lon","lat","species.name"
10.95,47.59,"Carex firma"
10.216448,46.644192,"Carex firma"
13.04,47.57,"Carex firma"
10.88,47.57,"Carex firma"
14.485602,46.504036,"Carex firma"
12.231388,46.198326,"Carex firma"
12.204394,46.221191,"Carex firma"
13.5,47.8,"Carex firma"
13.4,47.8,"Carex firma"
13.4,47.2,"Carex firma"
13.5,47.5,"Carex firma"
12.331038,47.565811,"Carex firma"
10.361326,47.42524,"Carex firma"
10.101542,47.347633,"Carex firma"
10.280277,47.296665,"Carex firma"
13.7,46.9,"Carex firma"
13.8,46.9,"Carex firma"
13.5,47.1,"Carex firma"
13,47.7,"Carex firma"
13,47.4,"Carex firma"
12.113511,47.632748,"Carex firma"
12.190908,47.591679,"Carex firma"
12.277565,47.62653,"Carex firma"
11.549445,47.521667,"Carex firma"
13,47.5,"Carex firma"
13.6,47.5,"Carex firma"
13.1,47.4,"Carex firma"
13.1,47.5,"Carex firma"
13.3,47.6,"Carex firma"
12.2,47.3,"Carex firma"
13.1,47.3,"Carex firma"
12.328548,47.708492,"Carex firma"
10.246702,46.669453,"Carex firma"
13.6,47.2,"Carex firma"
13.5,47.2,"Carex firma"
13.1,47.6,"Carex firma"
13.237238,46.562813,"Carex firma"
12.934685,47.548264,"Carex firma"
12.6,47.5,"Carex firma"
12.7,47.2,"Carex firma"
13.544449,47.489765,"Carex firma"
20.20778,49.25167,"Carex firma"
10.332212,47.491689,"Carex firma"
20.26917,49.23,"Carex firma"
20.20944,49.245,"Carex firma"
11.089763,47.498148,"Carex firma"
14.245283,46.399636,"Carex firma"
11.413511,47.269668,"Carex firma"
11.499166,46.518949,"Carex firma"
8.08362,47.4954,"Carex firma"
11.333333,47.349998,"Carex firma"
13.29167,46.775,"Carex firma"
13.62278,46.66667,"Carex firma"
12.8,47.2,"Carex firma"
8.0667,46.7,"Carex firma"
13.745342,46.499604,"Carex firma"
12.8,47.1,"Carex firma"
12.8,47.7,"Carex firma"
14.10278,47.84417,"Carex firma"
14.2106,47.8814,"Carex firma"
13.8983,47.8972,"Carex firma"
13.3,47.2,"Carex firma"
12.54,47.77,"Carex firma"
12.54,47.72,"Carex firma"
7.38333,46.549999,"Carex firma"
11.71,47.62,"Carex firma"
10.96,47.52,"Carex firma"
12.37,47.72,"Carex firma"
11.37,47.67,"Carex firma"
11.62,47.62,"Carex firma"
11.79,47.72,"Carex firma"
11.87,47.57,"Carex firma"
11.21,47.52,"Carex firma"
10.79,47.52,"Carex firma"
12.29,47.72,"Carex firma"
12.29,47.77,"Carex firma"
11.46,47.52,"Carex firma"
11.12,47.52,"Carex firma"
12.04,47.62,"Carex firma"
12.46,47.67,"Carex firma"
11.62,47.52,"Carex firma"
11.333333,47.25,"Carex firma"
12.87,47.77,"Carex firma"
11.37,47.47,"Carex firma"
11.29,47.47,"Carex firma"
12.87,47.62,"Carex firma"
11.37,47.52,"Carex firma"
12.87,47.57,"Carex firma"
11.79,47.62,"Carex firma"
12.46,47.72,"Carex firma"
12.46,47.77,"Carex firma"
11.96,47.72,"Carex firma"
11.29,47.42,"Carex firma"
10.87,47.57,"Carex firma"
10.79,47.57,"Carex firma"
11.71,47.57,"Carex firma"
11.04,47.57,"Carex firma"
11.04,47.52,"Carex firma"
11.79,47.57,"Carex firma"
14.79167,47.575,"Carex firma"
12.79,47.62,"Carex firma"
13.04,47.62,"Carex firma"
13.04,47.67,"Carex firma"
13.04,47.52,"Carex firma"
12.96,47.57,"Carex firma"
10.87,47.47,"Carex firma"
11.29,47.57,"Carex firma"
10.96,47.57,"Carex firma"
10.87,47.52,"Carex firma"
12.79,47.67,"Carex firma"
12.79,47.57,"Carex firma"
12.96,47.52,"Carex firma"
12.87,47.67,"Carex firma"
12.96,47.67,"Carex firma"
11.12,47.57,"Carex firma"
10.37,47.47,"Carex firma"
