"lon","lat","species.name"
-101.268814,49.74906399907,"Carex parryana"
-109.99573,37.27739,"Carex parryana"
-114.8,39.8,"Carex parryana"
-116.406333,52.04435,"Carex parryana"
-138.51244,61.0032,"Carex parryana"
-119.28303,37.88128,"Carex parryana"
-116.091003,52.4836999990892,"Carex parryana"
-112.246111,51.925833,"Carex parryana"
-110.616667,53.583333,"Carex parryana"
-141.442162689795,61.7391105641324,"Carex parryana"
-115.690278,49.525833,"Carex parryana"
-114.95,43.9,"Carex parryana"
-139.75,61.666667,"Carex parryana"
-116.26,40.16,"Carex parryana"
-110.6135,52.583517,"Carex parryana"
-116.36,39.55,"Carex parryana"
-110.61335,52.59925,"Carex parryana"
-112.009144,59.7950459991805,"Carex parryana"
-110.605133,52.588617,"Carex parryana"
-110.595983,52.583067,"Carex parryana"
-110.598583,52.5971,"Carex parryana"
-110.737917,39.034058,"Carex parryana"
-110.031175,52.6620049990907,"Carex parryana"
-112.976462,52.4268699990887,"Carex parryana"
-110.657092,52.3685629990882,"Carex parryana"
-110.03,39.6,"Carex parryana"
-104.767,51.617,"Carex parryana"
0,0,"Carex parryana"
-138.516667,61.016667,"Carex parryana"
-110.112732,37.322832,"Carex parryana"
-98.048722,50.108139,"Carex parryana"
-141.96,61.09,"Carex parryana"
-98.012083,50.2412499990728,"Carex parryana"
-98.012222,50.2413889990728,"Carex parryana"
-109.02,38.32,"Carex parryana"
-110.890743,49.0022829990662,"Carex parryana"
-111.725563,49.0071019990662,"Carex parryana"
-138.583333,60.65,"Carex parryana"
-98.188094,49.196122,"Carex parryana"
-106.09,39.45,"Carex parryana"
-115.42,40.21,"Carex parryana"
-116.66,39.03,"Carex parryana"
-109.8,37.51,"Carex parryana"
-110.616963,52.5868929990901,"Carex parryana"
-110.13,40.81,"Carex parryana"
-110.49,40.86,"Carex parryana"
-89.6,48.183333,"Carex parryana"
-111.19,38.96,"Carex parryana"
-124.116667,52.166667,"Carex parryana"
-109.9,37.99,"Carex parryana"
-120.2074,49.056,"Carex parryana"
-138.616667,60.966667,"Carex parryana"
-98.544028,50.112389,"Carex parryana"
-104.29469,44.406346,"Carex parryana"
-114.23083,44.50472,"Carex parryana"
-138.4,61.033333,"Carex parryana"
-108.2132,50.2815,"Carex parryana"
-116.033333,50.2,"Carex parryana"
-136.983,61.567,"Carex parryana"
-99.710556,49.8933329990708,"Carex parryana"
-98.634722,51.7688889990833,"Carex parryana"
-98.0294285803165,50.5060079460133,"Carex parryana"
-137.583,60.783,"Carex parryana"
-137.633,60.783,"Carex parryana"
-137.633333,60.783333,"Carex parryana"
-138.55,60.983333,"Carex parryana"
-138.55,60.983,"Carex parryana"
-138.717,61.25,"Carex parryana"
-135.05,60.717,"Carex parryana"
-109.481361,43.84582,"Carex parryana"
-105,39,"Carex parryana"
-115,55,"Carex parryana"
-100,41.5,"Carex parryana"
-97,55,"Carex parryana"
-99.4375,48.28888,"Carex parryana"
-98.94777,40.49861,"Carex parryana"
-125,55,"Carex parryana"
-106,54,"Carex parryana"
-138.45,61,"Carex parryana"
