"lon","lat","species.name"
-148.973162829024,61.4721345437003,"Carex podocarpa"
-143.609003,64.8915089992759,"Carex podocarpa"
-142.725384,62.632595,"Carex podocarpa"
-160.37025,67.3609499993306,"Carex podocarpa"
-150.1835,62.59928299923,"Carex podocarpa"
-171.85425,66.020361,"Carex podocarpa"
-141.066667,66.816667,"Carex podocarpa"
-141.033333,66.316667,"Carex podocarpa"
-159.872593875167,60.9155711263035,"Carex podocarpa"
-137.38,68.97,"Carex podocarpa"
-137.366667,68.966667,"Carex podocarpa"
-141.3,62.4194439992266,"Carex podocarpa"
-161.92,67.98,"Carex podocarpa"
-163.67,67.27,"Carex podocarpa"
-162.32,67.29,"Carex podocarpa"
-149.308333,61.769444,"Carex podocarpa"
-143.111753614951,62.4357663067847,"Carex podocarpa"
-166.61,65.01,"Carex podocarpa"
-158.13,67.31,"Carex podocarpa"
-141.05,65.3,"Carex podocarpa"
-159.43,67.74,"Carex podocarpa"
-143.088025366128,64.9661270520314,"Carex podocarpa"
-142.822621705636,65.0041653280221,"Carex podocarpa"
-158.09,67.24,"Carex podocarpa"
-141.124609417742,65.385702597847,"Carex podocarpa"
-141.055437161124,65.3387024404372,"Carex podocarpa"
-142.899439695147,64.8023258805957,"Carex podocarpa"
-152.74,68.19,"Carex podocarpa"
-143.165765877895,64.6454835819913,"Carex podocarpa"
-152.534,68.564,"Carex podocarpa"
-143.931113554119,64.5866366866662,"Carex podocarpa"
-161.79,68.48,"Carex podocarpa"
-135.23,59.69,"Carex podocarpa"
-143.83,65.2,"Carex podocarpa"
-152.83,61.35,"Carex podocarpa"
-143.7,64.53,"Carex podocarpa"
-142.93,64.86,"Carex podocarpa"
-148.9,61.36,"Carex podocarpa"
-148.91,61.36,"Carex podocarpa"
-152.19,68.23,"Carex podocarpa"
-152.53,68.56,"Carex podocarpa"
-161.48,68.46,"Carex podocarpa"
-155.049,67.259,"Carex podocarpa"
-155.83,66.68,"Carex podocarpa"
-155.04,67.25,"Carex podocarpa"
-151.13,63.22,"Carex podocarpa"
-155.84,66.689,"Carex podocarpa"
-149.25,63.5,"Carex podocarpa"
-158.78,68.32,"Carex podocarpa"
-151.54,62.56,"Carex podocarpa"
-156.24,57.48,"Carex podocarpa"
-156.29,57.55,"Carex podocarpa"
-150.84,62.7,"Carex podocarpa"
-158.43,68.32,"Carex podocarpa"
-156.26,57.55,"Carex podocarpa"
-149.63,68.62,"Carex podocarpa"
