"lon","lat","species.name"
-0.74444,42.97563,"Carex sempervirens"
7.461691,44.109283,"Carex sempervirens"
20.223333,49.225556,"Carex sempervirens"
10.96,48.32,"Carex sempervirens"
6.32109,45.97829,"Carex sempervirens"
10.216448,46.644192,"Carex sempervirens"
6.51502,45.91958,"Carex sempervirens"
6.23929,45.95095,"Carex sempervirens"
10.270737,46.634579,"Carex sempervirens"
6.46965,46.00155,"Carex sempervirens"
6.12556,46.59097,"Carex sempervirens"
13.04,47.57,"Carex sempervirens"
9.761288,47.061031,"Carex sempervirens"
6.51058,45.92137,"Carex sempervirens"
10.95,47.59,"Carex sempervirens"
10.115453,46.664421,"Carex sempervirens"
6.51781,45.92467,"Carex sempervirens"
6.82906,46.11918,"Carex sempervirens"
6.47406,46.001,"Carex sempervirens"
6.19468,45.88735,"Carex sempervirens"
6.727581,46.934265,"Carex sempervirens"
6.40127,45.0306,"Carex sempervirens"
11.031633,46.840667,"Carex sempervirens"
6.97532,44.68974,"Carex sempervirens"
12.231388,46.198326,"Carex sempervirens"
10.661117,47.291417,"Carex sempervirens"
6.40323,45.03589,"Carex sempervirens"
12.204394,46.221191,"Carex sempervirens"
8.847857,48.218842,"Carex sempervirens"
12.8,47.2,"Carex sempervirens"
6.40106,45.03681,"Carex sempervirens"
6.75097,46.10478,"Carex sempervirens"
13.5,47.5,"Carex sempervirens"
3.93232,49.12219,"Carex sempervirens"
19.720183,42.388683,"Carex sempervirens"
3.70935,49.10568,"Carex sempervirens"
3.79716,49.14346,"Carex sempervirens"
3.80498,49.20575,"Carex sempervirens"
3.86975,49.08607,"Carex sempervirens"
13.4,47.7,"Carex sempervirens"
13,47.1,"Carex sempervirens"
3.97761,49.08873,"Carex sempervirens"
6.7733,46.10161,"Carex sempervirens"
3.91036,49.17001,"Carex sempervirens"
3.85353,49.22834,"Carex sempervirens"
8.648043,47.937679,"Carex sempervirens"
3.86465,49.1326,"Carex sempervirens"
6.63958,44.78759,"Carex sempervirens"
12.690381,47.040833,"Carex sempervirens"
6.54684,45.98349,"Carex sempervirens"
12.4,47.2,"Carex sempervirens"
6.78513,46.10948,"Carex sempervirens"
10.209722,47.34,"Carex sempervirens"
10.318611,47.432503,"Carex sempervirens"
12.6,47,"Carex sempervirens"
6.40974,45.03256,"Carex sempervirens"
13.9,46.9,"Carex sempervirens"
13.8,46.9,"Carex sempervirens"
13.7,46.9,"Carex sempervirens"
6.85651,45.20849,"Carex sempervirens"
13.5,47.1,"Carex sempervirens"
12.8,47.1,"Carex sempervirens"
13.8,47.2,"Carex sempervirens"
13,47.4,"Carex sempervirens"
12.113511,47.632748,"Carex sempervirens"
12.19094,47.589798,"Carex sempervirens"
12.313356,47.010284,"Carex sempervirens"
1.07043,42.84912,"Carex sempervirens"
10.661383,47.2903,"Carex sempervirens"
13.4,47.3,"Carex sempervirens"
13,47.5,"Carex sempervirens"
13.6,47.5,"Carex sempervirens"
13.1,47.4,"Carex sempervirens"
13.1,47.5,"Carex sempervirens"
13.8,47,"Carex sempervirens"
12.2,47.3,"Carex sempervirens"
25.43194,45.3625,"Carex sempervirens"
24.62111,45.60278,"Carex sempervirens"
9.99139,46.43944,"Carex sempervirens"
11.0431,46.829883,"Carex sempervirens"
8.431522,46.429048,"Carex sempervirens"
19.64056,49.18194,"Carex sempervirens"
-4.82625982783288,43.195925327254,"Carex sempervirens"
6.80286,46.00947,"Carex sempervirens"
6.8024,46.01074,"Carex sempervirens"
13.1,47.3,"Carex sempervirens"
5.95875,44.865,"Carex sempervirens"
-5.37278,43.04694,"Carex sempervirens"
13.7,47.2,"Carex sempervirens"
12.328548,47.708492,"Carex sempervirens"
11.75389,47.54778,"Carex sempervirens"
10.246702,46.669453,"Carex sempervirens"
88.22187,49.5359,"Carex sempervirens"
0.50709,42.70366,"Carex sempervirens"
0.15212,42.87498,"Carex sempervirens"
