"lon","lat","species.name"
-69.13,-14.69,"Castilleja nubigena"
-69.138055,-14.611944,"Castilleja nubigena"
-78.672683,-7.416217,"Castilleja nubigena"
-78.27435,-8.138617,"Castilleja nubigena"
-78.281917,-7.99135,"Castilleja nubigena"
-72.529834,6.562616,"Castilleja nubigena"
-72.5298,6.56262,"Castilleja nubigena"
-78.7,-2.13333,"Castilleja nubigena"
-78.43,-6.98,"Castilleja nubigena"
-78,-7.9,"Castilleja nubigena"
-77.7,-7.13,"Castilleja nubigena"
-78.32611,-1.19444,"Castilleja nubigena"
-78.16666,-0.46666,"Castilleja nubigena"
-78.21666,-0.53333,"Castilleja nubigena"
-78.16666,-0.53333,"Castilleja nubigena"
-78.38333,-1.08333,"Castilleja nubigena"
-73.667,-11.66,"Castilleja nubigena"
-75,-11.5,"Castilleja nubigena"
-78.6,-0.16666,"Castilleja nubigena"
-78.8,-1.46666,"Castilleja nubigena"
-78.8,-1.38333,"Castilleja nubigena"
-78.61666,-0.66666,"Castilleja nubigena"
-77.926712,0.825663,"Castilleja nubigena"
-74.175181,4.283804,"Castilleja nubigena"
-78.83333,-1.45,"Castilleja nubigena"
-77.86666,-0.83333,"Castilleja nubigena"
-78.55,-6.75,"Castilleja nubigena"
-78.2,-0.25,"Castilleja nubigena"
-78.4,-1.66666,"Castilleja nubigena"
-77.28333,-9.88333,"Castilleja nubigena"
-77.21666,-9.96666,"Castilleja nubigena"
-77.3,-9.83333,"Castilleja nubigena"
-72.952203,6.026473,"Castilleja nubigena"
-77.58333,-8.91666,"Castilleja nubigena"
-77.18333,-9.86666,"Castilleja nubigena"
-78.18333,-0.28333,"Castilleja nubigena"
-77.51666,-9.11666,"Castilleja nubigena"
-77.366667,-9.3,"Castilleja nubigena"
-78.45,-0.61666,"Castilleja nubigena"
-72.336599,6.483916,"Castilleja nubigena"
-78.3,-8,"Castilleja nubigena"
-78.616667,-6.916667,"Castilleja nubigena"
-78.03333,-7.88333,"Castilleja nubigena"
-74.1068,3.9447,"Castilleja nubigena"
-78.25,-0.7,"Castilleja nubigena"
-78.7,-0.65,"Castilleja nubigena"
-78.7,-0.63333,"Castilleja nubigena"
-78.352778,-1.156389,"Castilleja nubigena"
-78.35,-1.15,"Castilleja nubigena"
-78.15,-0.26666,"Castilleja nubigena"
-78.35,-0.78333,"Castilleja nubigena"
-78.15,-0.43333,"Castilleja nubigena"
-79.2,-2.85,"Castilleja nubigena"
-77.98333,0.06666,"Castilleja nubigena"
-78.15,-0.28333,"Castilleja nubigena"
-72.310076,6.403448,"Castilleja nubigena"
-72.318454,6.366003,"Castilleja nubigena"
-78.4833,-1.8333,"Castilleja nubigena"
