"lon","lat","species.name"
167.528247,-45.657859,"Celmisia bonplandii"
167.434838,-45.065102,"Celmisia bonplandii"
167.836298,-45.696044,"Celmisia bonplandii"
168.286643,-44.594147,"Celmisia bonplandii"
167.5196,-45.6869,"Celmisia bonplandii"
167.5271,-45.6602,"Celmisia bonplandii"
167.5201,-45.6867,"Celmisia bonplandii"
167.5197,-45.6867,"Celmisia bonplandii"
167.5248,-45.6861,"Celmisia bonplandii"
167.777,-45.7983,"Celmisia bonplandii"
167.652,-44.9269,"Celmisia bonplandii"
167.955,-44.9406,"Celmisia bonplandii"
168.2012,-44.7584,"Celmisia bonplandii"
167.983333,-44.75,"Celmisia bonplandii"
168.299,-44.8431,"Celmisia bonplandii"
168.316667,-44.983333,"Celmisia bonplandii"
167.8,-44.616667,"Celmisia bonplandii"
170.166667,-45.9,"Celmisia bonplandii"
-123.25081,49.25408,"Celmisia bonplandii"
168.083333,-43.916667,"Celmisia bonplandii"
