"lon","lat","species.name"
169.577322,-44.437414,"Celmisia lyallii"
169.172789,-45.377218,"Celmisia lyallii"
171.708033,-43.110336,"Celmisia lyallii"
169.270821,-44.247658,"Celmisia lyallii"
170.102112,-45.447041,"Celmisia lyallii"
168.948205,-44.956023,"Celmisia lyallii"
169.217412,-44.473083,"Celmisia lyallii"
168.502593,-45.169645,"Celmisia lyallii"
169.170833,-45.39292,"Celmisia lyallii"
169.204807,-44.468539,"Celmisia lyallii"
171.707903,-43.111154,"Celmisia lyallii"
169.174573,-45.37734,"Celmisia lyallii"
169.209366,-45.340804,"Celmisia lyallii"
168.856087,-45.121385,"Celmisia lyallii"
169.755828,-43.951506,"Celmisia lyallii"
171.230198,-43.620256,"Celmisia lyallii"
168.903568,-44.474186,"Celmisia lyallii"
168.637133,-44.792678,"Celmisia lyallii"
171.70212,-43.128664,"Celmisia lyallii"
169.765463,-44.269261,"Celmisia lyallii"
168.728755,-44.929823,"Celmisia lyallii"
169.205761,-45.426046,"Celmisia lyallii"
171.7327,-43.1492,"Celmisia lyallii"
170.105824,-45.421513,"Celmisia lyallii"
169.711132,-44.20042,"Celmisia lyallii"
170.440865,-45.127229,"Celmisia lyallii"
170.476409,-45.185467,"Celmisia lyallii"
169.580946,-44.272967,"Celmisia lyallii"
170.3764,-43.6707,"Celmisia lyallii"
170.3631,-43.6852,"Celmisia lyallii"
170.362,-43.6851,"Celmisia lyallii"
170.3773,-43.6804,"Celmisia lyallii"
170.3687,-43.6797,"Celmisia lyallii"
170.3977,-43.6389,"Celmisia lyallii"
170.3823,-43.6669,"Celmisia lyallii"
170.3756,-43.6677,"Celmisia lyallii"
170.3771,-43.6703,"Celmisia lyallii"
170.3809,-43.6749,"Celmisia lyallii"
170.377,-43.66,"Celmisia lyallii"
170.3754,-43.6823,"Celmisia lyallii"
170.3742,-43.6783,"Celmisia lyallii"
170.3882,-43.6354,"Celmisia lyallii"
170.4,-43.647,"Celmisia lyallii"
170.381,-43.6807,"Celmisia lyallii"
170.3792,-43.6827,"Celmisia lyallii"
170.3789,-43.6724,"Celmisia lyallii"
