"lon","lat","species.name"
169.553783,-44.426889,"Celmisia viscosa"
167.5269,-45.65999,"Celmisia viscosa"
169.172789,-45.377218,"Celmisia viscosa"
169.18499,-44.873389,"Celmisia viscosa"
170.081921,-45.44117,"Celmisia viscosa"
171.701662,-43.110586,"Celmisia viscosa"
170.070634,-45.429952,"Celmisia viscosa"
168.817978,-45.147801,"Celmisia viscosa"
167.904139,-45.628462,"Celmisia viscosa"
167.836298,-45.696044,"Celmisia viscosa"
167.412372,-45.776721,"Celmisia viscosa"
167.391644,-45.759055,"Celmisia viscosa"
171.705414,-43.115477,"Celmisia viscosa"
171.70772,-43.106323,"Celmisia viscosa"
169.209366,-45.340804,"Celmisia viscosa"
170.116667,-45.383333,"Celmisia viscosa"
170.087654,-45.416566,"Celmisia viscosa"
171.70554,-43.126,"Celmisia viscosa"
169.191685,-45.38979,"Celmisia viscosa"
170.087335,-45.419303,"Celmisia viscosa"
169.19403,-45.30982,"Celmisia viscosa"
170.440865,-45.127229,"Celmisia viscosa"
170.087757,-45.416799,"Celmisia viscosa"
168.985863,-44.438192,"Celmisia viscosa"
167.5138,-45.6772,"Celmisia viscosa"
167.5286,-45.6635,"Celmisia viscosa"
167.5082,-45.6797,"Celmisia viscosa"
167.5197,-45.6867,"Celmisia viscosa"
167.5249,-45.6867,"Celmisia viscosa"
167.508,-45.6781,"Celmisia viscosa"
167.5085,-45.6797,"Celmisia viscosa"
167.5272,-45.6677,"Celmisia viscosa"
167.5286,-45.6666,"Celmisia viscosa"
167.5248,-45.6861,"Celmisia viscosa"
167.5287,-45.6664,"Celmisia viscosa"
167.5274,-45.6636,"Celmisia viscosa"
167.5239,-45.6872,"Celmisia viscosa"
167.5242,-45.6861,"Celmisia viscosa"
167.5082,-45.6791,"Celmisia viscosa"
167.509,-45.6777,"Celmisia viscosa"
167.5271,-45.6602,"Celmisia viscosa"
167.5079,-45.6792,"Celmisia viscosa"
167.5145,-45.6772,"Celmisia viscosa"
167.5228,-45.687,"Celmisia viscosa"
170.074539,-45.423545,"Celmisia viscosa"
170.6035,-44.308,"Celmisia viscosa"
170.6099,-44.2824,"Celmisia viscosa"
170.6107,-44.2768,"Celmisia viscosa"
171.3667,-43.533,"Celmisia viscosa"
171.748,-43.287,"Celmisia viscosa"
172.4096,-42.0817,"Celmisia viscosa"
169.615833,-44.579444,"Celmisia viscosa"
169.983333,-43.75,"Celmisia viscosa"
171.75,-43.283333,"Celmisia viscosa"
173.183333,-42.1,"Celmisia viscosa"
170.6221,-43.509,"Celmisia viscosa"
169.212,-45.3397,"Celmisia viscosa"
169.919,-43.9738,"Celmisia viscosa"
171.176,-43.8621,"Celmisia viscosa"
173.054,-42.0756,"Celmisia viscosa"
170.685,-44.375,"Celmisia viscosa"
168.0543,-45.1038,"Celmisia viscosa"
172.6395,-41.1837,"Celmisia viscosa"
173.4914,-41.4421,"Celmisia viscosa"
173.4848,-41.4444,"Celmisia viscosa"
173.4938,-41.443,"Celmisia viscosa"
173.4902,-41.4502,"Celmisia viscosa"
170.796,-44.4312,"Celmisia viscosa"
172.1829,-42.962,"Celmisia viscosa"
173.4189,-41.4311,"Celmisia viscosa"
172.0886,-43.0335,"Celmisia viscosa"
172.0508,-43.0674,"Celmisia viscosa"
172.0877,-43.0516,"Celmisia viscosa"
173.2978,-41.5157,"Celmisia viscosa"
172.0844,-43.059,"Celmisia viscosa"
172.1592,-42.993,"Celmisia viscosa"
172.092,-43.0401,"Celmisia viscosa"
172.1341,-42.9847,"Celmisia viscosa"
172.1565,-43.0071,"Celmisia viscosa"
172.1152,-43.0037,"Celmisia viscosa"
172.1874,-42.9797,"Celmisia viscosa"
173.3132,-41.4787,"Celmisia viscosa"
172.1524,-43.0208,"Celmisia viscosa"
