"lon","lat","species.name"
-122.554938,37.860858,"Cerastium arvense"
8.620845,49.718723,"Cerastium arvense"
7.374194,51.373692,"Cerastium arvense"
8.440247,49.938736,"Cerastium arvense"
-122.487687,37.837383,"Cerastium arvense"
11.08502,51.825736,"Cerastium arvense"
10.335366,48.870487,"Cerastium arvense"
8.516893,49.267357,"Cerastium arvense"
10.413837,48.863697,"Cerastium arvense"
8.542138,49.32409,"Cerastium arvense"
-122.484695,37.561387,"Cerastium arvense"
8.657628,49.334751,"Cerastium arvense"
6.984107,49.216762,"Cerastium arvense"
10.167023,52.506912,"Cerastium arvense"
8.907638,50.42252,"Cerastium arvense"
-122.496033,37.833886,"Cerastium arvense"
-77.246346,38.99417,"Cerastium arvense"
2.31278,48.46078,"Cerastium arvense"
8.384972,49.862221,"Cerastium arvense"
8.958879,50.403511,"Cerastium arvense"
-122.44787,37.695078,"Cerastium arvense"
8.717324,49.316868,"Cerastium arvense"
8.569679,49.98843,"Cerastium arvense"
8.54202,49.323869,"Cerastium arvense"
-123.331495,43.291317,"Cerastium arvense"
8.345297,49.909119,"Cerastium arvense"
6.745155,51.183754,"Cerastium arvense"
2.28647,48.43589,"Cerastium arvense"
7.674036,48.097515,"Cerastium arvense"
10.18364,52.581722,"Cerastium arvense"
-122.965713,37.990483,"Cerastium arvense"
-77.244203,38.991146,"Cerastium arvense"
3.353509,51.35881,"Cerastium arvense"
-77.216783,38.974471,"Cerastium arvense"
8.611704,49.354549,"Cerastium arvense"
8.598089,49.357941,"Cerastium arvense"
8.781492,52.934639,"Cerastium arvense"
8.525636,49.269436,"Cerastium arvense"
2.19878,49.01853,"Cerastium arvense"
8.697955,50.104822,"Cerastium arvense"
-77.248316,39.034175,"Cerastium arvense"
-123.413458,48.904562,"Cerastium arvense"
-123.377495,48.868131,"Cerastium arvense"
8.638679,49.350803,"Cerastium arvense"
8.614354,49.317989,"Cerastium arvense"
25.663605,45.728951,"Cerastium arvense"
10.457093,48.923981,"Cerastium arvense"
9.303746,48.553886,"Cerastium arvense"
-123.941853,45.72603,"Cerastium arvense"
-122.855853,38.021192,"Cerastium arvense"
7.355531,49.359676,"Cerastium arvense"
-122.279555,37.462463,"Cerastium arvense"
8.658551,49.3316,"Cerastium arvense"
7.763788,49.802441,"Cerastium arvense"
13.417997,52.43409,"Cerastium arvense"
-79.091683,44.645869,"Cerastium arvense"
10.15965,48.905296,"Cerastium arvense"
12.165642,54.15942,"Cerastium arvense"
10.360279,48.88435,"Cerastium arvense"
13.370466,52.532772,"Cerastium arvense"
13.412032,52.452896,"Cerastium arvense"
-123.573103,49.012851,"Cerastium arvense"
8.608131,48.233936,"Cerastium arvense"
-123.466845,48.927124,"Cerastium arvense"
12.228727,54.056263,"Cerastium arvense"
12.103259,54.096436,"Cerastium arvense"
10.391618,49.1166,"Cerastium arvense"
13.467264,52.447952,"Cerastium arvense"
13.388557,52.372875,"Cerastium arvense"
12.45675,51.873657,"Cerastium arvense"
-123.502722,48.940177,"Cerastium arvense"
-122.848234,46.903993,"Cerastium arvense"
8.819219,52.936111,"Cerastium arvense"
11.725699,50.886345,"Cerastium arvense"
10.147316,52.585514,"Cerastium arvense"
13.369331,52.401737,"Cerastium arvense"
12.070928,54.166405,"Cerastium arvense"
8.827171,52.953705,"Cerastium arvense"
-111.143103,34.421405,"Cerastium arvense"
-122.477177,48.677992,"Cerastium arvense"
8.072548,47.721081,"Cerastium arvense"
9.895826,51.402744,"Cerastium arvense"
8.900728,49.002998,"Cerastium arvense"
12.69423,53.484676,"Cerastium arvense"
-123.504353,48.940346,"Cerastium arvense"
-105.205794,39.335913,"Cerastium arvense"
7.985258,49.377518,"Cerastium arvense"
-114.156232,50.990882,"Cerastium arvense"
11.598406,53.631008,"Cerastium arvense"
10.347039,52.474155,"Cerastium arvense"
-122.965271,37.990329,"Cerastium arvense"
-79.048723,44.687184,"Cerastium arvense"
11.585424,53.625488,"Cerastium arvense"
-122.847245,46.903204,"Cerastium arvense"
8.76709,49.255875,"Cerastium arvense"
12.514372,51.872517,"Cerastium arvense"
10.13669,52.585686,"Cerastium arvense"
13.889465,51.146187,"Cerastium arvense"
13.404007,52.453918,"Cerastium arvense"
8.536827,48.206059,"Cerastium arvense"
13.517647,52.437595,"Cerastium arvense"
8.538812,49.094522,"Cerastium arvense"
-104.292503,50.591667,"Cerastium arvense"
