"lon","lat","species.name"
-78.213611,-0.108889,"Cerastium floccosum"
-79.241667,-2.7775,"Cerastium floccosum"
-78.25,-0.33333,"Cerastium floccosum"
-78.42,-0.65,"Cerastium floccosum"
-78.29111,-1.23111,"Cerastium floccosum"
-78.45,-1.71666,"Cerastium floccosum"
-78.16666,-0.48333,"Cerastium floccosum"
-78.76666,-1.46666,"Cerastium floccosum"
-78.16666,0.5,"Cerastium floccosum"
-79.25,-2.75,"Cerastium floccosum"
-78.13333,0.45,"Cerastium floccosum"
-78.3,-1.23333,"Cerastium floccosum"
-78.78333,-1.4,"Cerastium floccosum"
-78.566,-0.166,"Cerastium floccosum"
-78.166,0.25,"Cerastium floccosum"
-78.6,-0.166,"Cerastium floccosum"
-77.95,-0.1,"Cerastium floccosum"
-78.4,-1.683,"Cerastium floccosum"
-78.7,-0.666,"Cerastium floccosum"
-77.966,-0.1,"Cerastium floccosum"
-78.8,-1.466,"Cerastium floccosum"
-78.35,0.35,"Cerastium floccosum"
-78.5,-2.233,"Cerastium floccosum"
-78.9,-1.416,"Cerastium floccosum"
-78.9,-1.41666,"Cerastium floccosum"
-78.833,-1.466,"Cerastium floccosum"
-78.83333,-1.46666,"Cerastium floccosum"
-78.16666,-0.45,"Cerastium floccosum"
-78.166,-0.45,"Cerastium floccosum"
-78.8,-1.38333,"Cerastium floccosum"
-78.81666,-1.5,"Cerastium floccosum"
-78.616,-0.666,"Cerastium floccosum"
-78.61666,-0.66666,"Cerastium floccosum"
-78.55,-0.18333,"Cerastium floccosum"
-78.55,-0.183,"Cerastium floccosum"
-77.926712,0.825663,"Cerastium floccosum"
-78.55,-0.633,"Cerastium floccosum"
-78.55,-0.63333,"Cerastium floccosum"
-78.38333,-1.48333,"Cerastium floccosum"
-77.83333,-1.5,"Cerastium floccosum"
-78.2,-0.25,"Cerastium floccosum"
-78.33333,0.58333,"Cerastium floccosum"
-78.216,-0.333,"Cerastium floccosum"
-78.21666,-0.33333,"Cerastium floccosum"
-78.483,-0.716,"Cerastium floccosum"
-78.48333,-0.71666,"Cerastium floccosum"
-78.2,-0.466,"Cerastium floccosum"
-78.2,-0.46666,"Cerastium floccosum"
-78.45,-0.45,"Cerastium floccosum"
-78.2,-0.33333,"Cerastium floccosum"
-78.2,-0.333,"Cerastium floccosum"
-78.45,-1.433,"Cerastium floccosum"
-78.45,-1.43333,"Cerastium floccosum"
-75.395694,4.77412,"Cerastium floccosum"
-77.98333,0.08333,"Cerastium floccosum"
-77.983,0.083,"Cerastium floccosum"
-77.983,-0.033,"Cerastium floccosum"
-78,-0.05,"Cerastium floccosum"
-77.98333,-0.03333,"Cerastium floccosum"
-78.7,-0.65,"Cerastium floccosum"
-78.28333,-1.21666,"Cerastium floccosum"
-78.283,-1.216,"Cerastium floccosum"
-78.35,-1.15,"Cerastium floccosum"
-78.15,-0.483,"Cerastium floccosum"
-78.15,-0.48333,"Cerastium floccosum"
-78.15,-0.283333,"Cerastium floccosum"
-78.416,-0.633,"Cerastium floccosum"
-78.15,-0.283,"Cerastium floccosum"
-75.340803,5.014798,"Cerastium floccosum"
-78.512778,-0.223611,"Cerastium floccosum"
-78.216667,-0.5,"Cerastium floccosum"
-78.1869,-1.4628,"Cerastium floccosum"
-73.073369,3.901155,"Cerastium floccosum"
-75.3536,4.92417,"Cerastium floccosum"
-75.35,4.87,"Cerastium floccosum"
-78.76694,-1.4275,"Cerastium floccosum"
-75.3811,4.96917,"Cerastium floccosum"
