"lon","lat","species.name"
-74.187672,4.241191,"Cerastium imbricatum"
-78.16666,-0.48333,"Cerastium imbricatum"
-78.7,-0.66666,"Cerastium imbricatum"
-78.7,-0.666,"Cerastium imbricatum"
-78.25,-0.5,"Cerastium imbricatum"
-78.9,-1.416,"Cerastium imbricatum"
-78.55,-0.18333,"Cerastium imbricatum"
-78.55,-0.183,"Cerastium imbricatum"
-78.933,-1.433,"Cerastium imbricatum"
-73.8289,4.7543,"Cerastium imbricatum"
-74.2483,4.0764,"Cerastium imbricatum"
-74.1561,3.9588,"Cerastium imbricatum"
-74.1183,3.947,"Cerastium imbricatum"
-68.26666,-16.05,"Cerastium imbricatum"
-78.7,-0.65,"Cerastium imbricatum"
-78.16666,-0.5,"Cerastium imbricatum"
-78.166,-0.5,"Cerastium imbricatum"
-78.4,-0.783,"Cerastium imbricatum"
-78.4,-0.78333,"Cerastium imbricatum"
-78.15,-0.48333,"Cerastium imbricatum"
-78.15,-0.483,"Cerastium imbricatum"
-78.166,-0.45,"Cerastium imbricatum"
-78.16666,-0.45,"Cerastium imbricatum"
-78.18333,-0.51666,"Cerastium imbricatum"
-78.183,-0.516,"Cerastium imbricatum"
-78.15,-0.283,"Cerastium imbricatum"
-78.15,-0.28333,"Cerastium imbricatum"
-74.112733,3.936626,"Cerastium imbricatum"
-74.108056,3.940833,"Cerastium imbricatum"
-74.074167,3.985833,"Cerastium imbricatum"
-74.1068,3.9447,"Cerastium imbricatum"
-74.191447,4.270588,"Cerastium imbricatum"
-74.201667,4.274167,"Cerastium imbricatum"
-78.816,-0.9,"Cerastium imbricatum"
-78.82,-0.9,"Cerastium imbricatum"
-78.81666,-0.9,"Cerastium imbricatum"
-74.2,4.08333,"Cerastium imbricatum"
-78.1869,-1.4628,"Cerastium imbricatum"
