"lon","lat","species.name"
10.940303,59.5932,"Cerastium holosteoides"
16.055418,59.140539,"Cerastium holosteoides"
10.659301,59.345498,"Cerastium holosteoides"
11.004299,59.659798,"Cerastium holosteoides"
16.45613,58.98528,"Cerastium holosteoides"
-0.23167,47.32202,"Cerastium holosteoides"
8.773441,49.064419,"Cerastium holosteoides"
8.774042,49.339943,"Cerastium holosteoides"
8.657827,50.126633,"Cerastium holosteoides"
9.547505,48.831364,"Cerastium holosteoides"
9.533472,48.809208,"Cerastium holosteoides"
8.709583,49.038544,"Cerastium holosteoides"
8.812408,49.058571,"Cerastium holosteoides"
8.905277,49.166664,"Cerastium holosteoides"
8.712416,49.058796,"Cerastium holosteoides"
8.072548,47.721081,"Cerastium holosteoides"
10.15965,48.905296,"Cerastium holosteoides"
10.009918,48.889778,"Cerastium holosteoides"
11.62817,53.503159,"Cerastium holosteoides"
8.514748,49.377007,"Cerastium holosteoides"
10.473447,50.524723,"Cerastium holosteoides"
15.373965,58.409382,"Cerastium holosteoides"
9.404197,48.848671,"Cerastium holosteoides"
8.76709,49.255875,"Cerastium holosteoides"
11.725699,50.886345,"Cerastium holosteoides"
9.201736,48.645996,"Cerastium holosteoides"
11.646194,50.934578,"Cerastium holosteoides"
8.182628,47.630997,"Cerastium holosteoides"
8.556223,49.503319,"Cerastium holosteoides"
11.661312,50.934021,"Cerastium holosteoides"
16.63794,56.854855,"Cerastium holosteoides"
5.46379,43.53046,"Cerastium holosteoides"
8.938665,49.191238,"Cerastium holosteoides"
8.856525,49.136127,"Cerastium holosteoides"
9.02338,49.159481,"Cerastium holosteoides"
9.536241,48.839626,"Cerastium holosteoides"
9.410052,48.846943,"Cerastium holosteoides"
7.881081,47.645123,"Cerastium holosteoides"
-79.185009,43.811558,"Cerastium holosteoides"
9.548235,48.803413,"Cerastium holosteoides"
10.703859,48.315166,"Cerastium holosteoides"
9.6805,48.95779,"Cerastium holosteoides"
12.643204,48.211433,"Cerastium holosteoides"
5.73973,45.189,"Cerastium holosteoides"
9.465752,52.192772,"Cerastium holosteoides"
10.360279,48.88435,"Cerastium holosteoides"
9.832935,53.115871,"Cerastium holosteoides"
7.850118,49.809689,"Cerastium holosteoides"
7.008694,50.514301,"Cerastium holosteoides"
8.104305,47.733089,"Cerastium holosteoides"
5.36544,50.96358,"Cerastium holosteoides"
4.51101,50.85985,"Cerastium holosteoides"
4.51247,51.32727,"Cerastium holosteoides"
9.027243,50.619083,"Cerastium holosteoides"
4.16877,51.18338,"Cerastium holosteoides"
4.3976,51.18354,"Cerastium holosteoides"
2.90925,51.21053,"Cerastium holosteoides"
5.02383,50.96598,"Cerastium holosteoides"
16.310378,58.614982,"Cerastium holosteoides"
4.85489,51.14658,"Cerastium holosteoides"
4.22586,51.21941,"Cerastium holosteoides"
2.8093,50.77769,"Cerastium holosteoides"
4.34046,51.07567,"Cerastium holosteoides"
4.454,50.75203,"Cerastium holosteoides"
5.75752,50.74383,"Cerastium holosteoides"
4.73855,50.89531,"Cerastium holosteoides"
5.02484,51.03789,"Cerastium holosteoides"
149.159046,-37.067695,"Cerastium holosteoides"
5.1377,50.96529,"Cerastium holosteoides"
11.168125,59.337038,"Cerastium holosteoides"
148.719201,-36.369803,"Cerastium holosteoides"
11.15589,59.341014,"Cerastium holosteoides"
148.815444,-37.045154,"Cerastium holosteoides"
5.919458,59.092105,"Cerastium holosteoides"
4.39763,51.21949,"Cerastium holosteoides"
1.70077,52.54893,"Cerastium holosteoides"
3.82762,51.00253,"Cerastium holosteoides"
3.20534,50.81824,"Cerastium holosteoides"
4.45481,51.18351,"Cerastium holosteoides"
4.45454,51.03969,"Cerastium holosteoides"
4.73883,50.93126,"Cerastium holosteoides"
-74.433464,40.480883,"Cerastium holosteoides"
13.260733,56.274345,"Cerastium holosteoides"
5.7029,50.81639,"Cerastium holosteoides"
16.453264,58.986113,"Cerastium holosteoides"
4.73998,51.07509,"Cerastium holosteoides"
4.22695,50.85985,"Cerastium holosteoides"
3.60381,50.74958,"Cerastium holosteoides"
5.36621,50.99953,"Cerastium holosteoides"
3.71616,50.82218,"Cerastium holosteoides"
3.54588,50.82111,"Cerastium holosteoides"
17.103222,59.027005,"Cerastium holosteoides"
2.90812,51.24647,"Cerastium holosteoides"
4.96735,51.00224,"Cerastium holosteoides"
4.51146,51.00367,"Cerastium holosteoides"
4.34058,50.85993,"Cerastium holosteoides"
4.28286,51.36328,"Cerastium holosteoides"
5.02231,50.85811,"Cerastium holosteoides"
4.45461,51.07564,"Cerastium holosteoides"
8.300874,45.158159,"Cerastium holosteoides"
16.15665,58.624164,"Cerastium holosteoides"
15.671829,58.426389,"Cerastium holosteoides"
9.803205,52.385876,"Cerastium holosteoides"
19.186038,69.713213,"Cerastium holosteoides"
9.08,49.97,"Cerastium holosteoides"
3.3099,51.21478,"Cerastium holosteoides"
5.30634,50.85619,"Cerastium holosteoides"
3.71516,50.89409,"Cerastium holosteoides"
4.79606,50.96703,"Cerastium holosteoides"
5.08298,51.10946,"Cerastium holosteoides"
16.984393,58.778083,"Cerastium holosteoides"
4.62624,51.1473,"Cerastium holosteoides"
3.54271,51.00088,"Cerastium holosteoides"
5.02181,50.82215,"Cerastium holosteoides"
149.40398,-35.85041,"Cerastium holosteoides"
5.07912,50.85778,"Cerastium holosteoides"
-0.91585,43.54513,"Cerastium holosteoides"
4.74056,51.147,"Cerastium holosteoides"
4.22553,51.32727,"Cerastium holosteoides"
4.68145,50.85951,"Cerastium holosteoides"
3.8301,50.7868,"Cerastium holosteoides"
5.37009,51.17929,"Cerastium holosteoides"
13.402269,52.466221,"Cerastium holosteoides"
3.31236,51.10692,"Cerastium holosteoides"
4.68218,50.96738,"Cerastium holosteoides"
3.94126,51.03895,"Cerastium holosteoides"
4.90995,50.96656,"Cerastium holosteoides"
4.62444,50.82369,"Cerastium holosteoides"
4.79573,50.93107,"Cerastium holosteoides"
4.56829,50.96763,"Cerastium holosteoides"
149.429867,-35.885911,"Cerastium holosteoides"
8.936133,48.031666,"Cerastium holosteoides"
3.25869,50.9626,"Cerastium holosteoides"
3.65886,50.85781,"Cerastium holosteoides"
4.85263,50.93085,"Cerastium holosteoides"
3.99942,50.89532,"Cerastium holosteoides"
3.36714,51.21527,"Cerastium holosteoides"
4.68267,51.0393,"Cerastium holosteoides"
4.28377,50.85991,"Cerastium holosteoides"
3.71061,51.21768,"Cerastium holosteoides"
3.77017,51.03821,"Cerastium holosteoides"
16.982974,58.781445,"Cerastium holosteoides"
9.2,49.8,"Cerastium holosteoides"
3.82969,50.82275,"Cerastium holosteoides"
3.65447,51.14544,"Cerastium holosteoides"
4.85189,50.85894,"Cerastium holosteoides"
9.63,50.22,"Cerastium holosteoides"
16.590536,56.655004,"Cerastium holosteoides"
17.266671,59.020037,"Cerastium holosteoides"
4.62584,51.07539,"Cerastium holosteoides"
4.96643,50.93032,"Cerastium holosteoides"
9.464529,48.957172,"Cerastium holosteoides"
5.30562,50.82023,"Cerastium holosteoides"
10.88468,59.289345,"Cerastium holosteoides"
4.45447,51.00373,"Cerastium holosteoides"
9.12,49.88,"Cerastium holosteoides"
4.22738,50.71602,"Cerastium holosteoides"
5.02689,51.1817,"Cerastium holosteoides"
4.79507,50.85916,"Cerastium holosteoides"
4.74144,51.25486,"Cerastium holosteoides"
3.65392,51.18139,"Cerastium holosteoides"
