"lon","lat","species.name"
168.820553,-45.070611,"Veronica thomsonii"
168.817978,-45.147801,"Veronica thomsonii"
170.300016,-44.924703,"Veronica thomsonii"
169.197457,-45.38361,"Veronica thomsonii"
169.209366,-45.340804,"Veronica thomsonii"
168.856087,-45.121385,"Veronica thomsonii"
168.856945,-45.121688,"Veronica thomsonii"
169.219574,-44.853089,"Veronica thomsonii"
169.19176,-45.30301,"Veronica thomsonii"
169.191685,-45.38979,"Veronica thomsonii"
169.202142,-45.317448,"Veronica thomsonii"
167.5138,-45.6772,"Veronica thomsonii"
167.5197,-45.6867,"Veronica thomsonii"
167.5248,-45.6861,"Veronica thomsonii"
167.5274,-45.6636,"Veronica thomsonii"
167.5288,-45.6633,"Veronica thomsonii"
167.5311,-45.6427,"Veronica thomsonii"
167.5249,-45.6867,"Veronica thomsonii"
167.5301,-45.6407,"Veronica thomsonii"
167.5279,-45.6674,"Veronica thomsonii"
167.5228,-45.687,"Veronica thomsonii"
167.5306,-45.6399,"Veronica thomsonii"
167.528,-45.6635,"Veronica thomsonii"
167.5287,-45.6664,"Veronica thomsonii"
167.5274,-45.6501,"Veronica thomsonii"
167.5267,-45.6589,"Veronica thomsonii"
167.5279,-45.6629,"Veronica thomsonii"
167.5306,-45.6397,"Veronica thomsonii"
167.5301,-45.6415,"Veronica thomsonii"
167.5282,-45.647,"Veronica thomsonii"
167.5217,-45.6886,"Veronica thomsonii"
167.5143,-45.6772,"Veronica thomsonii"
167.5282,-45.6627,"Veronica thomsonii"
167.5286,-45.6635,"Veronica thomsonii"
167.5275,-45.6676,"Veronica thomsonii"
167.5286,-45.6666,"Veronica thomsonii"
167.5275,-45.6658,"Veronica thomsonii"
167.5307,-45.6426,"Veronica thomsonii"
167.5085,-45.6789,"Veronica thomsonii"
167.5272,-45.6677,"Veronica thomsonii"
167.5307,-45.6397,"Veronica thomsonii"
167.5268,-45.6494,"Veronica thomsonii"
167.5271,-45.6602,"Veronica thomsonii"
167.5287,-45.6588,"Veronica thomsonii"
167.5298,-45.6409,"Veronica thomsonii"
167.5274,-45.6662,"Veronica thomsonii"
167.5272,-45.6666,"Veronica thomsonii"
167.5079,-45.6792,"Veronica thomsonii"
167.5284,-45.6589,"Veronica thomsonii"
167.5276,-45.6691,"Veronica thomsonii"
167.5284,-45.6627,"Veronica thomsonii"
167.5262,-45.6667,"Veronica thomsonii"
167.5284,-45.6674,"Veronica thomsonii"
167.5152,-45.6467,"Veronica thomsonii"
167.5275,-45.6587,"Veronica thomsonii"
167.5145,-45.6772,"Veronica thomsonii"
167.5269,-45.6668,"Veronica thomsonii"
167.53,-45.6428,"Veronica thomsonii"
167.5304,-45.6405,"Veronica thomsonii"
167.5079,-45.6783,"Veronica thomsonii"
167.529,-45.6623,"Veronica thomsonii"
167.5211,-45.6882,"Veronica thomsonii"
167.5273,-45.666,"Veronica thomsonii"
167.5268,-45.6598,"Veronica thomsonii"
167.5196,-45.6865,"Veronica thomsonii"
167.5272,-45.669,"Veronica thomsonii"
167.5282,-45.6471,"Veronica thomsonii"
167.5278,-45.6586,"Veronica thomsonii"
167.5196,-45.6869,"Veronica thomsonii"
167.5201,-45.6867,"Veronica thomsonii"
169.213333,-45.341944,"Veronica thomsonii"
168.893,-45.4577,"Veronica thomsonii"
168.902,-45.4518,"Veronica thomsonii"
168.349,-45.3003,"Veronica thomsonii"
169.205,-45.3268,"Veronica thomsonii"
169.178,-44.8834,"Veronica thomsonii"
169.211,-45.354,"Veronica thomsonii"
170.038,-45.4783,"Veronica thomsonii"
170.077,-45.4224,"Veronica thomsonii"
170.068,-45.4236,"Veronica thomsonii"
169.145,-44.8744,"Veronica thomsonii"
169.202,-45.3247,"Veronica thomsonii"
168.616,-44.5041,"Veronica thomsonii"
168.441,-44.4883,"Veronica thomsonii"
168.63,-44.4776,"Veronica thomsonii"
169.204,-44.8434,"Veronica thomsonii"
168.838,-44.5194,"Veronica thomsonii"
169.21,-44.8495,"Veronica thomsonii"
169.766,-44.2287,"Veronica thomsonii"
169.188,-45.3864,"Veronica thomsonii"
169.158,-44.9184,"Veronica thomsonii"
168.279,-44.8634,"Veronica thomsonii"
168,-44,"Veronica thomsonii"
169.25,-44.25,"Veronica thomsonii"
169.248,-44.2623,"Veronica thomsonii"
169.305278,-44.255,"Veronica thomsonii"
168.944,-44.8554,"Veronica thomsonii"
169.231111,-45.423611,"Veronica thomsonii"
170.326,-44.7704,"Veronica thomsonii"
168.431,-44.6141,"Veronica thomsonii"
172.712,-42.4643,"Veronica thomsonii"
169.694,-44.356,"Veronica thomsonii"
168.922,-45.4545,"Veronica thomsonii"
169.773333,-44.223056,"Veronica thomsonii"
168.416667,-44.583333,"Veronica thomsonii"
169.256,-45.5534,"Veronica thomsonii"
170.215,-44.1162,"Veronica thomsonii"
168.901,-45.4697,"Veronica thomsonii"
168.808,-45.1691,"Veronica thomsonii"
168.944,-44.8674,"Veronica thomsonii"
169.766667,-44.733333,"Veronica thomsonii"
168.311,-45.3213,"Veronica thomsonii"
168.453,-45.3184,"Veronica thomsonii"
168.601,-45.5677,"Veronica thomsonii"
168.801,-45.0787,"Veronica thomsonii"
170.433333,-44.716667,"Veronica thomsonii"
