"lon","lat","species.name"
-64.900787,-42.812515,"Chuquiraga avellanedae"
-65.091056,-42.656444,"Chuquiraga avellanedae"
-6.93,35.15,"Chuquiraga avellanedae"
-67.44361,-46.54472,"Chuquiraga avellanedae"
-68.9671,-45.2578,"Chuquiraga avellanedae"
-67.1442,-44.2603,"Chuquiraga avellanedae"
-69.3631,-39.2925,"Chuquiraga avellanedae"
-70.6835,-42.7091,"Chuquiraga avellanedae"
-70.12027,-38.07444,"Chuquiraga avellanedae"
-70.1203,-38.0744,"Chuquiraga avellanedae"
-67.471944,-47.786944,"Chuquiraga avellanedae"
-63.86666,-42.31666,"Chuquiraga avellanedae"
-65.36666,-41.66666,"Chuquiraga avellanedae"
-67.6,-46,"Chuquiraga avellanedae"
-65.35,-41.55,"Chuquiraga avellanedae"
-64.42083,-42.46805,"Chuquiraga avellanedae"
-64.03888,-42.64166,"Chuquiraga avellanedae"
-63.83333,-42.15,"Chuquiraga avellanedae"
-65.38333,-41.63333,"Chuquiraga avellanedae"
-65.49,-40.91,"Chuquiraga avellanedae"
-70.54,-44.18,"Chuquiraga avellanedae"
-71.09,-39.11,"Chuquiraga avellanedae"
-69.19,-45.6,"Chuquiraga avellanedae"
-67.26,-43.83,"Chuquiraga avellanedae"
-70.12,-38.07,"Chuquiraga avellanedae"
-65.69,-44.67,"Chuquiraga avellanedae"
-65.38,-41.63,"Chuquiraga avellanedae"
-70.28,-37.38,"Chuquiraga avellanedae"
-69.3,-45.58,"Chuquiraga avellanedae"
-63.83,-42.15,"Chuquiraga avellanedae"
-69.37,-36.14,"Chuquiraga avellanedae"
-70.62,-37.24,"Chuquiraga avellanedae"
-64.9208,-35.3869,"Chuquiraga avellanedae"
-65.09,-42.64,"Chuquiraga avellanedae"
-65.48,-43.28,"Chuquiraga avellanedae"
-69.06,-45.3,"Chuquiraga avellanedae"
-63.79,-40.77,"Chuquiraga avellanedae"
-68.14,-47.22,"Chuquiraga avellanedae"
-71.25,-45.87,"Chuquiraga avellanedae"
-67.82,-45.22,"Chuquiraga avellanedae"
-66.37,-40.95,"Chuquiraga avellanedae"
-63.87,-42.32,"Chuquiraga avellanedae"
-65.37,-41.67,"Chuquiraga avellanedae"
-65.14,-43.09,"Chuquiraga avellanedae"
-67.56,-46.51,"Chuquiraga avellanedae"
-64.42,-42.47,"Chuquiraga avellanedae"
-67.23,-43.67,"Chuquiraga avellanedae"
-63.99,-40.71,"Chuquiraga avellanedae"
-65.41,-24.35,"Chuquiraga avellanedae"
-65.09,-42.66,"Chuquiraga avellanedae"
-66.06,-43.26,"Chuquiraga avellanedae"
-67.37,-46.71,"Chuquiraga avellanedae"
-70.23,-41.03,"Chuquiraga avellanedae"
-64.04,-42.64,"Chuquiraga avellanedae"
-70.45,-39.43,"Chuquiraga avellanedae"
-69.48,-39.41,"Chuquiraga avellanedae"
-67.26,-42.38,"Chuquiraga avellanedae"
-70.26,-36.85,"Chuquiraga avellanedae"
-69.52,-37.38,"Chuquiraga avellanedae"
