"lon","lat","species.name"
-78.527504,-0.667662,"Chuquiraga jussieui"
-79.222755,-2.781195,"Chuquiraga jussieui"
-79.231911,-2.768083,"Chuquiraga jussieui"
-78.81694,-1.469302,"Chuquiraga jussieui"
-75.798806,4.09075,"Chuquiraga jussieui"
-75.79825,4.091694,"Chuquiraga jussieui"
-78.418951,-0.647064,"Chuquiraga jussieui"
-78.563452,-0.162681,"Chuquiraga jussieui"
-79.220066,-2.780469,"Chuquiraga jussieui"
-77.956306,0.805861,"Chuquiraga jussieui"
-78.254444,-0.273389,"Chuquiraga jussieui"
-78.466759,-0.650052,"Chuquiraga jussieui"
-77.85205,-6.88105,"Chuquiraga jussieui"
-78.788422,-1.431532,"Chuquiraga jussieui"
-69.09224,-16.162462,"Chuquiraga jussieui"
-69.096389,-14.606667,"Chuquiraga jussieui"
-69.1225,-14.816667,"Chuquiraga jussieui"
-69.077222,-14.726944,"Chuquiraga jussieui"
-79.10277,-2.59222,"Chuquiraga jussieui"
-78.705,-2.19166,"Chuquiraga jussieui"
-79.244722,-2.769444,"Chuquiraga jussieui"
-78.516667,-0.666667,"Chuquiraga jussieui"
-78.53,-0.67,"Chuquiraga jussieui"
-77.35372,1.21505,"Chuquiraga jussieui"
-77.441111,1.261389,"Chuquiraga jussieui"
-78.7,-2.13333,"Chuquiraga jussieui"
-79.3047,-2.7989,"Chuquiraga jussieui"
-79.304722,-2.798889,"Chuquiraga jussieui"
-79.110556,-2.954167,"Chuquiraga jussieui"
-78.58333,-0.36666,"Chuquiraga jussieui"
-75.557958,4.242985,"Chuquiraga jussieui"
-79.433333,-4.726111,"Chuquiraga jussieui"
-79.43333,-4.71667,"Chuquiraga jussieui"
-78.33472,-1.11944,"Chuquiraga jussieui"
-76.09929,3.7416,"Chuquiraga jussieui"
-79.4,-4.78333,"Chuquiraga jussieui"
-79.4,-4.783,"Chuquiraga jussieui"
-78.2,-0.33333,"Chuquiraga jussieui"
-78.17,-0.47,"Chuquiraga jussieui"
-78.16666,-0.46666,"Chuquiraga jussieui"
