"lon","lat","species.name"
-106.474686,37.330584,"Cirsium eatonii"
-105.683639,40.342793,"Cirsium eatonii"
-115.52764,40.23592,"Cirsium eatonii"
-105.027355,38.813371,"Cirsium eatonii"
-105.023785,38.813381,"Cirsium eatonii"
-105.31221,36.942886,"Cirsium eatonii"
-105.029187,38.812453,"Cirsium eatonii"
-105.027013,38.822419,"Cirsium eatonii"
-118.58775,42.6304,"Cirsium eatonii"
-118.628,42.674,"Cirsium eatonii"
-118.565183,42.666133,"Cirsium eatonii"
-107.533931,37.79119,"Cirsium eatonii"
-106.85,38.72,"Cirsium eatonii"
-106.85083,38.72916,"Cirsium eatonii"
-107.204984,38.008126,"Cirsium eatonii"
-105.83,39.53,"Cirsium eatonii"
-105.83916,39.53583,"Cirsium eatonii"
-110.8831,43.5903,"Cirsium eatonii"
-105.65,39.93,"Cirsium eatonii"
-105.65472,39.93,"Cirsium eatonii"
-105.60277,39.635,"Cirsium eatonii"
-105.153333,38.873889,"Cirsium eatonii"
-105,39,"Cirsium eatonii"
-106.172778,39.288333,"Cirsium eatonii"
-106.10083,39.385,"Cirsium eatonii"
-105.86666,39.66666,"Cirsium eatonii"
-105.7,40.41666,"Cirsium eatonii"
-105.585833,40.091111,"Cirsium eatonii"
-105.15,38.75,"Cirsium eatonii"
-106.55,39.1,"Cirsium eatonii"
-105.06666,38.86666,"Cirsium eatonii"
-105.6,39.63333,"Cirsium eatonii"
-110.928553,45.470766,"Cirsium eatonii"
-105.811861,40.013917,"Cirsium eatonii"
-107.998265,39.040952,"Cirsium eatonii"
-106.178143,39.128588,"Cirsium eatonii"
-106.085413,38.992459,"Cirsium eatonii"
-109.96,40.68,"Cirsium eatonii"
-109.73,40.85,"Cirsium eatonii"
-106.123277,38.998408,"Cirsium eatonii"
-105.742458,40.512437,"Cirsium eatonii"
-116.18333,39.25,"Cirsium eatonii"
-106.05,39.45,"Cirsium eatonii"
-110.74,40.55,"Cirsium eatonii"
-106.170517,39.188523,"Cirsium eatonii"
-105.689508,39.832554,"Cirsium eatonii"
-112.38,38.43,"Cirsium eatonii"
-115.38,40.96,"Cirsium eatonii"
-109.41,45.02,"Cirsium eatonii"
-111.47,40.37,"Cirsium eatonii"
-110.91,40.7,"Cirsium eatonii"
-110.07,40.64,"Cirsium eatonii"
-108.98,39.58,"Cirsium eatonii"
-111.67,41.91,"Cirsium eatonii"
-109.79,40.71,"Cirsium eatonii"
-110.3,40.51,"Cirsium eatonii"
-112.37,38.49,"Cirsium eatonii"
-110.59,42.86,"Cirsium eatonii"
-112.25,40.34,"Cirsium eatonii"
-105.750362,39.869297,"Cirsium eatonii"
-118.116667,36.283333,"Cirsium eatonii"
-105.886666,39.558777,"Cirsium eatonii"
-105.750891,39.600685,"Cirsium eatonii"
-115.57,40.11,"Cirsium eatonii"
-118.5963,42.647,"Cirsium eatonii"
-114.29,38.94,"Cirsium eatonii"
-111.796278,40.578158,"Cirsium eatonii"
-114.32,38.88,"Cirsium eatonii"
-111.671667,40.531111,"Cirsium eatonii"
-110,47,"Cirsium eatonii"
-110.13,44.46,"Cirsium eatonii"
-109.25,45.17,"Cirsium eatonii"
-118.61,42.7,"Cirsium eatonii"
-110.94,43.75,"Cirsium eatonii"
-118.6292,42.6893,"Cirsium eatonii"
-118.63,42.69,"Cirsium eatonii"
-118.6125,42.6676,"Cirsium eatonii"
-118.5899,42.7038,"Cirsium eatonii"
-118.58,42.73,"Cirsium eatonii"
-114.05,43.49,"Cirsium eatonii"
-115.38,40.61,"Cirsium eatonii"
-106.106697,39.333902,"Cirsium eatonii"
-111.900772,39.953009,"Cirsium eatonii"
-115.38,36.17,"Cirsium eatonii"
-118.5556,42.6029,"Cirsium eatonii"
-118.6742,42.1188,"Cirsium eatonii"
-111.39,41.55,"Cirsium eatonii"
-105.643152,39.586699,"Cirsium eatonii"
-111.828884,40.193375,"Cirsium eatonii"
-111.645755,40.390787,"Cirsium eatonii"
-118.4972,42.6186,"Cirsium eatonii"
-105,35,"Cirsium eatonii"
-105.684931,39.932807,"Cirsium eatonii"
-111.63,40.56,"Cirsium eatonii"
-105.1636,37.2286,"Cirsium eatonii"
-106.74388,38.62486,"Cirsium eatonii"
-105.7121,40.5922,"Cirsium eatonii"
0,13,"Cirsium eatonii"
-106.0617,39.3683,"Cirsium eatonii"
-105.8776,39.6548,"Cirsium eatonii"
-105.056,38.7638,"Cirsium eatonii"
-106.08483,38.98657,"Cirsium eatonii"
-105.6552,39.9304,"Cirsium eatonii"
-105.5803,40.5803,"Cirsium eatonii"
-105.9876,39.4116,"Cirsium eatonii"
-118.6053,42.4072,"Cirsium eatonii"
-115.566667,51.166667,"Cirsium eatonii"
-105.7538,40.4397,"Cirsium eatonii"
-106.5466,37.0841,"Cirsium eatonii"
-106.7556,39.0203,"Cirsium eatonii"
-105.072,38.8798,"Cirsium eatonii"
