"lon","lat","species.name"
-1.24,39.99,"Dianthus brachyanthus"
-0.24,40.56,"Dianthus brachyanthus"
-0.01,40.66,"Dianthus brachyanthus"
-0.31,40.43,"Dianthus brachyanthus"
-1,39.59,"Dianthus brachyanthus"
-0.3,40.42,"Dianthus brachyanthus"
-0.3,40.4,"Dianthus brachyanthus"
-0.27,40.31,"Dianthus brachyanthus"
-0.3,40.29,"Dianthus brachyanthus"
-0.27,40.32,"Dianthus brachyanthus"
-1.41,40.11,"Dianthus brachyanthus"
-0.31,40.45,"Dianthus brachyanthus"
-1.04,38.98,"Dianthus brachyanthus"
-0.38,40.27,"Dianthus brachyanthus"
-1.42,40.11,"Dianthus brachyanthus"
-1.04,38.97,"Dianthus brachyanthus"
-0.31,40.27,"Dianthus brachyanthus"
-5.150879,36.672671,"Dianthus brachyanthus"
-0.3,40.3,"Dianthus brachyanthus"
-1.44,40.14,"Dianthus brachyanthus"
-0.31,40.26,"Dianthus brachyanthus"
-1.44,40.15,"Dianthus brachyanthus"
-0.31,40.28,"Dianthus brachyanthus"
-1.39,40.12,"Dianthus brachyanthus"
-1.03,38.96,"Dianthus brachyanthus"
-5.009,36.7,"Dianthus brachyanthus"
-1.08,40.04,"Dianthus brachyanthus"
-0.303,38.705,"Dianthus brachyanthus"
-0.3,38.7,"Dianthus brachyanthus"
0.02,40.58,"Dianthus brachyanthus"
-0.005,40.58,"Dianthus brachyanthus"
-1.07,39.57,"Dianthus brachyanthus"
0.04,40.59,"Dianthus brachyanthus"
0.005,40.58,"Dianthus brachyanthus"
0.04,40.58,"Dianthus brachyanthus"
-7.85,31.19,"Dianthus brachyanthus"
-1.08,39.57,"Dianthus brachyanthus"
-1.07,39.56,"Dianthus brachyanthus"
-0.944,40.79,"Dianthus brachyanthus"
-4.98011688033103,43.1025604806136,"Dianthus brachyanthus"
-0.05,40.44,"Dianthus brachyanthus"
0.07,40.67,"Dianthus brachyanthus"
0.1,40.67,"Dianthus brachyanthus"
0.07,40.63,"Dianthus brachyanthus"
0.14,40.67,"Dianthus brachyanthus"
0.15,40.69,"Dianthus brachyanthus"
-0.12,40.5,"Dianthus brachyanthus"
-0.05,40.45,"Dianthus brachyanthus"
0.14,40.68,"Dianthus brachyanthus"
0.11,40.67,"Dianthus brachyanthus"
0.15,40.68,"Dianthus brachyanthus"
-0.13,40.5,"Dianthus brachyanthus"
0.15,40.67,"Dianthus brachyanthus"
-0.05,40.46,"Dianthus brachyanthus"
0.04,40.67,"Dianthus brachyanthus"
0.16,40.68,"Dianthus brachyanthus"
0.13,40.67,"Dianthus brachyanthus"
-0.4,40.24,"Dianthus brachyanthus"
-0.41,40.24,"Dianthus brachyanthus"
-0.79,39.31,"Dianthus brachyanthus"
-0.4,40.25,"Dianthus brachyanthus"
-0.81,39.31,"Dianthus brachyanthus"
-3.90276,36.9004,"Dianthus brachyanthus"
-0.8,39.31,"Dianthus brachyanthus"
-1.08,40.06,"Dianthus brachyanthus"
