"lon","lat","species.name"
-0.54301,42.52068,"Draba hispanica"
-0.48,38.76,"Draba hispanica"
-3.383709,37.094074,"Draba hispanica"
-0.99,39.52,"Draba hispanica"
-104.962197,39.732042,"Draba hispanica"
0.16,40.68,"Draba hispanica"
0.15,40.68,"Draba hispanica"
0.07,40.69,"Draba hispanica"
0.05,40.69,"Draba hispanica"
0.04,40.68,"Draba hispanica"
-1.11,40.06,"Draba hispanica"
-0.09,40.67,"Draba hispanica"
-1.08,40.07,"Draba hispanica"
-4.57,32.56,"Draba hispanica"
-5.00371,36.69599,"Draba hispanica"
-1.697,37.918,"Draba hispanica"
-0.53,38.66,"Draba hispanica"
-0.54,38.65,"Draba hispanica"
-1.08,40.05,"Draba hispanica"
-5.564,36.897,"Draba hispanica"
-0.08,40.67,"Draba hispanica"
-3.41,37.09,"Draba hispanica"
-3.815676,37.727759,"Draba hispanica"
-0.29,40.5,"Draba hispanica"
-3.763356,37.623026,"Draba hispanica"
-3.779781,37.628894,"Draba hispanica"
-3.827123,37.7306,"Draba hispanica"
-2.534028,37.269795,"Draba hispanica"
-2.52532,37.250209,"Draba hispanica"
-2.535998,37.270551,"Draba hispanica"
-3.932818,37.307392,"Draba hispanica"
-3.665127,37.382545,"Draba hispanica"
-1.58,40.413,"Draba hispanica"
0.09,40.7,"Draba hispanica"
-3.923952,37.321496,"Draba hispanica"
0.08,40.7,"Draba hispanica"
-7.84,31.18,"Draba hispanica"
-2.961432,37.786276,"Draba hispanica"
-2.821068,37.381963,"Draba hispanica"
-2.15,38.138,"Draba hispanica"
-3.514582,37.333682,"Draba hispanica"
-2.25,38.04,"Draba hispanica"
-3.431668,37.34154,"Draba hispanica"
-3.401016,37.347849,"Draba hispanica"
-2.612386,38.115019,"Draba hispanica"
-2.54156,38.159999,"Draba hispanica"
-2.544716,38.181038,"Draba hispanica"
-3.531514,37.331904,"Draba hispanica"
-3.452118,37.340373,"Draba hispanica"
-3.44071,37.341389,"Draba hispanica"
-3.500693,37.300697,"Draba hispanica"
-3.379476,37.181349,"Draba hispanica"
-3.373761,37.180809,"Draba hispanica"
-2.837033,36.905903,"Draba hispanica"
-2.850718,36.945297,"Draba hispanica"
-4.051504,36.912431,"Draba hispanica"
-2.909029,38.151252,"Draba hispanica"
-3.8135,36.849764,"Draba hispanica"
-4.016,36.911,"Draba hispanica"
-3.842949,36.859331,"Draba hispanica"
-1.1,40.07,"Draba hispanica"
-3.016435,37.792555,"Draba hispanica"
-3.843171,36.859077,"Draba hispanica"
-1.1,40.05,"Draba hispanica"
-3.813,36.85,"Draba hispanica"
-3.841524,36.858259,"Draba hispanica"
-1.1,40.08,"Draba hispanica"
-2.96584,37.860121,"Draba hispanica"
-2.15,38.13,"Draba hispanica"
-1.23,38.06,"Draba hispanica"
-2.848,36.943,"Draba hispanica"
-2.862677,37.341448,"Draba hispanica"
-2.833571,37.321372,"Draba hispanica"
-2.801362,37.358559,"Draba hispanica"
-2.829217,37.379767,"Draba hispanica"
