"lon","lat","species.name"
-120.569,48.3767,"Draba paysonii"
-117.185,45.188333,"Draba paysonii"
-119.868611,49.05,"Draba paysonii"
-118.501999,53.4854999990983,"Draba paysonii"
-118.520288,53.559334999099,"Draba paysonii"
-116.033333,50.783333,"Draba paysonii"
-116.25,50.333333,"Draba paysonii"
-115.25,50.416667,"Draba paysonii"
-115.9,50.616667,"Draba paysonii"
-125.1,52.816667,"Draba paysonii"
-114.7481,50.0106,"Draba paysonii"
-117.471092,52.9669519990934,"Draba paysonii"
-116.95,52.3,"Draba paysonii"
-148.683333,63.55,"Draba paysonii"
-114.976713,50.6554909990754,"Draba paysonii"
-124.85,52.7,"Draba paysonii"
-115.233333,52.916667,"Draba paysonii"
-115.933333,51.75,"Draba paysonii"
-116.583333,51.833333,"Draba paysonii"
-116.883333,52.116667,"Draba paysonii"
-117.3,52.266667,"Draba paysonii"
-117.3972,52.9129,"Draba paysonii"
-120.183333,49.033333,"Draba paysonii"
-115.75,52.333333,"Draba paysonii"
-115.0402,50.6155999990751,"Draba paysonii"
-120.6801,48.7414,"Draba paysonii"
-125.25,52.75,"Draba paysonii"
-125.266667,52.766667,"Draba paysonii"
-125.333333,52.75,"Draba paysonii"
-120.833333,49.016667,"Draba paysonii"
-120.2,49.033333,"Draba paysonii"
-125.283333,52.766667,"Draba paysonii"
-114.0811,49.1353,"Draba paysonii"
-114.0897,49.135,"Draba paysonii"
-115,50.6,"Draba paysonii"
-117.683333,52.7,"Draba paysonii"
-113.966667,49.1,"Draba paysonii"
-113.833333,49,"Draba paysonii"
-114.1,49.15,"Draba paysonii"
-114.3,49.283333,"Draba paysonii"
-114,49.033333,"Draba paysonii"
-114.133333,49.083333,"Draba paysonii"
-114.05,49.066667,"Draba paysonii"
-114.083333,49.166667,"Draba paysonii"
-113.933333,49.083333,"Draba paysonii"
-113.916667,49.1,"Draba paysonii"
-114,49.083333,"Draba paysonii"
-113.85,49.033333,"Draba paysonii"
-128.6,54.516667,"Draba paysonii"
-114.283333,49.35,"Draba paysonii"
-116.133333,51.466667,"Draba paysonii"
-115.766667,51.116667,"Draba paysonii"
-115.766667,51.033333,"Draba paysonii"
-114.983333,50.616667,"Draba paysonii"
-115.133333,50.916667,"Draba paysonii"
-114.05,49.05,"Draba paysonii"
-114.5,49.7,"Draba paysonii"
-114.936324,50.6082379990751,"Draba paysonii"
-117.9607,52.8588,"Draba paysonii"
-118.666667,53.516667,"Draba paysonii"
-118.584561,53.5000259990984,"Draba paysonii"
-115.733333,49.783333,"Draba paysonii"
-143.35,64.233333,"Draba paysonii"
-114.2,49.033333,"Draba paysonii"
-114.566667,49.366667,"Draba paysonii"
-114.166667,49.133333,"Draba paysonii"
-114.083333,49.016667,"Draba paysonii"
-114.55,49.166667,"Draba paysonii"
-114.416667,49.166667,"Draba paysonii"
-122.633333,51.066667,"Draba paysonii"
-114.533333,50.216667,"Draba paysonii"
-124.9,52.716667,"Draba paysonii"
-120.216667,49.066667,"Draba paysonii"
-122.083333,50.733333,"Draba paysonii"
-116.2,50.466667,"Draba paysonii"
-114,49,"Draba paysonii"
-121.25527,46.79466,"Draba paysonii"
-116.983333,51.033333,"Draba paysonii"
-121.666667,51.666667,"Draba paysonii"
-115.4279,51.2425,"Draba paysonii"
-113.8606,49.0393,"Draba paysonii"
