"lon","lat","species.name"
168.815819,-45.067614,"Dracophyllum muscoides"
168.948797,-44.873268,"Dracophyllum muscoides"
170.081534,-45.441245,"Dracophyllum muscoides"
169.411712,-44.99933,"Dracophyllum muscoides"
168.921769,-44.955537,"Dracophyllum muscoides"
169.914808,-44.649801,"Dracophyllum muscoides"
168.814329,-45.15227,"Dracophyllum muscoides"
168.856087,-45.121385,"Dracophyllum muscoides"
169.209366,-45.340804,"Dracophyllum muscoides"
168.903568,-44.474186,"Dracophyllum muscoides"
168.854027,-45.119871,"Dracophyllum muscoides"
170.116667,-45.383333,"Dracophyllum muscoides"
170.087335,-45.419303,"Dracophyllum muscoides"
169.211426,-44.848971,"Dracophyllum muscoides"
170.087757,-45.416799,"Dracophyllum muscoides"
169.11684,-44.923488,"Dracophyllum muscoides"
169.956975,-45.501872,"Dracophyllum muscoides"
170.5248,-44.3,"Dracophyllum muscoides"
174.107,-42.1604,"Dracophyllum muscoides"
168.691,-45.2973,"Dracophyllum muscoides"
170.315,-44.7794,"Dracophyllum muscoides"
168.766667,-45.416667,"Dracophyllum muscoides"
168.768,-45.4019,"Dracophyllum muscoides"
169.2,-45.333333,"Dracophyllum muscoides"
170.664,-43.823,"Dracophyllum muscoides"
169.928,-45.534,"Dracophyllum muscoides"
170.685,-44.375,"Dracophyllum muscoides"
170.802,-44.4367,"Dracophyllum muscoides"
170.796,-44.4312,"Dracophyllum muscoides"
170.523,-44.4959,"Dracophyllum muscoides"
170.486,-44.4669,"Dracophyllum muscoides"
166.7567,-45.8996,"Dracophyllum muscoides"
166.7553,-45.902,"Dracophyllum muscoides"
166.7555,-45.8995,"Dracophyllum muscoides"
166.8606,-45.8816,"Dracophyllum muscoides"
166.8273,-45.9149,"Dracophyllum muscoides"
166.8368,-45.9136,"Dracophyllum muscoides"
166.8618,-45.8546,"Dracophyllum muscoides"
166.8793,-45.8469,"Dracophyllum muscoides"
166.8665,-45.8547,"Dracophyllum muscoides"
166.8653,-45.8555,"Dracophyllum muscoides"
167.784,-47.0981,"Dracophyllum muscoides"
167.7496,-47.1162,"Dracophyllum muscoides"
167.837,-47.0359,"Dracophyllum muscoides"
167.5409,-47.2237,"Dracophyllum muscoides"
167.8313,-47.0591,"Dracophyllum muscoides"
167.5421,-47.2217,"Dracophyllum muscoides"
170.086,-45.4213,"Dracophyllum muscoides"
168.943,-44.9636,"Dracophyllum muscoides"
170.563,-44.2825,"Dracophyllum muscoides"
170.6006,-44.3034,"Dracophyllum muscoides"
170.5429,-44.3276,"Dracophyllum muscoides"
170.807,-44.4674,"Dracophyllum muscoides"
169.145,-44.8744,"Dracophyllum muscoides"
169.07231,-44.91514,"Dracophyllum muscoides"
168.922,-44.6325,"Dracophyllum muscoides"
169.168,-44.9202,"Dracophyllum muscoides"
169.687,-44.2606,"Dracophyllum muscoides"
168.95,-44.85,"Dracophyllum muscoides"
169.25,-44.266667,"Dracophyllum muscoides"
169.25,-45.416667,"Dracophyllum muscoides"
169.237,-45.4179,"Dracophyllum muscoides"
169.2,-45.383333,"Dracophyllum muscoides"
168.916667,-45.416667,"Dracophyllum muscoides"
168.916667,-44.916667,"Dracophyllum muscoides"
168.966667,-44.5,"Dracophyllum muscoides"
169.252,-45.5896,"Dracophyllum muscoides"
169.416,-45.5196,"Dracophyllum muscoides"
168.394,-45.4838,"Dracophyllum muscoides"
168.416667,-44.583333,"Dracophyllum muscoides"
169.775556,-44.225,"Dracophyllum muscoides"
168.9725,-44.503333,"Dracophyllum muscoides"
