"lon","lat","species.name"
99.867778,28.596944,"Dubyaea hispida"
85.866667,27.972222,"Dubyaea hispida"
89.341667,27.782433,"Dubyaea hispida"
87.8911,27.6658,"Dubyaea hispida"
94.7247,29.7786,"Dubyaea hispida"
94.6542,29.6114,"Dubyaea hispida"
94.6247,29.6189,"Dubyaea hispida"
94.6222,29.6161,"Dubyaea hispida"
85.99,28.1217,"Dubyaea hispida"
86.633889,27.8575,"Dubyaea hispida"
86.749444,27.834444,"Dubyaea hispida"
86.796667,27.855,"Dubyaea hispida"
86.621944,27.919167,"Dubyaea hispida"
80.2,30.23,"Dubyaea hispida"
80.2,30.33,"Dubyaea hispida"
85.369722,28.101667,"Dubyaea hispida"
85.57,28.22,"Dubyaea hispida"
99.75,28.316667,"Dubyaea hispida"
94.95,29.58,"Dubyaea hispida"
95,29.58,"Dubyaea hispida"
87.22,27.93,"Dubyaea hispida"
87.13,27.98,"Dubyaea hispida"
101.279419,27.928607,"Dubyaea hispida"
100.298406,29.037008,"Dubyaea hispida"
87.5,27.25,"Dubyaea hispida"
103.248771,27.696857,"Dubyaea hispida"
86.716667,27.816667,"Dubyaea hispida"
99.706013,27.82308,"Dubyaea hispida"
100.1,27.39,"Dubyaea hispida"
100.229945,26.876096,"Dubyaea hispida"
98.76,27.97,"Dubyaea hispida"
89.17,27.75,"Dubyaea hispida"
98.66582,27.740736,"Dubyaea hispida"
98.911543,28.48611,"Dubyaea hispida"
0,0,"Dubyaea hispida"
97.466916,28.661276,"Dubyaea hispida"
99.28717,27.177166,"Dubyaea hispida"
100.18,27.11,"Dubyaea hispida"
100.71,28.15,"Dubyaea hispida"
100.38,28.37,"Dubyaea hispida"
98.93,27.5,"Dubyaea hispida"
102.93,29.65,"Dubyaea hispida"
80.2,30.3,"Dubyaea hispida"
80,30.27,"Dubyaea hispida"
83.67,28.72,"Dubyaea hispida"
88.5,27.83,"Dubyaea hispida"
87.2,27,"Dubyaea hispida"
94.63,29.58,"Dubyaea hispida"
89.58,28.02,"Dubyaea hispida"
83.97,29.22,"Dubyaea hispida"
82.95,28.83,"Dubyaea hispida"
86.83,28.08,"Dubyaea hispida"
97.33,28.17,"Dubyaea hispida"
83.93855,28.25301,"Dubyaea hispida"
87.92,27.63,"Dubyaea hispida"
78.85,30.92,"Dubyaea hispida"
