"lon","lat","species.name"
91.4303,29.7008,"Elsholtzia eriostachya"
86.617778,27.821667,"Elsholtzia eriostachya"
96.6053,31.1842,"Elsholtzia eriostachya"
76.67,34.53,"Elsholtzia eriostachya"
83.733333,28.85,"Elsholtzia eriostachya"
76.69,34.54,"Elsholtzia eriostachya"
76.84,34.46,"Elsholtzia eriostachya"
83.875,29.091667,"Elsholtzia eriostachya"
76.7,34.54,"Elsholtzia eriostachya"
83.89775,28.87575,"Elsholtzia eriostachya"
78.38,32.98,"Elsholtzia eriostachya"
77.61,34.22,"Elsholtzia eriostachya"
78.28,33.04,"Elsholtzia eriostachya"
77.61,34.23,"Elsholtzia eriostachya"
78.1,32.83,"Elsholtzia eriostachya"
78.28,33.17,"Elsholtzia eriostachya"
77.54,34.08,"Elsholtzia eriostachya"
78.36,32.98,"Elsholtzia eriostachya"
78.3,33.2,"Elsholtzia eriostachya"
78.2,33.44,"Elsholtzia eriostachya"
77.61,34.24,"Elsholtzia eriostachya"
78.34,32.98,"Elsholtzia eriostachya"
96.8942,29.3769,"Elsholtzia eriostachya"
78.34,33.26,"Elsholtzia eriostachya"
78.26,32.96,"Elsholtzia eriostachya"
78.22,32.78,"Elsholtzia eriostachya"
78.28,32.88,"Elsholtzia eriostachya"
77.92,33.08,"Elsholtzia eriostachya"
78.18,32.81,"Elsholtzia eriostachya"
78.3,33.07,"Elsholtzia eriostachya"
78.09,32.9,"Elsholtzia eriostachya"
77.87,33.12,"Elsholtzia eriostachya"
78.25,33.12,"Elsholtzia eriostachya"
78.43,33.04,"Elsholtzia eriostachya"
78.35,33.21,"Elsholtzia eriostachya"
78.4,33.05,"Elsholtzia eriostachya"
78.24,33.13,"Elsholtzia eriostachya"
78.26,32.75,"Elsholtzia eriostachya"
78.26,33.12,"Elsholtzia eriostachya"
78.23,33.12,"Elsholtzia eriostachya"
78.35,33.17,"Elsholtzia eriostachya"
78.32,33.05,"Elsholtzia eriostachya"
78.29,33.11,"Elsholtzia eriostachya"
78.17,33.12,"Elsholtzia eriostachya"
77.89,33.23,"Elsholtzia eriostachya"
