"lon","lat","species.name"
74.03,38.33,"Elymus nutans"
86.607778,27.94,"Elymus nutans"
86.613333,27.862778,"Elymus nutans"
98.8025,28.53861,"Elymus nutans"
76.76,34.38,"Elymus nutans"
72.78,38.68,"Elymus nutans"
73.58,38.55,"Elymus nutans"
74.8,36.68,"Elymus nutans"
74.77,36.58,"Elymus nutans"
77.58,34.17,"Elymus nutans"
77.65,34.13,"Elymus nutans"
90.349167,27.475556,"Elymus nutans"
90.278333,27.524167,"Elymus nutans"
90.278333,27.495556,"Elymus nutans"
74.37,36.82,"Elymus nutans"
75.2,38.9,"Elymus nutans"
99.8,35.5,"Elymus nutans"
74.37,36.78,"Elymus nutans"
99,35.27,"Elymus nutans"
74.85,36.48,"Elymus nutans"
74.6,36.82,"Elymus nutans"
100.149,29.3858,"Elymus nutans"
99.67,34.75,"Elymus nutans"
77.51,33.8,"Elymus nutans"
97.92,34.32,"Elymus nutans"
98.12,34.72,"Elymus nutans"
75.17,38.95,"Elymus nutans"
72.55,36.5,"Elymus nutans"
99.676111,34.716111,"Elymus nutans"
72.13,36.33,"Elymus nutans"
88.545556,27.894167,"Elymus nutans"
103.891767,36.519977,"Elymus nutans"
99.87,27.48,"Elymus nutans"
96.855,33.0464,"Elymus nutans"
97.05,33.75,"Elymus nutans"
97.3275,32.9183,"Elymus nutans"
97.3472,32.7464,"Elymus nutans"
97.2706,32.1431,"Elymus nutans"
96.4883,31.8331,"Elymus nutans"
83.9,28.1,"Elymus nutans"
85.57,28.22,"Elymus nutans"
89.683333,28.083333,"Elymus nutans"
92.5,28.58,"Elymus nutans"
97.25,30.33,"Elymus nutans"
92.38,28.4,"Elymus nutans"
95.63,31.4,"Elymus nutans"
97.08,30.65,"Elymus nutans"
97.28,30.17,"Elymus nutans"
98.15,29.58,"Elymus nutans"
90.45,28.67,"Elymus nutans"
90.77,28.37,"Elymus nutans"
93.22,28.97,"Elymus nutans"
93.22,28.95,"Elymus nutans"
99.12,31.87,"Elymus nutans"
90.98,29.73,"Elymus nutans"
97.47,31.25,"Elymus nutans"
92.77,29.92,"Elymus nutans"
91.05,29.65,"Elymus nutans"
102.93,30.92,"Elymus nutans"
98.22,36.47,"Elymus nutans"
101.32,36.92,"Elymus nutans"
99.92,36.68,"Elymus nutans"
100.611,34.6489,"Elymus nutans"
100.77,36.52,"Elymus nutans"
101.08,36.42,"Elymus nutans"
94.33,35.77,"Elymus nutans"
100.627,34.6583,"Elymus nutans"
98.8606,35.0228,"Elymus nutans"
84.78,29.57,"Elymus nutans"
98.9825,35.2617,"Elymus nutans"
89.72,31.53,"Elymus nutans"
99.6758,33.8425,"Elymus nutans"
86.88,29.32,"Elymus nutans"
99.4311,33.6939,"Elymus nutans"
102.6,32.95,"Elymus nutans"
74.72,35.25,"Elymus nutans"
76.95,36.85,"Elymus nutans"
88.19,27.56,"Elymus nutans"
77.75,36.42,"Elymus nutans"
75.23,37.78,"Elymus nutans"
75.38,37.17,"Elymus nutans"
102.860833,37.254722,"Elymus nutans"
96,37.283333,"Elymus nutans"
