"lon","lat","species.name"
14.506489,67.334351,"Kobresia myosuroides"
19.670832,69.715633,"Kobresia myosuroides"
18.41973,68.529134,"Kobresia myosuroides"
18.219505,68.403681,"Kobresia myosuroides"
8.747893,61.711346,"Kobresia myosuroides"
13.04,47.57,"Kobresia myosuroides"
15.556791,67.599448,"Kobresia myosuroides"
18.515275,68.419593,"Kobresia myosuroides"
8.913902,61.547198,"Kobresia myosuroides"
18.448719,68.525599,"Kobresia myosuroides"
8.760622,61.710924,"Kobresia myosuroides"
13.05,47.57,"Kobresia myosuroides"
15.785097,66.989047,"Kobresia myosuroides"
8.101492,61.643726,"Kobresia myosuroides"
16.770172,67.324359,"Kobresia myosuroides"
18.266577,68.406402,"Kobresia myosuroides"
9.605362,62.297901,"Kobresia myosuroides"
18.515572,68.420858,"Kobresia myosuroides"
9.67426,62.47296,"Kobresia myosuroides"
9.79039,62.4183,"Kobresia myosuroides"
14.697884,66.672191,"Kobresia myosuroides"
18.517171,68.420858,"Kobresia myosuroides"
9.67355,62.47325,"Kobresia myosuroides"
9.810142,62.274301,"Kobresia myosuroides"
8.932093,61.5871,"Kobresia myosuroides"
8.854658,61.528901,"Kobresia myosuroides"
6.86302,44.64019,"Kobresia myosuroides"
6.73451,44.81981,"Kobresia myosuroides"
8.988112,61.794136,"Kobresia myosuroides"
6.81348,44.61861,"Kobresia myosuroides"
6.40473,45.06497,"Kobresia myosuroides"
14.491748,67.335425,"Kobresia myosuroides"
6.73352,44.82,"Kobresia myosuroides"
7.01895,45.48457,"Kobresia myosuroides"
8.957344,61.96265,"Kobresia myosuroides"
8.8952,62.44031,"Kobresia myosuroides"
8.92704,62.46692,"Kobresia myosuroides"
16.07943,67.428028,"Kobresia myosuroides"
8.90635,62.44208,"Kobresia myosuroides"
8.88652,62.43424,"Kobresia myosuroides"
14.852745,66.775129,"Kobresia myosuroides"
20.425273,69.24457,"Kobresia myosuroides"
8.93175,62.4681,"Kobresia myosuroides"
8.92516,62.45906,"Kobresia myosuroides"
8.89774,62.43248,"Kobresia myosuroides"
8.951487,61.957895,"Kobresia myosuroides"
8.89648,62.42875,"Kobresia myosuroides"
8.91982,62.45434,"Kobresia myosuroides"
8.89592,62.43127,"Kobresia myosuroides"
8.90182,62.44491,"Kobresia myosuroides"
8.92731,62.46716,"Kobresia myosuroides"
8.92107,62.45591,"Kobresia myosuroides"
20.789369,69.167468,"Kobresia myosuroides"
9.540401,62.214803,"Kobresia myosuroides"
9.636686,62.273975,"Kobresia myosuroides"
8.90114,62.43629,"Kobresia myosuroides"
20.430259,69.241559,"Kobresia myosuroides"
-107.411215,38.07149,"Kobresia myosuroides"
8.91471,62.45092,"Kobresia myosuroides"
8.89714,62.42779,"Kobresia myosuroides"
8.921978,61.576455,"Kobresia myosuroides"
14.620081,67.282464,"Kobresia myosuroides"
13.89621,67.396923,"Kobresia myosuroides"
16.332234,67.533362,"Kobresia myosuroides"
14.410046,66.974684,"Kobresia myosuroides"
18.268382,68.136024,"Kobresia myosuroides"
18.5147,68.422351,"Kobresia myosuroides"
18.509319,68.41689,"Kobresia myosuroides"
16.22387,66.861225,"Kobresia myosuroides"
18.157216,68.21775,"Kobresia myosuroides"
14.930063,66.988222,"Kobresia myosuroides"
16.328542,67.547028,"Kobresia myosuroides"
18.26125,68.125992,"Kobresia myosuroides"
8.803481,61.482951,"Kobresia myosuroides"
8.936099,61.691641,"Kobresia myosuroides"
15.005674,66.759587,"Kobresia myosuroides"
16.091692,66.446631,"Kobresia myosuroides"
8.849753,61.81184,"Kobresia myosuroides"
14.931779,66.79115,"Kobresia myosuroides"
7.527014,60.603572,"Kobresia myosuroides"
8.079879,61.644059,"Kobresia myosuroides"
15.008657,66.822562,"Kobresia myosuroides"
18.518087,68.419497,"Kobresia myosuroides"
16.147882,66.883602,"Kobresia myosuroides"
14.716641,67.069179,"Kobresia myosuroides"
14.987941,66.800313,"Kobresia myosuroides"
15.000913,66.791702,"Kobresia myosuroides"
14.039994,66.77374,"Kobresia myosuroides"
14.550004,66.715168,"Kobresia myosuroides"
14.556723,66.719673,"Kobresia myosuroides"
13.7,46.9,"Kobresia myosuroides"
18.555142,68.513553,"Kobresia myosuroides"
13.8,46.9,"Kobresia myosuroides"
14.03756,66.773099,"Kobresia myosuroides"
10.795603,63.181982,"Kobresia myosuroides"
-107.12588,37.94451,"Kobresia myosuroides"
16.70623,67.319493,"Kobresia myosuroides"
12.8,47.1,"Kobresia myosuroides"
10.566919,61.20481,"Kobresia myosuroides"
15.00023,66.893429,"Kobresia myosuroides"
12.313356,47.010284,"Kobresia myosuroides"
14.533627,67.349156,"Kobresia myosuroides"
14.994553,66.73402,"Kobresia myosuroides"
16.288657,66.971276,"Kobresia myosuroides"
12.95,47.49,"Kobresia myosuroides"
9.604311,62.301981,"Kobresia myosuroides"
16.252455,66.965139,"Kobresia myosuroides"
14.167807,66.779471,"Kobresia myosuroides"
18.809267,68.176574,"Kobresia myosuroides"
-142.57,62.466,"Kobresia myosuroides"
8.921025,62.032883,"Kobresia myosuroides"
9.621083,62.064437,"Kobresia myosuroides"
18.68273,68.158036,"Kobresia myosuroides"
18.207207,68.392023,"Kobresia myosuroides"
18.630035,68.171812,"Kobresia myosuroides"
9.847377,62.253485,"Kobresia myosuroides"
7.550475,60.607897,"Kobresia myosuroides"
18.161555,68.211759,"Kobresia myosuroides"
18.618806,68.166494,"Kobresia myosuroides"
9.518154,62.227469,"Kobresia myosuroides"
18.62566,68.171321,"Kobresia myosuroides"
18.157207,68.217746,"Kobresia myosuroides"
8.944022,62.04273,"Kobresia myosuroides"
14.374949,66.976255,"Kobresia myosuroides"
14.410235,66.9763,"Kobresia myosuroides"
9.690524,62.191542,"Kobresia myosuroides"
9.745298,62.184364,"Kobresia myosuroides"
-117.37635,52.98685,"Kobresia myosuroides"
16.712581,67.324605,"Kobresia myosuroides"
9.818469,62.273658,"Kobresia myosuroides"
8.855412,61.734411,"Kobresia myosuroides"
16.679011,67.268156,"Kobresia myosuroides"
16.534202,67.235653,"Kobresia myosuroides"
10.001869,62.380681,"Kobresia myosuroides"
16.597561,67.233901,"Kobresia myosuroides"
14.336438,67.085326,"Kobresia myosuroides"
16.603283,67.240509,"Kobresia myosuroides"
9.999713,62.379936,"Kobresia myosuroides"
16.709931,67.321086,"Kobresia myosuroides"
16.70596,67.31987,"Kobresia myosuroides"
25.475,45.40667,"Kobresia myosuroides"
16.741507,67.288357,"Kobresia myosuroides"
16.646555,67.2828,"Kobresia myosuroides"
9.112726,61.956747,"Kobresia myosuroides"
9.71422,62.421283,"Kobresia myosuroides"
-148.949997,63.849998,"Kobresia myosuroides"
16.738533,67.29178,"Kobresia myosuroides"
16.701621,67.334763,"Kobresia myosuroides"
16.714728,67.323095,"Kobresia myosuroides"
16.701163,67.307633,"Kobresia myosuroides"
11.042833,46.8355,"Kobresia myosuroides"
16.668779,67.261976,"Kobresia myosuroides"
9.996947,62.382534,"Kobresia myosuroides"
16.700552,67.289987,"Kobresia myosuroides"
16.594857,67.232712,"Kobresia myosuroides"
16.70234,67.306306,"Kobresia myosuroides"
7.575,46.113333,"Kobresia myosuroides"
-4.83258955264434,43.1767068158287,"Kobresia myosuroides"
-105.63985,39.59795,"Kobresia myosuroides"
-105.713946,39.5973139990732,"Kobresia myosuroides"
8.745656,61.674311,"Kobresia myosuroides"
6.982333,44.912333,"Kobresia myosuroides"
-4.84617415838829,43.1449099360351,"Kobresia myosuroides"
9.809468,62.278819,"Kobresia myosuroides"
