"lon","lat","species.name"
-77.7715,-7.078389,"Ephedra americana"
-77.812,-7.071361,"Ephedra americana"
-78.476,-0.628583,"Ephedra americana"
-79.016667,-8.116667,"Ephedra americana"
-77.852767,-7.007833,"Ephedra americana"
-79.833333,-6.766667,"Ephedra americana"
-65.830833,-26.232778,"Ephedra americana"
0,0,"Ephedra americana"
-64.915278,-21.1175,"Ephedra americana"
-64.9135,-21.117137,"Ephedra americana"
-78.816667,-1.583333,"Ephedra americana"
-66.383611,-17.462194,"Ephedra americana"
-64.57305,-21.90333,"Ephedra americana"
-66.22,-17.286667,"Ephedra americana"
-65.18083,-17.73972,"Ephedra americana"
-66.13694,-17.32166,"Ephedra americana"
-71.73583,-13.63166,"Ephedra americana"
-78.86666,-1.46666,"Ephedra americana"
-79.205,-2.785833,"Ephedra americana"
-71.93333,-13.48333,"Ephedra americana"
-65.35,-23.56666,"Ephedra americana"
-65.034444,-22.236667,"Ephedra americana"
-79.30472,-2.79888,"Ephedra americana"
-78.3758,-7.2544,"Ephedra americana"
-78.37583,-7.25444,"Ephedra americana"
-78.42,-0.1,"Ephedra americana"
-65.1911,-17.7353,"Ephedra americana"
-64.58333,-18.33333,"Ephedra americana"
-77.83722,-6.57027,"Ephedra americana"
-77.92,-6.05,"Ephedra americana"
-78.16666,-0.48333,"Ephedra americana"
-65.35,-23.483333,"Ephedra americana"
-65.35,-23.48333,"Ephedra americana"
-77.824444,-9.007222,"Ephedra americana"
-79.33,-3.95,"Ephedra americana"
-66.132222,-17.3775,"Ephedra americana"
-71.323056,-29.781389,"Ephedra americana"
-64.66222,-18.055,"Ephedra americana"
-65.25,-22.83333,"Ephedra americana"
-78,0.43333,"Ephedra americana"
-71.66666,-13.41666,"Ephedra americana"
-64.662222,-18.055,"Ephedra americana"
-73.67,-16.22,"Ephedra americana"
-65.683333,-18.083333,"Ephedra americana"
-78.3667,0.3,"Ephedra americana"
-78.36666,0.3,"Ephedra americana"
-78.31666,-0.01666,"Ephedra americana"
-72.41666,-13.83333,"Ephedra americana"
-71.17,-35.5,"Ephedra americana"
-71.166667,-35.5,"Ephedra americana"
-77.98333,0.43333,"Ephedra americana"
-72.065278,-13.354167,"Ephedra americana"
