"lon","lat","species.name"
171.668372,-43.314812,"Epilobium pycnostachyum"
171.669445,-43.31731,"Epilobium pycnostachyum"
169.564791,-44.429446,"Epilobium pycnostachyum"
171.532116,-42.896223,"Epilobium pycnostachyum"
172.725433,-41.99197,"Epilobium pycnostachyum"
171.733433,-43.257777,"Epilobium pycnostachyum"
171.649165,-43.309512,"Epilobium pycnostachyum"
171.65,-43.21,"Epilobium pycnostachyum"
171.646106,-43.308695,"Epilobium pycnostachyum"
168.133333,-45.283333,"Epilobium pycnostachyum"
171.690924,-43.124846,"Epilobium pycnostachyum"
171.539376,-42.963629,"Epilobium pycnostachyum"
172.776505,-42.191161,"Epilobium pycnostachyum"
172.744485,-42.206961,"Epilobium pycnostachyum"
172.850862,-41.871542,"Epilobium pycnostachyum"
172.800865,-42.166171,"Epilobium pycnostachyum"
173.60228,-42.167327,"Epilobium pycnostachyum"
173.413957,-42.095545,"Epilobium pycnostachyum"
173.601944,-42.168611,"Epilobium pycnostachyum"
173.138266,-42.457028,"Epilobium pycnostachyum"
171.692145,-43.127262,"Epilobium pycnostachyum"
172.687394,-42.318982,"Epilobium pycnostachyum"
173.22039,-42.245113,"Epilobium pycnostachyum"
173.730626,-42.190379,"Epilobium pycnostachyum"
171.061965,-43.513788,"Epilobium pycnostachyum"
172.794677,-42.172455,"Epilobium pycnostachyum"
171.422925,-43.238441,"Epilobium pycnostachyum"
169.719629,-44.201774,"Epilobium pycnostachyum"
171.531558,-42.896827,"Epilobium pycnostachyum"
170.537,-44.3265,"Epilobium pycnostachyum"
172.604259,-41.146135,"Epilobium pycnostachyum"
172.9,-42.066667,"Epilobium pycnostachyum"
169.8,-44.183333,"Epilobium pycnostachyum"
171.75,-43.033333,"Epilobium pycnostachyum"
171.65,-43.266667,"Epilobium pycnostachyum"
171.733333,-43.283333,"Epilobium pycnostachyum"
167.859,-45.7052,"Epilobium pycnostachyum"
173.6,-42.3,"Epilobium pycnostachyum"
170.0882,-43.8073,"Epilobium pycnostachyum"
171.1386,-43.162,"Epilobium pycnostachyum"
172.428,-42.2596,"Epilobium pycnostachyum"
170.061,-44.9336,"Epilobium pycnostachyum"
169.693,-44.1729,"Epilobium pycnostachyum"
171.176,-43.8621,"Epilobium pycnostachyum"
171.743,-43.2957,"Epilobium pycnostachyum"
171.1982,-42.9391,"Epilobium pycnostachyum"
171.583333,-42.916667,"Epilobium pycnostachyum"
172.916667,-40.916667,"Epilobium pycnostachyum"
176.295,-39.2838,"Epilobium pycnostachyum"
171.5824,-42.9123,"Epilobium pycnostachyum"
175.85,-39.233333,"Epilobium pycnostachyum"
176.146722,-39.956083,"Epilobium pycnostachyum"
170.916667,-42.916667,"Epilobium pycnostachyum"
172.75,-42.25,"Epilobium pycnostachyum"
171.816667,-43.25,"Epilobium pycnostachyum"
176.183333,-39.716667,"Epilobium pycnostachyum"
172.8,-42.166667,"Epilobium pycnostachyum"
169.416667,-46.583333,"Epilobium pycnostachyum"
173.597222,-42.323056,"Epilobium pycnostachyum"
172.916667,-42.583333,"Epilobium pycnostachyum"
173.583333,-34.783333,"Epilobium pycnostachyum"
171.666667,-43.15,"Epilobium pycnostachyum"
169.799167,-44.185,"Epilobium pycnostachyum"
173.15,-42.55,"Epilobium pycnostachyum"
