"lon","lat","species.name"
11.040923,59.423621,"Canis lupus"
12.160982,60.750384,"Gulo gulo"
11.934844,60.889558,"Canis lupus"
9.797684,62.783474,"Gulo gulo"
9.191289,59.21408,"Lynx lynx"
12.714927,64.458964,"Lynx lynx"
10.539313,59.678025,"Trametes ochracea"
10.439708,59.353856,"Daedaleopsis confragosa"
10.148223,60.115242,"Meruliopsis taxicola"
10.510343,59.31273,"Crepidotus cesatii"
10.428165,59.200489,"Exidia recisa"
10.508735,59.999102,"Phellinidium ferrugineofuscum"
5.674568,58.958539,"Daedaleopsis confragosa"
10.028397,59.100622,"Plicatura crispa"
9.950495,59.010594,"Stereum sanguinolentum"
5.717606,58.950228,"Plicatura crispa"
10.353515,59.230025,"Ceriporia purpurea"
10.355195,59.232433,"Bjerkandera adusta"
11.677389,59.632406,"Stereum rugosum"
11.113328,59.684279,"Osmerus eperlanus"
9.239307,58.721937,"Asterias rubens"
5.616546,58.93627,"Silometopus ambiguus"
10.686323,59.851951,"Littorina littorea"
5.673723,58.793269,"Bembidion quadrimaculatum"
5.617965,58.801981,"Neriene clathrata"
10.624932,59.682138,"Membranipora membranacea"
9.221647,58.712934,"Opilio canestrinii"
5.658758,59.102961,"Clubiona comta"
5.479247,59.79045,"Notioscopus sarcinatus"
10.653606,59.599479,"Crassostrea gigas"
10.653606,59.599479,"Metridium senile"
10.45816,59.446231,"Folsomia quadrioculata"
23.532402,70.021988,"Alces alces"
11.359008,63.746044,"Alces alces"
15.519528,68.103692,"Alces alces"
8.777421,58.460877,"Phoca vitulina"
15.613205,68.084874,"Alces alces"
10.265848,59.168828,"Sciurus vulgaris"
14.549851,68.24002,"Lutra lutra"
10.82054,60.737224,"Lepus timidus"
10.829811,59.970954,"Lepus timidus"
10.091333,63.537966,"Martes martes"
15.391411,67.086369,"Lutra lutra"
5.126407,59.786251,"Rattus norvegicus"
8.907039,62.503698,"Martes martes"
12.279126,60.640668,"Capreolus capreolus"
11.187619,60.401602,"Sciurus vulgaris"
11.862361,60.866361,"Lepus timidus"
10.665688,59.939237,"Capreolus capreolus"
8.204403,62.922251,"Sciurus vulgaris"
6.000297,58.454218,"Phoca vitulina"
9.947638,63.580478,"Lutra lutra"
6.894022,58.387352,"Mustela erminea"
7.90963,58.071688,"Neovison vison"
10.952682,59.441705,"Alces alces"
10.005885,63.597488,"Lutra lutra"
10.943097,59.5937,"Pinus sylvestris"
4.882272,59.308613,"Polypodium vulgare"
8.293678,62.921188,"Veronica officinalis"
6.645512,58.296073,"Frangula alnus"
9.983714,59.765396,"Galium album"
10.693078,59.514373,"Luzula pilosa"
11.004299,59.659798,"Chrysanthemum vulgare"
10.990402,59.648402,"Anthriscus sylvestris"
10.77071,61.095268,"Picea abies"
10.445197,59.353627,"Quercus robur"
10.644102,59.433401,"Acer platanoides"
10.379485,59.278525,"Phragmites australis"
10.632298,59.4514,"Arenaria serpyllifolia"
10.635604,59.447099,"Acer platanoides"
10.631499,59.4515,"Bromus inermis"
10.694264,59.513279,"Juncus tenuis"
11.386065,60.216117,"Pinus sylvestris"
10.792198,59.668001,"Vaccinium uliginosum"
10.713703,59.716399,"Galeopsis tetrahit"
10.713102,59.716399,"Vicia sepium"
10.715599,59.716702,"Anthriscus sylvestris"
10.713703,59.716399,"Calystegia sepium"
10.712203,59.717699,"Fragaria vesca"
10.726801,59.719501,"Ribes uva-crispa"
8.181074,62.911646,"Acer pseudoplatanus"
5.40228,61.365093,"Reynoutria japonica"
5.38611,61.360374,"Reynoutria japonica"
19.092829,69.718361,"Anthriscus sylvestris"
9.96962,59.199569,"Dryopteris filix-mas"
8.717916,58.418105,"Viburnum opulus"
5.700969,58.786143,"Rubus idaeus"
10.698459,59.778502,"Chrysanthemum vulgare"
10.698459,59.778502,"Stellaria media"
10.698459,59.778502,"Anthoxanthum odoratum"
7.673849,62.777557,"Picea abies"
7.672735,62.77669,"Sorbus aucuparia"
7.671325,62.776267,"Sorbus aucuparia"
7.67146,62.775342,"Pinus sylvestris"
7.672457,62.77415,"Pinus sylvestris"
7.672268,62.774002,"Vaccinium uliginosum"
10.958404,59.588699,"Juncus filiformis"
10.958404,59.588699,"Eriophorum vaginatum"
10.704235,59.784737,"Linnaea borealis"
18.981402,69.707404,"Ligusticum scoticum"
5.536164,59.314252,"Thuja plicata"
6.0796,58.988256,"Oxalis acetosella"
6.079573,58.987446,"Juncus effusus"
10.6617,59.3469,"Tripolium pannonicum"
9.05447,58.718425,"Prunus padus"
9.110624,58.712211,"Fragaria vesca"
10.658601,59.344399,"Sedum acre"
10.76718,61.095112,"Usnea longissima"
10.847498,59.638201,"Physcia caesia"
10.623225,59.685099,"Lasallia pustulata"
10.316073,61.119973,"Alectoria sarmentosa"
10.311995,61.120785,"Bryoria nadvornikiana"
11.763591,59.307177,"Thelotrema lepadinum"
7.672134,62.776435,"Lobaria pulmonaria"
7.671379,62.776185,"Lobaria pulmonaria"
5.896793,58.486115,"Fuscidea kochiana"
5.897691,58.484049,"Parmelia sulcata"
5.897575,58.484232,"Ramalina farinacea"
5.897072,58.48419,"Parmelia sulcata"
11.769583,59.308429,"Vulpicida pinastri"
10.946502,59.588298,"Stereocaulon subcoralloides"
5.895491,58.484195,"Parmelia omphalodes"
10.658996,59.3451,"Cetraria islandica"
10.943097,59.5937,"Ptilidium ciliare"
4.882272,59.308613,"Metzgeria conjugata"
10.446769,59.453149,"Grimmia ovalis"
10.991202,59.648102,"Cirriphyllum piliferum"
10.990402,59.648402,"Amphidium mougeotii"
6.647021,58.283588,"Campylopus flexuosus"
6.647794,58.233943,"Grimmia trichophylla"
6.645871,58.236889,"Antitrichia curtipendula"
6.645871,58.236889,"Dicranum spurium"
5.714112,58.933803,"Polytrichum commune"
10.791497,59.668201,"Sphagnum riparium"
8.188027,62.912174,"Radula complanata"
10.726801,59.719501,"Isothecium myosuroides"
10.7845,59.668799,"Tetraphis pellucida"
6.649069,58.276896,"Hylocomium splendens"
10.698459,59.778502,"Hylocomium splendens"
10.470305,59.94249,"Barbilophozia barbata"
10.431659,59.441988,"Grimmia ovalis"
10.693015,59.513115,"Ulota crispa"
6.079178,58.987404,"Bazzania trilobata"
6.443095,58.263431,"Sphagnum quinquefarium"
6.442277,58.26449,"Racomitrium lanuginosum"
10.713398,59.775205,"Fucus vesiculosus"
10.713398,59.775205,"Ulva lactuca"
6.647794,58.233943,"Polysiphonia fucoides"
6.442277,58.26449,"Ulva lactuca"
18.979453,69.731386,"Ardea cinerea"
5.73259,58.968113,"Larus argentatus"
11.187044,60.776422,"Dendrocopos major"
5.974246,59.954024,"Tachybaptus ruficollis"
19.450933,69.241323,"Parus major"
6.009855,58.435014,"Pica pica"
8.722102,63.411297,"Dendrocopos major"
10.811988,63.491851,"Parus major"
10.811988,63.491851,"Cyanistes caeruleus"
5.571127,58.759942,"Coloeus monedula"
10.322999,59.123832,"Mergus merganser"
5.731773,58.876186,"Streptopelia decaocto"
5.351282,60.350941,"Ardea cinerea"
10.893627,60.662687,"Nucifraga caryocatactes"
5.298012,59.379649,"Anas platyrhynchos"
5.984945,58.448789,"Cygnus olor"
10.976568,63.481401,"Corvus cornix"
10.468841,61.131486,"Passer domesticus"
7.981711,58.172888,"Corvus cornix"
9.084663,63.300834,"Fringilla coelebs"
8.028334,58.145529,"Larus canus"
13.414228,66.692363,"Larus argentatus"
8.23367,58.16943,"Sitta europaea"
10.944813,59.174242,"Ardea cinerea"
10.924044,59.203249,"Circus cyaneus"
6.753436,61.418493,"Scolopax rusticola"
13.414228,66.692363,"Turdus pilaris"
6.753436,61.418493,"Cinclus cinclus"
11.406646,63.85473,"Cyanistes caeruleus"
11.388958,63.844943,"Pica pica"
5.373578,60.367224,"Corvus cornix"
11.120308,60.772654,"Parus major"
9.841933,59.696868,"Aegithalos caudatus"
10.811988,63.491851,"Pica pica"
10.770396,59.918977,"Chloris chloris"
10.770396,59.918977,"Turdus merula"
10.770396,59.918977,"Fringilla coelebs"
5.87677,59.730864,"Chloris chloris"
5.87677,59.730864,"Sitta europaea"
9.562234,59.209145,"Turdus merula"
5.905543,59.732766,"Mergus serrator"
13.733229,66.270762,"Bucephala clangula"
5.87677,59.730864,"Regulus regulus"
5.905543,59.732766,"Anas platyrhynchos"
5.730416,58.820822,"Anser anser"
14.613353,67.231541,"Ardea cinerea"
8.190857,62.947331,"Cygnus cygnus"
5.730416,58.820822,"Parus major"
7.98393,63.09213,"Melanitta nigra"
6.632334,61.172705,"Bucephala clangula"
5.32833,60.383694,"Turdus pilaris"
8.020195,63.027972,"Cygnus cygnus"
6.583834,61.089145,"Mergus merganser"
8.067356,58.149488,"Pica pica"
14.730098,67.30242,"Anas platyrhynchos"
10.437983,59.063563,"Anas platyrhynchos"
10.433402,59.269883,"Troglodytes troglodytes"
12.245241,61.333095,"Dendrocopos major"
6.641613,61.16573,"Lophophanes cristatus"
11.229741,59.172815,"Buteo buteo"
10.433402,59.269883,"Cygnus olor"
6.665661,60.319014,"Cyanistes caeruleus"
5.668756,58.941507,"Somateria mollissima"
6.552941,60.010577,"Cinclus cinclus"
6.72415,60.376457,"Phalacrocorax carbo"
6.629154,60.253975,"Surnia ulula"
10.421086,59.296364,"Aegithalos caudatus"
10.915267,59.123864,"Phalacrocorax carbo"
11.04043,59.043528,"Anas platyrhynchos"
10.9429,59.043487,"Cygnus olor"
10.949089,59.036601,"Pica pica"
6.551315,60.032396,"Bucephala clangula"
11.09582,59.902282,"Passer montanus"
11.569492,60.875303,"Parus major"
11.446774,63.793466,"Periparus ater"
5.185112,60.351577,"Emberiza citrinella"
11.446774,63.793466,"Cyanistes caeruleus"
9.113831,63.33144,"Phalacrocorax carbo"
8.567089,63.702264,"Periparus ater"
6.649159,59.961778,"Poecile montanus"
10.350209,59.154512,"Anser anser"
6.928185,61.07508,"Aquila chrysaetos"
5.151946,60.499333,"Strix aluco"
5.144634,60.466994,"Pica pica"
5.571962,59.01724,"Melanitta fusca"
10.494874,59.435046,"Anas platyrhynchos"
8.681759,63.748893,"Pica pica"
11.743846,60.800205,"Poecile montanus"
11.143215,59.975876,"Regulus regulus"
10.494874,59.435046,"Bombycilla garrulus"
11.144302,59.983333,"Certhia familiaris"
10.441936,59.44139,"Phalacrocorax carbo"
10.383564,59.276786,"Panurus biarmicus"
10.616901,59.573648,"Larus argentatus"
10.922184,59.127497,"Larus marinus"
10.61585,59.80834,"Sitta europaea"
9.232983,60.993226,"Poecile montanus"
5.270694,60.39483,"Larus canus"
8.774798,63.769507,"Cygnus cygnus"
10.611736,59.568439,"Carduelis carduelis"
10.714314,59.717513,"Cygnus olor"
11.370552,62.580948,"Parus major"
5.353663,60.355078,"Columba livia"
10.41416,59.610996,"Bucephala clangula"
