"lon","lat","species.name"
-71.1651,-42.3936,"Erigeron andicola"
-70.08333,-33.81666,"Erigeron andicola"
-67.96666,-16.31666,"Erigeron andicola"
-71,-41.216,"Erigeron andicola"
-70.8906,-35.8156,"Erigeron andicola"
-69.52,-33.61,"Erigeron andicola"
-72.09,-49.76,"Erigeron andicola"
-69.25,-32.41,"Erigeron andicola"
-71.49,-43.02,"Erigeron andicola"
-67.82,-45.22,"Erigeron andicola"
-70.58,-35.17,"Erigeron andicola"
-71.25,-42.87,"Erigeron andicola"
-71.37389,-37.8525,"Erigeron andicola"
-75.42,-50.42,"Erigeron andicola"
-69.09,-34.05,"Erigeron andicola"
-68.36,-34.94,"Erigeron andicola"
-70.66,-45.31,"Erigeron andicola"
-72.999438,-50.125027,"Erigeron andicola"
-69.88,-36.78,"Erigeron andicola"
-71.25,-45.65,"Erigeron andicola"
-70.77,-36.46,"Erigeron andicola"
-71.23,-40.35,"Erigeron andicola"
-69.58,-35.07,"Erigeron andicola"
-70.43,-38.58,"Erigeron andicola"
-70.07,-34.57,"Erigeron andicola"
-70.62,-51.38,"Erigeron andicola"
-70.68,-37.61,"Erigeron andicola"
