"lon","lat","species.name"
-105.96702,38.75805,"Erigeron canus"
-111.39225,37.96931,"Erigeron canus"
-103.58657,41.68842,"Erigeron canus"
-104.514152,40.9686,"Erigeron canus"
-104.032867,37.348884,"Erigeron canus"
-105.076569,40.973873,"Erigeron canus"
-104.111492,37.23098,"Erigeron canus"
-104.111492,37.2309799990908,"Erigeron canus"
-102.969862,37.560737,"Erigeron canus"
-102.966256,37.560263,"Erigeron canus"
-101.7854,39.9795,"Erigeron canus"
-102.984444,39.284721,"Erigeron canus"
-102.984444,39.284722,"Erigeron canus"
-103.430275,38.923054,"Erigeron canus"
-105.973877,39.068685,"Erigeron canus"
-103.34306,40.88667,"Erigeron canus"
-103.1039,41.5236,"Erigeron canus"
-104.003518,40.814333,"Erigeron canus"
-105.187792,39.699298,"Erigeron canus"
-105.198951,39.906799,"Erigeron canus"
-103.91621,41.17335,"Erigeron canus"
-102.82501,41.17105,"Erigeron canus"
-101.284304,39.633397,"Erigeron canus"
-102.026309,39.945933,"Erigeron canus"
-102.80156,41.16977,"Erigeron canus"
-101.22469,39.76506,"Erigeron canus"
-105.381625541862,42.9283092368314,"Erigeron canus"
-105.50167,44.59525,"Erigeron canus"
-103.5041,43.43362,"Erigeron canus"
-101.78753,40.003769,"Erigeron canus"
-104.579611238347,42.762145389769,"Erigeron canus"
-104.61774,42.85157,"Erigeron canus"
-102.14702,40.07581,"Erigeron canus"
-102.22317,40.95758,"Erigeron canus"
-101.53451,42.45522,"Erigeron canus"
-103.58368,41.54177,"Erigeron canus"
-103.23326,43.1806,"Erigeron canus"
-104.085628,44.147727,"Erigeron canus"
-104.82083,39.00785,"Erigeron canus"
-102.86019,36.82098,"Erigeron canus"
-103.59381,43.51258,"Erigeron canus"
-103.01401,42.32208,"Erigeron canus"
-103.00296,42.63997,"Erigeron canus"
-102.64833,41.59785,"Erigeron canus"
-101.64274,40.57127,"Erigeron canus"
-103.66236,41.65043,"Erigeron canus"
-102.14333,41.30241,"Erigeron canus"
-103.68113,43.69349,"Erigeron canus"
-101.53333,40.42629,"Erigeron canus"
-103.381975,42.54399,"Erigeron canus"
-102.18389,39.89396,"Erigeron canus"
-103.70998,41.83593,"Erigeron canus"
-103.59381,43.40581,"Erigeron canus"
-102.18389,39.87947,"Erigeron canus"
-103.57309,43.35991,"Erigeron canus"
-103.6828,41.31164,"Erigeron canus"
-101.52308,39.72457,"Erigeron canus"
-105.272017,38.844203,"Erigeron canus"
-104.720123,38.750238,"Erigeron canus"
-104.719517,38.749416,"Erigeron canus"
-104.666405,38.80441,"Erigeron canus"
-104.713855,38.737886,"Erigeron canus"
-105.3323,37.8818,"Erigeron canus"
0,1,"Erigeron canus"
-103.6982,40.9421,"Erigeron canus"
-104.6058,39.6381,"Erigeron canus"
-105.1986,40.4939,"Erigeron canus"
-106.2494,37.1152,"Erigeron canus"
-105.0718,39.0847,"Erigeron canus"
-102.2262,40.079,"Erigeron canus"
-106.3711,38.1577,"Erigeron canus"
-105.56317,40.79789,"Erigeron canus"
-104.7624,38.2535,"Erigeron canus"
-105.9551,37.976,"Erigeron canus"
-105.1607,40.5909,"Erigeron canus"
-106.1395,37.0417,"Erigeron canus"
-104.0387,40.8213,"Erigeron canus"
-104.7258,38.2535,"Erigeron canus"
