"lon","lat","species.name"
8.657827,50.126633,"Draba verna"
8.589212,49.362045,"Draba verna"
6.462879,51.616871,"Draba verna"
8.663546,49.311409,"Draba verna"
8.44794,50.053757,"Draba verna"
13.36737,52.535099,"Draba verna"
13.307098,52.455162,"Draba verna"
8.791874,52.867641,"Draba verna"
9.189331,49.781013,"Draba verna"
7.207556,50.173828,"Draba verna"
7.834969,49.817219,"Draba verna"
8.42823,49.807415,"Draba verna"
13.401604,52.473579,"Draba verna"
9.895678,51.406555,"Draba verna"
13.55052,52.57922,"Draba verna"
10.494473,51.924561,"Draba verna"
10.439222,52.319359,"Draba verna"
8.453465,50.051849,"Draba verna"
8.643107,49.296864,"Draba verna"
9.613725,52.356979,"Draba verna"
10.407572,52.001423,"Draba verna"
11.585424,53.625488,"Draba verna"
6.79095,50.573784,"Draba verna"
9.15483,49.076366,"Draba verna"
8.800735,49.246376,"Draba verna"
7.934207,48.459549,"Draba verna"
13.125504,52.240519,"Draba verna"
13.076598,53.357536,"Draba verna"
8.184881,50.391785,"Draba verna"
6.872292,51.193653,"Draba verna"
8.401447,49.014484,"Draba verna"
8.170953,49.40575,"Draba verna"
8.97892,50.384254,"Draba verna"
8.322487,49.978825,"Draba verna"
7.731285,48.241367,"Draba verna"
8.655648,49.321583,"Draba verna"
8.440247,49.938736,"Draba verna"
9.410992,48.82444,"Draba verna"
8.399199,49.847172,"Draba verna"
8.638679,49.350803,"Draba verna"
8.504105,49.781708,"Draba verna"
11.873516,51.323719,"Draba verna"
6.83075,48.681782,"Draba verna"
7.855725,49.83987,"Draba verna"
10.149822,52.550159,"Draba verna"
10.476151,51.916637,"Draba verna"
9.706335,49.990746,"Draba verna"
10.051739,52.604675,"Draba verna"
8.508396,49.413429,"Draba verna"
8.553543,49.414547,"Draba verna"
8.910363,48.541557,"Draba verna"
13.775617,51.100376,"Draba verna"
6.790951,49.97385,"Draba verna"
13.404007,52.453918,"Draba verna"
6.145477,51.259312,"Draba verna"
8.651283,49.296543,"Draba verna"
10.224305,49.896641,"Draba verna"
13.485031,52.62952,"Draba verna"
6.218927,51.268063,"Draba verna"
10.351267,48.857319,"Draba verna"
13.404093,52.448765,"Draba verna"
11.476287,50.736019,"Draba verna"
11.534572,53.583282,"Draba verna"
8.958879,50.403511,"Draba verna"
8.544188,49.334885,"Draba verna"
9.776802,49.981033,"Draba verna"
8.907638,50.42252,"Draba verna"
12.340973,51.659138,"Draba verna"
9.040633,48.524021,"Draba verna"
10.335366,48.870487,"Draba verna"
13.580303,52.528648,"Draba verna"
7.701759,48.283421,"Draba verna"
8.952778,50.768055,"Draba verna"
8.467369,49.496006,"Draba verna"
6.138654,51.262505,"Draba verna"
6.149898,51.267151,"Draba verna"
9.649726,51.431816,"Draba verna"
10.167023,52.506912,"Draba verna"
9.45013,48.886333,"Draba verna"
9.840518,51.998745,"Draba verna"
8.614354,49.317989,"Draba verna"
4.863853,53.176987,"Draba verna"
10.13669,52.585686,"Draba verna"
6.192778,51.502777,"Draba verna"
8.516893,49.267357,"Draba verna"
7.935562,48.466434,"Draba verna"
8.180952,49.417229,"Draba verna"
8.310814,49.94067,"Draba verna"
9.803205,52.385876,"Draba verna"
13.139212,52.331561,"Draba verna"
10.810547,54.112453,"Draba verna"
8.674882,49.321281,"Draba verna"
9.367132,48.902515,"Draba verna"
8.546677,50.177311,"Draba verna"
13.517647,52.437595,"Draba verna"
8.754693,50.382133,"Draba verna"
10.149651,52.537315,"Draba verna"
8.64454,49.349201,"Draba verna"
8.256826,49.798691,"Draba verna"
8.831291,52.83321,"Draba verna"
-79.9595,42.814522,"Draba verna"
8.709583,49.038544,"Draba verna"
10.207056,54.423351,"Draba verna"
7.745533,48.446171,"Draba verna"
10.350494,48.966019,"Draba verna"
10.213766,48.985905,"Draba verna"
8.283767,51.313442,"Draba verna"
12.117791,54.071098,"Draba verna"
9.621034,52.019722,"Draba verna"
10.413837,48.863697,"Draba verna"
8.7495,50.959068,"Draba verna"
13.67611,54.301483,"Draba verna"
8.812408,49.058571,"Draba verna"
8.493397,48.854015,"Draba verna"
8.817493,48.818478,"Draba verna"
8.678768,49.276535,"Draba verna"
8.598089,49.357941,"Draba verna"
8.781492,52.934639,"Draba verna"
13.471985,52.458939,"Draba verna"
8.774042,49.339943,"Draba verna"
9.097795,49.166218,"Draba verna"
8.550698,49.439014,"Draba verna"
8.038387,53.64362,"Draba verna"
8.447885,50.053764,"Draba verna"
13.455248,52.459251,"Draba verna"
9.100628,50.480995,"Draba verna"
10.279113,48.899113,"Draba verna"
10.195098,52.562237,"Draba verna"
15.017793,37.699249,"Draba verna"
10.712185,51.558075,"Draba verna"
10.488639,48.850765,"Draba verna"
8.624182,49.353085,"Draba verna"
7.867649,50.549026,"Draba verna"
8.955574,50.400684,"Draba verna"
12.540029,53.773441,"Draba verna"
8.323345,48.965683,"Draba verna"
13.412032,52.452896,"Draba verna"
10.101027,52.888245,"Draba verna"
10.703859,48.315166,"Draba verna"
11.524143,52.997429,"Draba verna"
-2.74888,52.7078,"Draba verna"
-2.68397,53.75541,"Draba verna"
-2.65184,51.65198,"Draba verna"
-1.19551,52.54786,"Draba verna"
-1.10739,52.60297,"Draba verna"
-3.05124,52.35488,"Draba verna"
-2.80114,51.92079,"Draba verna"
-2.93904,51.56012,"Draba verna"
-3.08972,51.82856,"Draba verna"
-3.51587,51.55408,"Draba verna"
7.950153,51.616657,"Draba verna"
-2.95939,53.86138,"Draba verna"
-3.04791,53.75278,"Draba verna"
8.996531,50.693924,"Draba verna"
-2.94652,51.91971,"Draba verna"
-2.94464,51.82982,"Draba verna"
-3.08541,51.64877,"Draba verna"
-3.22507,51.46756,"Draba verna"
8.650183,49.342442,"Draba verna"
-3.08326,51.55887,"Draba verna"
-2.30455,52.66482,"Draba verna"
-2.94089,51.65002,"Draba verna"
9.707199,49.123955,"Draba verna"
-2.79637,51.65109,"Draba verna"
-1.24532,52.65338,"Draba verna"
10.180786,48.600155,"Draba verna"
-3.22748,51.55745,"Draba verna"
0.62419,52.30793,"Draba verna"
8.530626,49.448151,"Draba verna"
0.50799,52.32844,"Draba verna"
1.64488,52.58664,"Draba verna"
13.417997,52.43409,"Draba verna"
13.561549,52.576244,"Draba verna"
8.595772,49.659405,"Draba verna"
9.667869,51.417728,"Draba verna"
-4.09246,51.54521,"Draba verna"
9.962368,51.557278,"Draba verna"
8.692932,49.179852,"Draba verna"
11.378574,48.933834,"Draba verna"
8.611704,49.354549,"Draba verna"
-0.69852,52.64773,"Draba verna"
8.368406,49.867535,"Draba verna"
10.870299,49.131386,"Draba verna"
11.355486,48.889778,"Draba verna"
8.620845,49.718723,"Draba verna"
10.404449,52.002796,"Draba verna"
9.01019,48.495926,"Draba verna"
7.979851,49.97496,"Draba verna"
-2.42432,52.81728,"Draba verna"
10.168671,52.582047,"Draba verna"
9.87384,49.273941,"Draba verna"
10.15965,48.905296,"Draba verna"
9.170794,48.426952,"Draba verna"
10.9132,48.725395,"Draba verna"
9.50376,53.702297,"Draba verna"
10.457093,48.923981,"Draba verna"
7.53945,49.804787,"Draba verna"
7.495806,49.79314,"Draba verna"
0.54143,52.39967,"Draba verna"
7.506666,49.813953,"Draba verna"
10.377617,48.715797,"Draba verna"
-1.22958,52.5391,"Draba verna"
0.45034,52.34764,"Draba verna"
8.646095,49.296402,"Draba verna"
10.819387,52.870708,"Draba verna"
9.713759,51.424995,"Draba verna"
6.352243,51.354469,"Draba verna"
10.290451,48.873989,"Draba verna"
8.973598,49.19455,"Draba verna"
11.203888,51.282078,"Draba verna"
9.378076,48.85421,"Draba verna"
10.80986,53.552139,"Draba verna"
-1.24102,52.64526,"Draba verna"
9.777172,49.007019,"Draba verna"
8.404541,49.972424,"Draba verna"
8.960413,49.729797,"Draba verna"
8.217913,50.429901,"Draba verna"
13.792514,51.06617,"Draba verna"
2.62718,51.09882,"Draba verna"
-3.08756,51.73867,"Draba verna"
7.455983,49.775612,"Draba verna"
8.827171,52.953705,"Draba verna"
7.959766,50.616795,"Draba verna"
9.09,49.97,"Draba verna"
-2.65444,51.83179,"Draba verna"
-2.75378,52.69203,"Draba verna"
8.775639,52.849396,"Draba verna"
7.999978,50.590702,"Draba verna"
9.37,49.72,"Draba verna"
-1.18734,52.67097,"Draba verna"
13.398256,54.068985,"Draba verna"
7.463965,49.612766,"Draba verna"
10.879923,54.092751,"Draba verna"
10.317063,48.902473,"Draba verna"
10.679913,54.30761,"Draba verna"
10.373773,48.873989,"Draba verna"
9.18,49.86,"Draba verna"
9.2,49.8,"Draba verna"
13.566055,54.44529,"Draba verna"
10.343081,48.884884,"Draba verna"
8.64109,49.284603,"Draba verna"
9.971123,47.80909,"Draba verna"
10.199819,53.234211,"Draba verna"
9.08,49.97,"Draba verna"
-1.2499,52.55811,"Draba verna"
7.990408,49.932285,"Draba verna"
9.17,49.84,"Draba verna"
8.717324,49.316868,"Draba verna"
9.12,49.88,"Draba verna"
-1.30548,52.49462,"Draba verna"
10.260029,48.871037,"Draba verna"
9.739981,49.059162,"Draba verna"
10.291743,48.881596,"Draba verna"
-3.12662,52.86348,"Draba verna"
8.561954,49.088791,"Draba verna"
9.65,50.1,"Draba verna"
-1.17911,52.55764,"Draba verna"
9.62,50.17,"Draba verna"
-1.28927,52.49542,"Draba verna"
-3.13098,52.85984,"Draba verna"
8.938065,50.351704,"Draba verna"
8.723346,52.842533,"Draba verna"
10.592151,52.986515,"Draba verna"
7.838835,50.027336,"Draba verna"
11.114044,53.158092,"Draba verna"
10.05,50.06,"Draba verna"
10.281009,48.898933,"Draba verna"
-3.04072,52.81212,"Draba verna"
13.306911,53.032543,"Draba verna"
10.510912,51.946671,"Draba verna"
8.630791,49.292999,"Draba verna"
9.256754,49.19326,"Draba verna"
-1.21953,52.52375,"Draba verna"
9.280529,49.174297,"Draba verna"
9.848495,51.997719,"Draba verna"
-0.93913,52.78318,"Draba verna"
11.664734,53.501728,"Draba verna"
-1.30304,52.55574,"Draba verna"
11.479168,50.745255,"Draba verna"
13.126322,52.24019,"Draba verna"
-3.00923,52.92567,"Draba verna"
10.414957,53.261856,"Draba verna"
8.616071,49.318073,"Draba verna"
11.3451,51.226025,"Draba verna"
9.56,50.19,"Draba verna"
7.457521,49.823868,"Draba verna"
8.236429,49.792839,"Draba verna"
7.191151,50.647911,"Draba verna"
6.121161,46.217887,"Draba verna"
12.223857,52.72699,"Draba verna"
8.663642,49.58688,"Draba verna"
8.936133,48.031666,"Draba verna"
9.23,49.73,"Draba verna"
13.243504,54.148563,"Draba verna"
-3.65678,51.46225,"Draba verna"
1.0792,52.09908,"Draba verna"
8.715248,49.014904,"Draba verna"
10.14,49.35,"Draba verna"
-1.27605,52.49265,"Draba verna"
3.77713,51.05173,"Draba verna"
-1.17912,52.55674,"Draba verna"
9.2,50.13,"Draba verna"
12,49.32,"Draba verna"
-1.37364,52.673,"Draba verna"
1.42621,52.05352,"Draba verna"
9.04,49.92,"Draba verna"
11.91,49.37,"Draba verna"
9.25,50.13,"Draba verna"
12.02,49.31,"Draba verna"
9.3,49.75,"Draba verna"
10.757299,50.149666,"Draba verna"
9.455603,48.900745,"Draba verna"
10.15,49.27,"Draba verna"
-3.15982,55.93963,"Draba verna"
2.62584,51.13476,"Draba verna"
10.12,49.32,"Draba verna"
11.93,49.37,"Draba verna"
9.14732,49.163635,"Draba verna"
9.614754,50.208111,"Draba verna"
-3.10273,52.79988,"Draba verna"
1.68275,52.33361,"Draba verna"
1.45948,52.10651,"Draba verna"
8.717618,49.311794,"Draba verna"
9.16,49.94,"Draba verna"
-6.194551,52.556446,"Draba verna"
9.738634,52.393776,"Draba verna"
-0.90303,52.80353,"Draba verna"
-3.15665,55.94056,"Draba verna"
-1.28171,52.68776,"Draba verna"
9.12,49.82,"Draba verna"
-2.99479,52.55451,"Draba verna"
8.907509,49.135902,"Draba verna"
9.991042,49.209904,"Draba verna"
10.63,48.35,"Draba verna"
9.391068,48.871716,"Draba verna"
5.3688,50.78825,"Draba verna"
172.461488,-43.467973,"Draba verna"
144.156667,-37.344167,"Draba verna"
-2.92621,53.7358,"Draba verna"
-2.96394,52.39159,"Draba verna"
-2.22928,53.81107,"Draba verna"
-3.04836,53.77075,"Draba verna"
-2.94944,52.40069,"Draba verna"
1.54978,52.13981,"Draba verna"
1.10835,52.09832,"Draba verna"
-2.47165,53.75643,"Draba verna"
-2.92189,53.53809,"Draba verna"
-2.47125,53.72048,"Draba verna"
-2.86301,53.61044,"Draba verna"
-2.99352,52.40033,"Draba verna"
-2.98811,53.78924,"Draba verna"
-3.03656,52.35501,"Draba verna"
-2.3813,53.82866,"Draba verna"
-2.6831,53.70148,"Draba verna"
-3.0225,52.3821,"Draba verna"
-2.50091,53.66643,"Draba verna"
-2.65336,53.7376,"Draba verna"
-2.95206,53.53785,"Draba verna"
-2.71461,53.7732,"Draba verna"
-2.94886,52.37373,"Draba verna"
1.42896,52.08942,"Draba verna"
-3.0076,52.37324,"Draba verna"
-2.8133,54.16805,"Draba verna"
-3.00842,52.4092,"Draba verna"
-2.94905,52.38272,"Draba verna"
-2.91986,52.39194,"Draba verna"
-2.83243,53.59268,"Draba verna"
-2.7143,53.75523,"Draba verna"
-2.53163,53.70225,"Draba verna"
-2.97843,52.38248,"Draba verna"
-2.98265,53.55558,"Draba verna"
-3.02188,52.35514,"Draba verna"
1.37068,52.0911,"Draba verna"
-2.80289,53.62883,"Draba verna"
1.39982,52.09026,"Draba verna"
-2.62172,53.64789,"Draba verna"
-2.79954,51.83089,"Draba verna"
