"lon","lat","species.name"
-3.37,37.08,"Eryngium glaciale"
-3.4,37.113,"Eryngium glaciale"
-3.298142,37.047433,"Eryngium glaciale"
-3.395811,37.040765,"Eryngium glaciale"
-3.333083,37.055182,"Eryngium glaciale"
-3.376215,37.052982,"Eryngium glaciale"
-3.285264,37.086262,"Eryngium glaciale"
-3.295251,37.030006,"Eryngium glaciale"
-3.29339,37.046002,"Eryngium glaciale"
-3.310752,37.051114,"Eryngium glaciale"
-3.377465,37.051038,"Eryngium glaciale"
-3.379578,37.050661,"Eryngium glaciale"
-3.285048,37.085577,"Eryngium glaciale"
-3.39905,37.038699,"Eryngium glaciale"
-3.335522,37.059971,"Eryngium glaciale"
-3.296508,37.029408,"Eryngium glaciale"
-3.377454,37.051092,"Eryngium glaciale"
-3.327371,37.055531,"Eryngium glaciale"
-3.264522,37.110765,"Eryngium glaciale"
-3.3446,37.052688,"Eryngium glaciale"
-3.32986,37.08757,"Eryngium glaciale"
-3.337232,37.095563,"Eryngium glaciale"
-3.336446,37.047628,"Eryngium glaciale"
-3.283326,37.088493,"Eryngium glaciale"
-3.38,37.09,"Eryngium glaciale"
-3.279477,37.109721,"Eryngium glaciale"
-3.295538,37.05758,"Eryngium glaciale"
-3.255,37.130897,"Eryngium glaciale"
-3.191362,37.09267,"Eryngium glaciale"
-3.252468,37.120923,"Eryngium glaciale"
-3.301775,37.101572,"Eryngium glaciale"
-3.250178,37.088802,"Eryngium glaciale"
-3.238275,37.107197,"Eryngium glaciale"
-3.303247,37.067062,"Eryngium glaciale"
-3,37,"Eryngium glaciale"
-3.45,37.049999,"Eryngium glaciale"
-4.55,34.85,"Eryngium glaciale"
-2.21,37.669998,"Eryngium glaciale"
-3.36,37.04,"Eryngium glaciale"
-5.07,37.83,"Eryngium glaciale"
-3.38,37.08,"Eryngium glaciale"
-3.22,37.049999,"Eryngium glaciale"
-3.3,37.05,"Eryngium glaciale"
-3.29,37.04,"Eryngium glaciale"
-3.33,37.04,"Eryngium glaciale"
-3.380508,37.09273,"Eryngium glaciale"
-3.649565,40.226829,"Eryngium glaciale"
-3.378468,37.053676,"Eryngium glaciale"
-3.369946,37.063582,"Eryngium glaciale"
-3.3911461059324,37.0887585193276,"Eryngium glaciale"
-3.39114469081644,36.9987569946781,"Eryngium glaciale"
-3.28114405206383,37.0887596307381,"Eryngium glaciale"
-3.44,37.04,"Eryngium glaciale"
-3.22,37.04,"Eryngium glaciale"
-3.395212,37.053261,"Eryngium glaciale"
-3.37114557529045,37.0787585516588,"Eryngium glaciale"
-3.16667,37.08333,"Eryngium glaciale"
-3.3724,37.066288,"Eryngium glaciale"
-3.429499,37.024521,"Eryngium glaciale"
-3.56,37.04,"Eryngium glaciale"
-3.39114752618095,37.1787600521755,"Eryngium glaciale"
-3.402651,37.041364,"Eryngium glaciale"
-3.371546,37.054815,"Eryngium glaciale"
-3.29114360999504,37.0487588505695,"Eryngium glaciale"
-3.388886,37.052101,"Eryngium glaciale"
-3.409547,37.014847,"Eryngium glaciale"
-3.11,36.68,"Eryngium glaciale"
-3.443194,37.013212,"Eryngium glaciale"
-3.355346,37.053864,"Eryngium glaciale"
-3.406659,37.021294,"Eryngium glaciale"
-3.410669,37.037199,"Eryngium glaciale"
-3.377116,37.069121,"Eryngium glaciale"
-3.375745,37.071587,"Eryngium glaciale"
-3.402294,37.024905,"Eryngium glaciale"
-3.62115038975853,37.0887561913787,"Eryngium glaciale"
-3.366972,37.055551,"Eryngium glaciale"
-3.06113993449986,37.0887618497407,"Eryngium glaciale"
-3.367264,37.071793,"Eryngium glaciale"
-3.373873,37.043126,"Eryngium glaciale"
-3.62,37.18,"Eryngium glaciale"
-3.33114435686622,37.0487584467448,"Eryngium glaciale"
