"lon","lat","species.name"
-0.29,40.52,"Euphorbia nevadensis"
-0.23,40.57,"Euphorbia nevadensis"
-0.49,38.76,"Euphorbia nevadensis"
-3.383709,37.094074,"Euphorbia nevadensis"
-0.001,40.66,"Euphorbia nevadensis"
-0.27,38.65,"Euphorbia nevadensis"
-0.28,38.66,"Euphorbia nevadensis"
-0.49,38.75,"Euphorbia nevadensis"
-0.92,39.41,"Euphorbia nevadensis"
0.04,40.68,"Euphorbia nevadensis"
-0.25,38.65,"Euphorbia nevadensis"
0.07,40.69,"Euphorbia nevadensis"
-0.92,39.09,"Euphorbia nevadensis"
-2.293,40.942,"Euphorbia nevadensis"
-1.92,38.17,"Euphorbia nevadensis"
-2.195,40.211,"Euphorbia nevadensis"
-2.183,40.193,"Euphorbia nevadensis"
-2.305,40.951,"Euphorbia nevadensis"
-1.594,40.872,"Euphorbia nevadensis"
-0.95,39.421,"Euphorbia nevadensis"
-0.79,39.08,"Euphorbia nevadensis"
-4.76,40.099998,"Euphorbia nevadensis"
-3.384103,37.142898,"Euphorbia nevadensis"
-3.316544,37.143098,"Euphorbia nevadensis"
0.208,40.802,"Euphorbia nevadensis"
0.231,40.829,"Euphorbia nevadensis"
-0.37,40.61,"Euphorbia nevadensis"
-1.002,39.629,"Euphorbia nevadensis"
-3.245,41.322,"Euphorbia nevadensis"
-3.36,41.279999,"Euphorbia nevadensis"
-3.25,41.32,"Euphorbia nevadensis"
-3.25,41.31,"Euphorbia nevadensis"
-0.92,39.1,"Euphorbia nevadensis"
-1.899,38.154,"Euphorbia nevadensis"
-3.372402,37.052794,"Euphorbia nevadensis"
-2.39,38.068,"Euphorbia nevadensis"
-1.84,38.84,"Euphorbia nevadensis"
-0.91,39.09,"Euphorbia nevadensis"
-3.057534,37.107449,"Euphorbia nevadensis"
-1.707,41.738,"Euphorbia nevadensis"
-2.809993,37.080264,"Euphorbia nevadensis"
-0.913,39.096,"Euphorbia nevadensis"
-2.821223,37.089296,"Euphorbia nevadensis"
-1.899,41.794,"Euphorbia nevadensis"
-3.338823,37.088951,"Euphorbia nevadensis"
-1.744,41.694,"Euphorbia nevadensis"
