"lon","lat","species.name"
169.25962,-45.588456,"Euphrasia zelandica"
171.633542,-41.878906,"Euphrasia zelandica"
171.706704,-43.111079,"Euphrasia zelandica"
167.38658,-45.750828,"Euphrasia zelandica"
170.121917,-43.705483,"Euphrasia zelandica"
170.274651,-44.921117,"Euphrasia zelandica"
176.170192,-39.78839,"Euphrasia zelandica"
171.702667,-43.116198,"Euphrasia zelandica"
168.198044,-45.554016,"Euphrasia zelandica"
172.846481,-42.483414,"Euphrasia zelandica"
171.724474,-43.309439,"Euphrasia zelandica"
175.601006,-39.149765,"Euphrasia zelandica"
169.776835,-44.359835,"Euphrasia zelandica"
171.840634,-43.179019,"Euphrasia zelandica"
168.125582,-44.832926,"Euphrasia zelandica"
171.019535,-43.558252,"Euphrasia zelandica"
166.9572,-45.2674,"Euphrasia zelandica"
166.9533,-45.2669,"Euphrasia zelandica"
166.918,-45.2359,"Euphrasia zelandica"
166.9182,-45.2383,"Euphrasia zelandica"
166.9175,-45.2383,"Euphrasia zelandica"
166.9522,-45.2658,"Euphrasia zelandica"
166.9167,-45.2409,"Euphrasia zelandica"
166.9519,-45.2653,"Euphrasia zelandica"
166.9199,-45.2364,"Euphrasia zelandica"
166.9551,-45.2653,"Euphrasia zelandica"
166.9535,-45.2657,"Euphrasia zelandica"
166.9517,-45.2656,"Euphrasia zelandica"
166.9182,-45.2369,"Euphrasia zelandica"
166.9156,-45.2337,"Euphrasia zelandica"
166.9509,-45.2659,"Euphrasia zelandica"
166.9555,-45.2679,"Euphrasia zelandica"
166.9564,-45.266,"Euphrasia zelandica"
166.9172,-45.2396,"Euphrasia zelandica"
166.9147,-45.2322,"Euphrasia zelandica"
166.9133,-45.2317,"Euphrasia zelandica"
166.918,-45.2395,"Euphrasia zelandica"
166.9571,-45.2658,"Euphrasia zelandica"
166.9153,-45.2337,"Euphrasia zelandica"
166.9527,-45.2646,"Euphrasia zelandica"
166.9142,-45.2323,"Euphrasia zelandica"
166.9526,-45.2677,"Euphrasia zelandica"
166.9546,-45.2681,"Euphrasia zelandica"
170.3971,-43.6494,"Euphrasia zelandica"
170.4008,-43.6465,"Euphrasia zelandica"
170.3785,-43.6661,"Euphrasia zelandica"
170.3867,-43.6341,"Euphrasia zelandica"
170.3996,-43.6389,"Euphrasia zelandica"
170.377,-43.6695,"Euphrasia zelandica"
170.3717,-43.664,"Euphrasia zelandica"
170.3791,-43.6733,"Euphrasia zelandica"
170.5456,-44.3852,"Euphrasia zelandica"
169.26,-44.43,"Euphrasia zelandica"
171.7195,-43.0248,"Euphrasia zelandica"
166.917,-45.2409,"Euphrasia zelandica"
171.2344,-43.3247,"Euphrasia zelandica"
171.1457,-43.3662,"Euphrasia zelandica"
171.1438,-43.9094,"Euphrasia zelandica"
168.342,-45.2225,"Euphrasia zelandica"
168.346,-45.2173,"Euphrasia zelandica"
171.4118,-43.5013,"Euphrasia zelandica"
170.888,-43.5245,"Euphrasia zelandica"
171.2391,-43.3445,"Euphrasia zelandica"
172.751,-43.6958,"Euphrasia zelandica"
172.521,-41.0472,"Euphrasia zelandica"
168.01,-44.74833,"Euphrasia zelandica"
172.526,-41.0491,"Euphrasia zelandica"
171.2156,-43.7249,"Euphrasia zelandica"
171.2343,-43.7243,"Euphrasia zelandica"
170.016667,-44.1,"Euphrasia zelandica"
170.493,-45.8015,"Euphrasia zelandica"
170.847,-43.213,"Euphrasia zelandica"
170.6458,-43.5108,"Euphrasia zelandica"
170.6743,-43.4905,"Euphrasia zelandica"
170.654,-43.4903,"Euphrasia zelandica"
168.72,-44.9388,"Euphrasia zelandica"
171.1308,-43.1562,"Euphrasia zelandica"
171.1297,-43.1554,"Euphrasia zelandica"
167.238,-45.3916,"Euphrasia zelandica"
171.1295,-43.1834,"Euphrasia zelandica"
172.9935,-41.7321,"Euphrasia zelandica"
171.0936,-43.1783,"Euphrasia zelandica"
