"lon","lat","species.name"
-72.06756,-47.73192,"Festuca magellanica"
-72.23098,-47.73932,"Festuca magellanica"
-72.36557,-47.74994,"Festuca magellanica"
-72.0417,-46.0675,"Festuca magellanica"
-107.577,38.9614,"Festuca magellanica"
-72.06,-53.52,"Festuca magellanica"
-58.82,-51.7,"Festuca magellanica"
-73.62,-50.45,"Festuca magellanica"
-61.3,-51.73333,"Festuca magellanica"
-72.983,-50.4,"Festuca magellanica"
-67.233,-54.516,"Festuca magellanica"
-68.566,-54.833,"Festuca magellanica"
-72.233333,-50.833333,"Festuca magellanica"
-71.41666,-39.91666,"Festuca magellanica"
-68.15,-53.7,"Festuca magellanica"
-68.76666,-53.23333,"Festuca magellanica"
-66.88333,-54.88333,"Festuca magellanica"
-70.51666,-36.96666,"Festuca magellanica"
-70.2,-36.9,"Festuca magellanica"
-60.58,-51.28,"Festuca magellanica"
-68,-44,"Festuca magellanica"
-68.37,-54.8,"Festuca magellanica"
-71.3,-40.22,"Festuca magellanica"
-64.68,-54.87,"Festuca magellanica"
-72.22,-50.88,"Festuca magellanica"
-67.53889,-54.80833,"Festuca magellanica"
-60.39333,-51.56944,"Festuca magellanica"
-61.268885,-51.706926,"Festuca magellanica"
-68.53694,-34.83028,"Festuca magellanica"
-59.925424,-51.975279,"Festuca magellanica"
-70.66,-45.31,"Festuca magellanica"
-72.08,-51.53,"Festuca magellanica"
-60.39222,-51.57028,"Festuca magellanica"
-67.4,-54.77,"Festuca magellanica"
-60.717539,-51.349064,"Festuca magellanica"
-71.63,-40.84,"Festuca magellanica"
-72.03,-45.62,"Festuca magellanica"
-71.42,-44.98,"Festuca magellanica"
-72.01,-45.56,"Festuca magellanica"
-70.78,-36.87,"Festuca magellanica"
-72.83,-51.17,"Festuca magellanica"
-70.62,-51.38,"Festuca magellanica"
-68.39,-48.86,"Festuca magellanica"
-60.39306,-51.56917,"Festuca magellanica"
-60.0075,-51.98056,"Festuca magellanica"
-67.616667,-54.783333,"Festuca magellanica"
-60.00611,-51.97778,"Festuca magellanica"
-60.00861,-51.92889,"Festuca magellanica"
-60.00861,-51.89861,"Festuca magellanica"
-71.95,-51.57,"Festuca magellanica"
70.89,38.66,"Festuca magellanica"
-71.11,-47.08,"Festuca magellanica"
-67.96,-53.79,"Festuca magellanica"
-71.4,-51.38,"Festuca magellanica"
-72.23,-50.83,"Festuca magellanica"
-60.39222,-51.57056,"Festuca magellanica"
-60.069246,-51.954858,"Festuca magellanica"
-72.08,-51.45,"Festuca magellanica"
-71,-43,"Festuca magellanica"
-70.77,-51.03,"Festuca magellanica"
-60.130013,-51.502506,"Festuca magellanica"
-72.38,-51.22,"Festuca magellanica"
-71.63,-40.11,"Festuca magellanica"
-71.75,-52.71,"Festuca magellanica"
-60.39278,-51.56917,"Festuca magellanica"
-60.39306,-51.56944,"Festuca magellanica"
-70.26,-36.85,"Festuca magellanica"
-71.25,-43.67,"Festuca magellanica"
-71.37,-41.15,"Festuca magellanica"
-68.22,-54.8,"Festuca magellanica"
-69.35,-50.57,"Festuca magellanica"
-70.57,-39.1,"Festuca magellanica"
-66,-54.92,"Festuca magellanica"
-72.02,-50.77,"Festuca magellanica"
-72.07,-51.53,"Festuca magellanica"
-70.38,-36.73,"Festuca magellanica"
-72.12,-51.48,"Festuca magellanica"
-72.27,-50.34,"Festuca magellanica"
-70.16139,-53.31389,"Festuca magellanica"
-60.39583,-51.56944,"Festuca magellanica"
-60.39528,-51.56944,"Festuca magellanica"
-70.02,-51.55,"Festuca magellanica"
-71.51,-50.43,"Festuca magellanica"
-68.14,-47.22,"Festuca magellanica"
-71.97,-51.57,"Festuca magellanica"
-60.39194,-51.57056,"Festuca magellanica"
-60.92444,-51.905,"Festuca magellanica"
-59.97583,-51.86222,"Festuca magellanica"
-71.18,-41.09,"Festuca magellanica"
-72.22,-50.34,"Festuca magellanica"
-68.268817,-45.752105,"Festuca magellanica"
-70.97,-44.92,"Festuca magellanica"
-72.83,-50.33,"Festuca magellanica"
-71.13,-40.39,"Festuca magellanica"
-72.27,-51,"Festuca magellanica"
-69.09,-34.05,"Festuca magellanica"
-71.95,-51.14,"Festuca magellanica"
-72.23,-50.31,"Festuca magellanica"
-72.13,-47.79,"Festuca magellanica"
-71.34,-40.16,"Festuca magellanica"
-71.1,-37.82,"Festuca magellanica"
-69.36,-32.96,"Festuca magellanica"
-72.2,-50.75,"Festuca magellanica"
-71.44,-40.76,"Festuca magellanica"
-60.39333,-51.56972,"Festuca magellanica"
-69.36,-32.98,"Festuca magellanica"
-66,-47.67,"Festuca magellanica"
-68.66,-49.8,"Festuca magellanica"
-60.39361,-51.57083,"Festuca magellanica"
-67.32,-54.58,"Festuca magellanica"
-67.84139,-54.74139,"Festuca magellanica"
-71.15,-40.316667,"Festuca magellanica"
-68.2,-54.77,"Festuca magellanica"
-72.83333,-51.16666,"Festuca magellanica"
-71.45639,-50.47222,"Festuca magellanica"
-68.29,-54.8,"Festuca magellanica"
-68.36,-54.82,"Festuca magellanica"
-60.39556,-51.56972,"Festuca magellanica"
-60.39528,-51.56917,"Festuca magellanica"
-70.61,-40.97,"Festuca magellanica"
-71.08,-40.99,"Festuca magellanica"
-68.42,-52.9,"Festuca magellanica"
-60.39278,-51.56833,"Festuca magellanica"
-60.39278,-51.57056,"Festuca magellanica"
-65.91,-47.74,"Festuca magellanica"
-68.21,-54.79,"Festuca magellanica"
-71.35,-44.21,"Festuca magellanica"
-71.04,-37.82,"Festuca magellanica"
-67.31,-54.58,"Festuca magellanica"
