"lon","lat","species.name"
7.461691,44.109283,"Festuca violacea"
10.87,47.57,"Festuca violacea"
6.40833,45.06405,"Festuca violacea"
12.231388,46.198326,"Festuca violacea"
12.204394,46.221191,"Festuca violacea"
6.77423,46.10335,"Festuca violacea"
12.277565,47.62653,"Festuca violacea"
11.295962,47.430149,"Festuca violacea"
14.01639,41.81222,"Festuca violacea"
14.43639,45.22694,"Festuca violacea"
13.00583,42.47333,"Festuca violacea"
12.328548,47.708492,"Festuca violacea"
6.41095,45.06382,"Festuca violacea"
0.09445,42.72533,"Festuca violacea"
10.16917,47.20194,"Festuca violacea"
7.30766,44.1548,"Festuca violacea"
7.31062,44.1554,"Festuca violacea"
10.028114,46.408039,"Festuca violacea"
7.23763,44.2403,"Festuca violacea"
7.26694,44.2324,"Festuca violacea"
13.2,47.4,"Festuca violacea"
7.22012,44.2384,"Festuca violacea"
7.23717,44.2382,"Festuca violacea"
6.70853,44.23868,"Festuca violacea"
10.76667,46.91667,"Festuca violacea"
13.55,42.43,"Festuca violacea"
14.2775,48.2653,"Festuca violacea"
10.21,47.32,"Festuca violacea"
10.37,47.42,"Festuca violacea"
13.90333,42.30972,"Festuca violacea"
6.410833,45.0625,"Festuca violacea"
10.21,47.27,"Festuca violacea"
11.37,47.47,"Festuca violacea"
10.21,47.37,"Festuca violacea"
10.37,47.32,"Festuca violacea"
11.96,47.72,"Festuca violacea"
11.09502,46.90466,"Festuca violacea"
9.985278,47.054444,"Festuca violacea"
10.37,47.37,"Festuca violacea"
10.29,47.42,"Festuca violacea"
10.46,47.37,"Festuca violacea"
10.29,47.27,"Festuca violacea"
12.67667,46.99404,"Festuca violacea"
10.12,47.47,"Festuca violacea"
11.01667,46.85,"Festuca violacea"
14.19167,47.41833,"Festuca violacea"
11.02528,46.86028,"Festuca violacea"
11.01667,46.86667,"Festuca violacea"
-6.38,42.47,"Festuca violacea"
-5.4,43.1,"Festuca violacea"
11.948726,47.40964,"Festuca violacea"
10.399105,46.964184,"Festuca violacea"
13.29337,46.56738,"Festuca violacea"
10.4636,46.5274,"Festuca violacea"
7.90515,46.094238,"Festuca violacea"
7.8989,46.0919,"Festuca violacea"
7.940167,46.077222,"Festuca violacea"
7.894361,46.085153,"Festuca violacea"
7.9468,46.040131,"Festuca violacea"
11.1,47,"Festuca violacea"
10.29,47.37,"Festuca violacea"
11.54,47.67,"Festuca violacea"
12.04,47.72,"Festuca violacea"
10.29,47.32,"Festuca violacea"
12.37,47.72,"Festuca violacea"
11.04,47.37,"Festuca violacea"
14.48333,46.5,"Festuca violacea"
7.75,46.01667,"Festuca violacea"
11.409,47.1,"Festuca violacea"
6.956388,44.774722,"Festuca violacea"
11.3366,47.2019,"Festuca violacea"
10.791,45.665,"Festuca violacea"
11.462,47.332,"Festuca violacea"
11.36094,47.07555,"Festuca violacea"
12.355,46.7025,"Festuca violacea"
13.2,47.2,"Festuca violacea"
11.04,47.42,"Festuca violacea"
10.46,47.42,"Festuca violacea"
6.32972,44.42375,"Festuca violacea"
6.77211,45.40099,"Festuca violacea"
7.03394,45.48203,"Festuca violacea"
6.70026,44.32181,"Festuca violacea"
6.4388,44.15011,"Festuca violacea"
