"lon","lat","species.name"
17.628898,59.834776,"Filago arvensis"
171.760125,-43.03531,"Filago arvensis"
-74.471362,40.511825,"Filago arvensis"
17.85416,62.888865,"Filago arvensis"
-0.69715,52.64412,"Filago arvensis"
16.258536,58.970234,"Filago arvensis"
-74.569058,40.571458,"Filago arvensis"
-76.502995,39.572748,"Filago arvensis"
172.586659,-43.556442,"Filago arvensis"
14.313414,55.59249,"Filago arvensis"
17.564355,59.767834,"Filago arvensis"
16.474545,56.664311,"Filago arvensis"
170.823981,-45.324918,"Filago arvensis"
11.899488,58.293197,"Filago arvensis"
-74.502926,40.654206,"Filago arvensis"
11.005503,59.659598,"Filago arvensis"
16.347452,58.886581,"Filago arvensis"
10.632298,59.4514,"Filago arvensis"
16.665599,57.70141,"Filago arvensis"
17.549218,59.772777,"Filago arvensis"
16.531463,56.753169,"Filago arvensis"
150.416886,-34.441712,"Filago arvensis"
17.790802,59.85381,"Filago arvensis"
176.907949,-39.696819,"Filago arvensis"
5.68122,45.22121,"Filago arvensis"
17.579446,60.055546,"Filago arvensis"
17.53674,59.547338,"Filago arvensis"
-79.599949,43.732843,"Filago arvensis"
5.69886,45.16231,"Filago arvensis"
169.701187,-46.50662,"Filago arvensis"
15.1945,58.080243,"Filago arvensis"
16.347101,58.886762,"Filago arvensis"
13.656467,56.394556,"Filago arvensis"
170.488908,-45.840555,"Filago arvensis"
172.66365,-43.517211,"Filago arvensis"
13.063463,55.668908,"Filago arvensis"
17.645077,59.812668,"Filago arvensis"
16.94864,57.179287,"Filago arvensis"
8.314874,49.886906,"Filago arvensis"
-74.287276,40.990149,"Filago arvensis"
17.78455,59.600383,"Filago arvensis"
172.645728,-43.605089,"Filago arvensis"
172.48602,-43.6404,"Filago arvensis"
17.366752,59.679653,"Filago arvensis"
16.358124,59.070406,"Filago arvensis"
172.607904,-43.597384,"Filago arvensis"
2.35955,48.84779,"Filago arvensis"
172.458733,-43.685518,"Filago arvensis"
-87.755932,42.115369,"Filago arvensis"
-71.260307,42.363744,"Filago arvensis"
-74.574401,40.625785,"Filago arvensis"
-88.299265,41.728152,"Filago arvensis"
8.773441,49.064419,"Filago arvensis"
2.3521,48.91474,"Filago arvensis"
-87.63345,41.963335,"Filago arvensis"
8.709583,49.038544,"Filago arvensis"
8.774042,49.339943,"Filago arvensis"
-74.574466,40.609619,"Filago arvensis"
-87.688472,41.987148,"Filago arvensis"
-84.727233,39.501758,"Filago arvensis"
8.905277,49.166664,"Filago arvensis"
-74.558405,40.620231,"Filago arvensis"
-71.260155,42.363767,"Filago arvensis"
-74.630009,40.627809,"Filago arvensis"
-74.914656,41.001861,"Filago arvensis"
-122.266225,47.406298,"Filago arvensis"
9.097795,49.166218,"Filago arvensis"
13.67968,56.395675,"Filago arvensis"
-87.636688,41.939583,"Filago arvensis"
8.988619,49.167564,"Filago arvensis"
-122.264994,47.679109,"Filago arvensis"
9.832935,49.948792,"Filago arvensis"
-84.72722,39.501683,"Filago arvensis"
-74.6153,40.58782,"Filago arvensis"
-74.547901,40.592643,"Filago arvensis"
-74.72265,40.291612,"Filago arvensis"
13.040538,55.605863,"Filago arvensis"
-74.555969,40.592008,"Filago arvensis"
2.35214,48.91474,"Filago arvensis"
-112.883001,42.769725,"Filago arvensis"
5.75716,44.47648,"Filago arvensis"
16.798693,56.86532,"Filago arvensis"
-74.372206,40.661564,"Filago arvensis"
-74.72767,40.291887,"Filago arvensis"
17.367803,59.669434,"Filago arvensis"
8.812408,49.058571,"Filago arvensis"
9.533472,48.809208,"Filago arvensis"
1.44739,50.10156,"Filago arvensis"
16.322847,58.929042,"Filago arvensis"
-74.429417,40.678429,"Filago arvensis"
6.00484,44.56005,"Filago arvensis"
-74.33443,40.67827,"Filago arvensis"
5.44166,43.54246,"Filago arvensis"
5.73157,45.17358,"Filago arvensis"
5.46314,43.5322,"Filago arvensis"
-74.500866,40.654532,"Filago arvensis"
11.17208,59.922058,"Filago arvensis"
-87.865068,41.771402,"Filago arvensis"
-74.72718,40.291763,"Filago arvensis"
-74.585323,40.607404,"Filago arvensis"
13.406796,52.440342,"Filago arvensis"
13.385843,52.437294,"Filago arvensis"
9.02338,49.159481,"Filago arvensis"
16.175335,58.670077,"Filago arvensis"
13.416839,52.451797,"Filago arvensis"
6.145091,50.845623,"Filago arvensis"
8.938665,49.191238,"Filago arvensis"
-87.670217,41.70568,"Filago arvensis"
-74.528933,40.560373,"Filago arvensis"
-81.385224,36.884013,"Filago arvensis"
8.856525,49.136127,"Filago arvensis"
-92.928856,43.681377,"Filago arvensis"
9.201736,48.645996,"Filago arvensis"
-123.467743,48.928059,"Filago arvensis"
-74.436642,40.47916,"Filago arvensis"
-74.719498,40.304076,"Filago arvensis"
9.69595,49.98843,"Filago arvensis"
13.404222,52.438774,"Filago arvensis"
172.630016,-43.635802,"Filago arvensis"
8.76709,49.255875,"Filago arvensis"
5.44378,43.54422,"Filago arvensis"
5.05446,45.21194,"Filago arvensis"
3.1818,45.78058,"Filago arvensis"
5.44536,43.54763,"Filago arvensis"
-74.492326,40.524271,"Filago arvensis"
5.70982,45.1496,"Filago arvensis"
9.541283,48.836319,"Filago arvensis"
1.49506,45.12434,"Filago arvensis"
5.7349,45.18621,"Filago arvensis"
8.357654,45.147083,"Filago arvensis"
7.881081,47.645123,"Filago arvensis"
