"lon","lat","species.name"
-71.810833,-47.042222,"Gamocarpha selliana"
-71.300278,-41.266389,"Gamocarpha selliana"
-72.283056,-50.380556,"Gamocarpha selliana"
-72.2,-46.13,"Gamocarpha selliana"
-70.73,-49.77,"Gamocarpha selliana"
-72.09,-49.76,"Gamocarpha selliana"
-70.24,-43.21,"Gamocarpha selliana"
-69.01,-50.24,"Gamocarpha selliana"
-71.11,-46.96,"Gamocarpha selliana"
-70.75,-46.63,"Gamocarpha selliana"
-71.95,-50.18,"Gamocarpha selliana"
-71.81,-47.04,"Gamocarpha selliana"
-70.77,-47.06,"Gamocarpha selliana"
-72.28,-50.38,"Gamocarpha selliana"
-71.68,-46.1,"Gamocarpha selliana"
-70.68,-37.61,"Gamocarpha selliana"
-72.999438,-50.125027,"Gamocarpha selliana"
-71.82,-47.06,"Gamocarpha selliana"
-70.61,-40.97,"Gamocarpha selliana"
-71.23,-40.35,"Gamocarpha selliana"
-71.51,-50.35,"Gamocarpha selliana"
-71.28,-41.27,"Gamocarpha selliana"
-71.3,-41.27,"Gamocarpha selliana"
-71.87,-46.85,"Gamocarpha selliana"
-72.05,-49.81,"Gamocarpha selliana"
-70.96,-37.82,"Gamocarpha selliana"
